innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,52,52,ENG,1,27,27,JM Bairstow,RAS Lakmal,3,4,1,37.71,6655,55.53,Right-hand bat,28,12,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,53,53,ENG,1,27,27,JM Bairstow,RAS Lakmal,3,4,2,37.71,6655,55.53,Right-hand bat,29,12,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,54,54,ENG,1,27,27,JM Bairstow,RAS Lakmal,3,4,3,37.71,6655,55.53,Right-hand bat,30,12,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,160,160,ENG,2,103,103,JM Bairstow,RAS Lakmal,3,42,58,37.71,6655,55.53,Right-hand bat,34,13,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,161,161,ENG,2,103,103,JM Bairstow,RAS Lakmal,3,42,59,37.71,6655,55.53,Right-hand bat,35,13,0,9306,40.79,76.9,rfm,1,ENG,seam,yes,3.40625,23.84375
1,174,174,ENG,2,107,107,JM Bairstow,RAS Lakmal,3,44,63,37.71,6655,55.53,Right-hand bat,42,15,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,182,182,ENG,2,111,111,JM Bairstow,RAS Lakmal,3,45,66,37.71,6655,55.53,Right-hand bat,44,16,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,183,183,ENG,2,111,111,JM Bairstow,RAS Lakmal,3,45,67,37.71,6655,55.53,Right-hand bat,45,16,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,184,184,ENG,2,111,111,JM Bairstow,RAS Lakmal,3,45,68,37.71,6655,55.53,Right-hand bat,46,16,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,185,185,ENG,2,111,111,JM Bairstow,RAS Lakmal,3,45,69,37.71,6655,55.53,Right-hand bat,47,16,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,186,186,ENG,2,111,111,JM Bairstow,RAS Lakmal,3,45,70,37.71,6655,55.53,Right-hand bat,48,16,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,193,193,ENG,2,117,117,JM Bairstow,RAS Lakmal,3,50,76,37.71,6655,55.53,Right-hand bat,49,16,0,9306,40.79,76.9,rfm,0,ENG,seam,yes,3.40625,23.84375
1,194,194,ENG,2,117,117,JM Bairstow,RAS Lakmal,3,50,77,37.71,6655,55.53,Right-hand bat,50,16,0,9306,40.79,76.9,rfm,1,ENG,seam,yes,3.40625,23.84375
