innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1521,32,RSA,1,17,-23,D Elgar,Mohammad Abbas,1,1,18,40.96,7412,45.31,Left-hand bat,12,6,1,2820,17.9,44.7,rmf,0,RSA,seam,yes,31.46722164412071,0
4,1522,33,RSA,1,17,-23,D Elgar,Mohammad Abbas,1,1,19,40.96,7412,45.31,Left-hand bat,13,6,1,2820,17.9,44.7,rmf,0,RSA,seam,yes,31.46722164412071,0
4,1523,34,RSA,1,17,-23,D Elgar,Mohammad Abbas,1,1,20,40.96,7412,45.31,Left-hand bat,14,6,1,2820,17.9,44.7,rmf,0,RSA,seam,yes,31.46722164412071,0
4,1524,35,RSA,1,17,-23,D Elgar,Mohammad Abbas,1,1,21,40.96,7412,45.31,Left-hand bat,15,6,1,2820,17.9,44.7,rmf,0,RSA,seam,yes,31.46722164412071,0
4,1525,36,RSA,1,17,-23,D Elgar,Mohammad Abbas,1,1,22,40.96,7412,45.31,Left-hand bat,16,6,1,2820,17.9,44.7,rmf,1,RSA,seam,yes,31.46722164412071,0
4,1533,44,RSA,2,23,-17,D Elgar,Mohammad Abbas,1,7,26,40.96,7412,45.31,Left-hand bat,18,7,1,2820,17.9,44.7,rmf,1,RSA,seam,yes,31.46722164412071,0
4,1535,46,RSA,2,27,-13,D Elgar,Mohammad Abbas,1,8,27,40.96,7412,45.31,Left-hand bat,20,11,1,2820,17.9,44.7,rmf,0,RSA,seam,yes,31.46722164412071,0
4,1536,47,RSA,2,27,-13,D Elgar,Mohammad Abbas,1,8,28,40.96,7412,45.31,Left-hand bat,21,11,1,2820,17.9,44.7,rmf,0,RSA,seam,yes,31.46722164412071,0
4,1537,48,RSA,2,27,-13,D Elgar,Mohammad Abbas,1,8,29,40.96,7412,45.31,Left-hand bat,22,11,1,2820,17.9,44.7,rmf,2,RSA,seam,yes,31.46722164412071,0
4,1538,49,RSA,2,29,-11,D Elgar,Mohammad Abbas,1,10,30,40.96,7412,45.31,Left-hand bat,23,13,1,2820,17.9,44.7,rmf,1,RSA,seam,yes,31.46722164412071,0
