innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,6,6,AUS,0,0,0,AJ Finch,JJ Bumrah,2,0,0,33.37,578,46.19,Right-hand bat,0,0,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,7,7,AUS,0,0,0,AJ Finch,JJ Bumrah,2,0,1,33.37,578,46.19,Right-hand bat,1,0,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,8,8,AUS,0,0,0,AJ Finch,JJ Bumrah,2,0,2,33.37,578,46.19,Right-hand bat,2,0,0,2064.5,23.66,53,rf,4,AUS,seam,yes,18.6,6.2
1,9,9,AUS,0,4,4,AJ Finch,JJ Bumrah,2,4,3,33.37,578,46.19,Right-hand bat,3,4,0,2064.5,23.66,53,rf,1,AUS,seam,yes,18.6,6.2
1,18,18,AUS,0,6,6,AJ Finch,JJ Bumrah,2,6,6,33.37,578,46.19,Right-hand bat,6,5,0,2064.5,23.66,53,rf,2,AUS,seam,yes,18.6,6.2
1,19,19,AUS,0,8,8,AJ Finch,JJ Bumrah,2,8,7,33.37,578,46.19,Right-hand bat,7,7,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,20,20,AUS,0,8,8,AJ Finch,JJ Bumrah,2,8,8,33.37,578,46.19,Right-hand bat,8,7,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,21,21,AUS,0,8,8,AJ Finch,JJ Bumrah,2,8,9,33.37,578,46.19,Right-hand bat,9,7,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,22,22,AUS,0,8,8,AJ Finch,JJ Bumrah,2,8,10,33.37,578,46.19,Right-hand bat,10,7,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,23,23,AUS,0,8,8,AJ Finch,JJ Bumrah,2,8,11,33.37,578,46.19,Right-hand bat,11,7,0,2064.5,23.66,53,rf,1,AUS,seam,yes,18.6,6.2
1,34,34,AUS,0,10,10,AJ Finch,JJ Bumrah,2,9,18,33.37,578,46.19,Right-hand bat,16,9,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,35,35,AUS,0,10,10,AJ Finch,JJ Bumrah,2,9,19,33.37,578,46.19,Right-hand bat,17,9,0,2064.5,23.66,53,rf,4,AUS,seam,yes,18.6,6.2
1,43,43,AUS,0,27,27,AJ Finch,JJ Bumrah,2,13,20,33.37,578,46.19,Right-hand bat,18,13,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,44,44,AUS,0,27,27,AJ Finch,JJ Bumrah,2,13,21,33.37,578,46.19,Right-hand bat,19,13,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,45,45,AUS,0,27,27,AJ Finch,JJ Bumrah,2,13,22,33.37,578,46.19,Right-hand bat,20,13,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,46,46,AUS,0,27,27,AJ Finch,JJ Bumrah,2,13,23,33.37,578,46.19,Right-hand bat,21,13,0,2064.5,23.66,53,rf,1,AUS,seam,yes,18.6,6.2
1,55,55,AUS,0,31,31,AJ Finch,JJ Bumrah,2,17,30,33.37,578,46.19,Right-hand bat,24,14,0,2064.5,23.66,53,rf,3,AUS,seam,yes,18.6,6.2
1,59,59,AUS,0,37,37,AJ Finch,JJ Bumrah,2,20,31,33.37,578,46.19,Right-hand bat,28,20,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,60,60,AUS,0,37,37,AJ Finch,JJ Bumrah,2,20,32,33.37,578,46.19,Right-hand bat,29,20,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,109,109,AUS,0,56,56,AJ Finch,JJ Bumrah,2,22,58,33.37,578,46.19,Right-hand bat,30,20,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,110,110,AUS,0,56,56,AJ Finch,JJ Bumrah,2,22,59,33.37,578,46.19,Right-hand bat,31,20,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,111,111,AUS,0,56,56,AJ Finch,JJ Bumrah,2,22,60,33.37,578,46.19,Right-hand bat,32,20,0,2064.5,23.66,53,rf,1,AUS,seam,yes,18.6,6.2
1,121,121,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,61,33.37,578,46.19,Right-hand bat,36,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,122,122,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,62,33.37,578,46.19,Right-hand bat,37,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,123,123,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,63,33.37,578,46.19,Right-hand bat,38,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,124,124,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,64,33.37,578,46.19,Right-hand bat,39,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,125,125,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,65,33.37,578,46.19,Right-hand bat,40,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,126,126,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,66,33.37,578,46.19,Right-hand bat,41,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,133,133,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,67,33.37,578,46.19,Right-hand bat,42,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,134,134,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,68,33.37,578,46.19,Right-hand bat,43,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,135,135,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,69,33.37,578,46.19,Right-hand bat,44,22,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,136,136,AUS,0,58,58,AJ Finch,JJ Bumrah,2,23,70,33.37,578,46.19,Right-hand bat,45,22,0,2064.5,23.66,53,rf,4,AUS,seam,yes,18.6,6.2
1,137,137,AUS,0,62,62,AJ Finch,JJ Bumrah,2,27,71,33.37,578,46.19,Right-hand bat,46,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,138,138,AUS,0,62,62,AJ Finch,JJ Bumrah,2,27,72,33.37,578,46.19,Right-hand bat,47,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,145,145,AUS,0,64,64,AJ Finch,JJ Bumrah,2,28,74,33.37,578,46.19,Right-hand bat,48,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,146,146,AUS,0,64,64,AJ Finch,JJ Bumrah,2,28,75,33.37,578,46.19,Right-hand bat,49,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,147,147,AUS,0,64,64,AJ Finch,JJ Bumrah,2,28,76,33.37,578,46.19,Right-hand bat,50,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,148,148,AUS,0,64,64,AJ Finch,JJ Bumrah,2,28,77,33.37,578,46.19,Right-hand bat,51,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,149,149,AUS,0,64,64,AJ Finch,JJ Bumrah,2,28,78,33.37,578,46.19,Right-hand bat,52,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,150,150,AUS,0,64,64,AJ Finch,JJ Bumrah,2,28,79,33.37,578,46.19,Right-hand bat,53,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,212,212,AUS,0,112,112,AJ Finch,JJ Bumrah,2,50,103,33.37,578,46.19,Right-hand bat,54,26,0,2064.5,23.66,53,rf,0,AUS,seam,yes,18.6,6.2
1,213,213,AUS,0,112,112,AJ Finch,JJ Bumrah,2,50,104,33.37,578,46.19,Right-hand bat,55,26,0,2064.5,23.66,53,rf,W,AUS,seam,yes,18.6,6.2
