innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,53,53,RSA,1,10,10,HM Amla,TA Boult,3,0,0,49.51,15599,50.15,Right-hand bat,29,4,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,60,60,RSA,1,10,10,HM Amla,TA Boult,3,0,1,49.51,15599,50.15,Right-hand bat,30,4,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,61,61,RSA,1,10,10,HM Amla,TA Boult,3,0,2,49.51,15599,50.15,Right-hand bat,31,4,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,62,62,RSA,1,10,10,HM Amla,TA Boult,3,0,3,49.51,15599,50.15,Right-hand bat,32,4,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,63,63,RSA,1,10,10,HM Amla,TA Boult,3,0,4,49.51,15599,50.15,Right-hand bat,33,4,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,64,64,RSA,1,10,10,HM Amla,TA Boult,3,0,5,49.51,15599,50.15,Right-hand bat,34,4,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,65,65,RSA,1,10,10,HM Amla,TA Boult,3,0,6,49.51,15599,50.15,Right-hand bat,35,4,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,96,96,RSA,1,16,16,HM Amla,TA Boult,3,1,20,49.51,15599,50.15,Right-hand bat,48,8,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,97,97,RSA,1,16,16,HM Amla,TA Boult,3,1,21,49.51,15599,50.15,Right-hand bat,49,8,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,98,98,RSA,1,16,16,HM Amla,TA Boult,3,1,22,49.51,15599,50.15,Right-hand bat,50,8,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,99,99,RSA,1,16,16,HM Amla,TA Boult,3,1,23,49.51,15599,50.15,Right-hand bat,51,8,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,100,100,RSA,1,16,16,HM Amla,TA Boult,3,1,24,49.51,15599,50.15,Right-hand bat,52,8,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
1,101,101,RSA,1,16,16,HM Amla,TA Boult,3,1,25,49.51,15599,50.15,Right-hand bat,53,8,1,11040.1,28.75,58.1,lfm,0,NZL,seam,yes,20.662721893491128,12.914201183431954
