innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1384,379,AUS,4,178,-444,PSP Handscomb,JJ Bumrah,6,12,32,38.91,1874,49.83,Right-hand bat,73,28,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1385,380,AUS,4,178,-444,PSP Handscomb,JJ Bumrah,6,12,33,38.91,1874,49.83,Right-hand bat,74,28,0,2412.4,21.89,49.3,rf,1,AUS,seam,no,19.266435986159166,35.32179930795848
2,1395,390,AUS,4,188,-434,PSP Handscomb,JJ Bumrah,6,16,37,38.91,1874,49.83,Right-hand bat,78,33,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1396,391,AUS,4,188,-434,PSP Handscomb,JJ Bumrah,6,16,38,38.91,1874,49.83,Right-hand bat,79,33,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1397,392,AUS,4,188,-434,PSP Handscomb,JJ Bumrah,6,16,39,38.91,1874,49.83,Right-hand bat,80,33,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1398,393,AUS,4,188,-434,PSP Handscomb,JJ Bumrah,6,16,40,38.91,1874,49.83,Right-hand bat,81,33,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1399,394,AUS,4,188,-434,PSP Handscomb,JJ Bumrah,6,16,41,38.91,1874,49.83,Right-hand bat,82,33,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1400,395,AUS,4,188,-434,PSP Handscomb,JJ Bumrah,6,16,42,38.91,1874,49.83,Right-hand bat,83,33,0,2412.4,21.89,49.3,rf,4,AUS,seam,no,19.266435986159166,35.32179930795848
2,1407,402,AUS,5,192,-430,PSP Handscomb,JJ Bumrah,6,20,43,38.91,1874,49.83,Right-hand bat,84,37,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1408,403,AUS,5,192,-430,PSP Handscomb,JJ Bumrah,6,20,44,38.91,1874,49.83,Right-hand bat,85,37,0,2412.4,21.89,49.3,rf,1,AUS,seam,no,19.266435986159166,35.32179930795848
2,1419,414,AUS,6,198,-424,PSP Handscomb,JJ Bumrah,6,21,45,38.91,1874,49.83,Right-hand bat,90,43,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1420,415,AUS,6,198,-424,PSP Handscomb,JJ Bumrah,6,21,46,38.91,1874,49.83,Right-hand bat,91,43,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1421,416,AUS,6,198,-424,PSP Handscomb,JJ Bumrah,6,21,47,38.91,1874,49.83,Right-hand bat,92,43,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1422,417,AUS,6,198,-424,PSP Handscomb,JJ Bumrah,6,21,48,38.91,1874,49.83,Right-hand bat,93,43,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1423,418,AUS,6,198,-424,PSP Handscomb,JJ Bumrah,6,21,49,38.91,1874,49.83,Right-hand bat,94,43,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1424,419,AUS,6,198,-424,PSP Handscomb,JJ Bumrah,6,21,50,38.91,1874,49.83,Right-hand bat,95,43,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1540,535,AUS,7,257,-365,PSP Handscomb,JJ Bumrah,6,37,107,38.91,1874,49.83,Right-hand bat,109,54,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1541,536,AUS,7,257,-365,PSP Handscomb,JJ Bumrah,6,37,108,38.91,1874,49.83,Right-hand bat,110,54,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1542,537,AUS,7,257,-365,PSP Handscomb,JJ Bumrah,6,37,109,38.91,1874,49.83,Right-hand bat,111,54,0,2412.4,21.89,49.3,rf,0,AUS,seam,no,19.266435986159166,35.32179930795848
2,1543,538,AUS,7,257,-365,PSP Handscomb,JJ Bumrah,6,37,110,38.91,1874,49.83,Right-hand bat,112,54,0,2412.4,21.89,49.3,rf,W,AUS,seam,no,19.266435986159166,35.32179930795848
