innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,824,18,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,6,23.48,3303,38.38,Left-hand bat,6,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,825,19,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,7,23.48,3303,38.38,Left-hand bat,7,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,826,20,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,8,23.48,3303,38.38,Left-hand bat,8,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,827,21,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,9,23.48,3303,38.38,Left-hand bat,9,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,828,22,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,10,23.48,3303,38.38,Left-hand bat,10,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,829,23,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,11,23.48,3303,38.38,Left-hand bat,11,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,836,30,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,12,23.48,3303,38.38,Left-hand bat,12,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,837,31,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,13,23.48,3303,38.38,Left-hand bat,13,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,838,32,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,14,23.48,3303,38.38,Left-hand bat,14,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,839,33,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,15,23.48,3303,38.38,Left-hand bat,15,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,840,34,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,16,23.48,3303,38.38,Left-hand bat,16,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
2,841,35,SRL,0,18,-516,HDRL Thirimanne,JA Richardson,2,4,17,23.48,3303,38.38,Left-hand bat,17,0,0,306,20.5,51,rf,0,AUS,seam,no,32.09438775510204,6.97704081632653
