innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,318,318,AUS,8,154,154,PM Siddle,SCJ Broad,10,7,25,14.59,2380,47.22,Right-hand bat,84,38,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,319,319,AUS,8,154,154,PM Siddle,SCJ Broad,10,7,26,14.59,2380,47.22,Right-hand bat,85,38,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,320,320,AUS,8,154,154,PM Siddle,SCJ Broad,10,7,27,14.59,2380,47.22,Right-hand bat,86,38,4,26166.1,28.78,58.1,rfm,2,ENG,seam,yes,23.575602629656686,11.316289262235209
1,321,321,AUS,8,156,156,PM Siddle,SCJ Broad,10,9,28,14.59,2380,47.22,Right-hand bat,87,40,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,322,322,AUS,8,156,156,PM Siddle,SCJ Broad,10,9,29,14.59,2380,47.22,Right-hand bat,88,40,4,26166.1,28.78,58.1,rfm,2,ENG,seam,yes,23.575602629656686,11.316289262235209
1,323,323,AUS,8,158,158,PM Siddle,SCJ Broad,10,11,30,14.59,2380,47.22,Right-hand bat,89,42,4,26166.1,28.78,58.1,rfm,1,ENG,seam,yes,23.575602629656686,11.316289262235209
1,333,333,AUS,8,164,164,PM Siddle,SCJ Broad,10,16,37,14.59,2380,47.22,Right-hand bat,93,44,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,334,334,AUS,8,164,164,PM Siddle,SCJ Broad,10,16,38,14.59,2380,47.22,Right-hand bat,94,44,4,26166.1,28.78,58.1,rfm,4,ENG,seam,yes,23.575602629656686,11.316289262235209
1,335,335,AUS,8,168,168,PM Siddle,SCJ Broad,10,20,39,14.59,2380,47.22,Right-hand bat,95,48,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,343,343,AUS,8,170,170,PM Siddle,SCJ Broad,10,20,45,14.59,2380,47.22,Right-hand bat,97,49,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,344,344,AUS,8,170,170,PM Siddle,SCJ Broad,10,20,46,14.59,2380,47.22,Right-hand bat,98,49,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,345,345,AUS,8,170,170,PM Siddle,SCJ Broad,10,20,47,14.59,2380,47.22,Right-hand bat,99,49,4,26166.1,28.78,58.1,rfm,2,ENG,seam,yes,23.575602629656686,11.316289262235209
1,346,346,AUS,8,172,172,PM Siddle,SCJ Broad,10,22,48,14.59,2380,47.22,Right-hand bat,100,51,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,347,347,AUS,8,172,172,PM Siddle,SCJ Broad,10,22,49,14.59,2380,47.22,Right-hand bat,101,51,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,355,355,AUS,8,176,176,PM Siddle,SCJ Broad,10,24,51,14.59,2380,47.22,Right-hand bat,103,52,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,356,356,AUS,8,176,176,PM Siddle,SCJ Broad,10,24,52,14.59,2380,47.22,Right-hand bat,104,52,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,357,357,AUS,8,176,176,PM Siddle,SCJ Broad,10,24,53,14.59,2380,47.22,Right-hand bat,105,52,4,26166.1,28.78,58.1,rfm,0,ENG,seam,yes,23.575602629656686,11.316289262235209
1,358,358,AUS,8,176,176,PM Siddle,SCJ Broad,10,24,54,14.59,2380,47.22,Right-hand bat,106,52,4,26166.1,28.78,58.1,rfm,2,ENG,seam,yes,23.575602629656686,11.316289262235209
1,359,359,AUS,8,178,178,PM Siddle,SCJ Broad,10,26,55,14.59,2380,47.22,Right-hand bat,107,54,4,26166.1,28.78,58.1,rfm,1,ENG,seam,yes,23.575602629656686,11.316289262235209
1,366,366,AUS,8,190,190,PM Siddle,SCJ Broad,10,33,60,14.59,2380,47.22,Right-hand bat,108,55,4,26166.1,28.78,58.1,rfm,3,ENG,seam,yes,23.575602629656686,11.316289262235209
