innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1419,115,AUS,3,76,-14,TM Head,MM Ali,5,0,4,49.93,1476,50.74,Left-hand bat,31,27,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1420,116,AUS,3,76,-14,TM Head,MM Ali,5,0,5,49.93,1476,50.74,Left-hand bat,32,27,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1421,117,AUS,3,76,-14,TM Head,MM Ali,5,0,6,49.93,1476,50.74,Left-hand bat,33,27,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1422,118,AUS,3,76,-14,TM Head,MM Ali,5,0,7,49.93,1476,50.74,Left-hand bat,34,27,1,10968.4,36.59,60.6,rob,4,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1423,119,AUS,3,80,-10,TM Head,MM Ali,5,4,8,49.93,1476,50.74,Left-hand bat,35,31,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1432,128,AUS,3,88,-2,TM Head,MM Ali,5,6,13,49.93,1476,50.74,Left-hand bat,38,34,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1442,138,AUS,3,94,4,TM Head,MM Ali,5,8,16,49.93,1476,50.74,Left-hand bat,42,36,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1443,139,AUS,3,94,4,TM Head,MM Ali,5,8,17,49.93,1476,50.74,Left-hand bat,43,36,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1456,152,AUS,3,106,16,TM Head,MM Ali,5,11,23,49.93,1476,50.74,Left-hand bat,50,45,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1459,155,AUS,3,108,18,TM Head,MM Ali,5,12,24,49.93,1476,50.74,Left-hand bat,53,47,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1492,188,AUS,3,125,35,TM Head,MM Ali,5,21,39,49.93,1476,50.74,Left-hand bat,55,48,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1493,189,AUS,3,125,35,TM Head,MM Ali,5,21,40,49.93,1476,50.74,Left-hand bat,56,48,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1494,190,AUS,3,125,35,TM Head,MM Ali,5,21,41,49.93,1476,50.74,Left-hand bat,57,48,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1497,193,AUS,3,128,38,TM Head,MM Ali,5,22,42,49.93,1476,50.74,Left-hand bat,60,51,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1508,204,AUS,3,130,40,TM Head,MM Ali,5,23,49,49.93,1476,50.74,Left-hand bat,65,53,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1509,205,AUS,3,130,40,TM Head,MM Ali,5,23,50,49.93,1476,50.74,Left-hand bat,66,53,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1519,215,AUS,3,132,42,TM Head,MM Ali,5,23,56,49.93,1476,50.74,Left-hand bat,70,54,1,10968.4,36.59,60.6,rob,4b,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1520,216,AUS,3,136,46,TM Head,MM Ali,5,23,57,49.93,1476,50.74,Left-hand bat,71,54,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1521,217,AUS,3,136,46,TM Head,MM Ali,5,23,58,49.93,1476,50.74,Left-hand bat,72,54,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1528,224,AUS,3,140,50,TM Head,MM Ali,5,23,59,49.93,1476,50.74,Left-hand bat,73,54,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1529,225,AUS,3,140,50,TM Head,MM Ali,5,23,60,49.93,1476,50.74,Left-hand bat,74,54,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1531,227,AUS,3,142,52,TM Head,MM Ali,5,24,61,49.93,1476,50.74,Left-hand bat,76,56,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1533,229,AUS,3,144,54,TM Head,MM Ali,5,25,62,49.93,1476,50.74,Left-hand bat,78,58,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1540,236,AUS,3,146,56,TM Head,MM Ali,5,26,64,49.93,1476,50.74,Left-hand bat,79,58,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1541,237,AUS,3,146,56,TM Head,MM Ali,5,26,65,49.93,1476,50.74,Left-hand bat,80,58,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1542,238,AUS,3,146,56,TM Head,MM Ali,5,26,66,49.93,1476,50.74,Left-hand bat,81,58,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1543,239,AUS,3,146,56,TM Head,MM Ali,5,26,67,49.93,1476,50.74,Left-hand bat,82,58,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1544,240,AUS,3,146,56,TM Head,MM Ali,5,26,68,49.93,1476,50.74,Left-hand bat,83,58,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1545,241,AUS,3,146,56,TM Head,MM Ali,5,26,69,49.93,1476,50.74,Left-hand bat,84,58,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1556,252,AUS,3,160,70,TM Head,MM Ali,5,35,76,49.93,1476,50.74,Left-hand bat,89,64,1,10968.4,36.59,60.6,rob,0,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1557,253,AUS,3,160,70,TM Head,MM Ali,5,35,77,49.93,1476,50.74,Left-hand bat,90,64,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1567,263,AUS,3,164,74,TM Head,MM Ali,5,38,84,49.93,1476,50.74,Left-hand bat,94,66,1,10968.4,36.59,60.6,rob,4,ENG,spin,yes,23.575602629656686,11.316289262235209
3,1568,264,AUS,3,168,78,TM Head,MM Ali,5,42,85,49.93,1476,50.74,Left-hand bat,95,70,1,10968.4,36.59,60.6,rob,1,ENG,spin,yes,23.575602629656686,11.316289262235209
