innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,386,386,ENG,6,199,199,JC Buttler,JR Hazlewood,6,13,28,33.94,3404,57.84,Right-hand bat,78,29,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,387,387,ENG,6,199,199,JC Buttler,JR Hazlewood,6,13,29,33.94,3404,57.84,Right-hand bat,79,29,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,388,388,ENG,6,199,199,JC Buttler,JR Hazlewood,6,13,30,33.94,3404,57.84,Right-hand bat,80,29,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,389,389,ENG,6,199,199,JC Buttler,JR Hazlewood,6,13,31,33.94,3404,57.84,Right-hand bat,81,29,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,390,390,ENG,6,199,199,JC Buttler,JR Hazlewood,6,13,32,33.94,3404,57.84,Right-hand bat,82,29,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,391,391,ENG,6,199,199,JC Buttler,JR Hazlewood,6,13,33,33.94,3404,57.84,Right-hand bat,83,29,1,10542.1,26.57,57.2,rfm,4,ENG,seam,no,20.83125,6.94375
1,398,398,ENG,7,205,205,JC Buttler,JR Hazlewood,6,17,34,33.94,3404,57.84,Right-hand bat,84,33,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,399,399,ENG,7,205,205,JC Buttler,JR Hazlewood,6,17,35,33.94,3404,57.84,Right-hand bat,85,33,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,400,400,ENG,7,205,205,JC Buttler,JR Hazlewood,6,17,36,33.94,3404,57.84,Right-hand bat,86,33,1,10542.1,26.57,57.2,rfm,2,ENG,seam,no,20.83125,6.94375
1,401,401,ENG,7,207,207,JC Buttler,JR Hazlewood,6,19,37,33.94,3404,57.84,Right-hand bat,87,35,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,402,402,ENG,7,207,207,JC Buttler,JR Hazlewood,6,19,38,33.94,3404,57.84,Right-hand bat,88,35,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,403,403,ENG,7,207,207,JC Buttler,JR Hazlewood,6,19,39,33.94,3404,57.84,Right-hand bat,89,35,1,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,422,422,ENG,7,217,217,JC Buttler,JR Hazlewood,6,20,44,33.94,3404,57.84,Right-hand bat,96,43,1,10542.1,26.57,57.2,rfm,4,ENG,seam,no,20.83125,6.94375
1,423,423,ENG,7,221,221,JC Buttler,JR Hazlewood,6,24,45,33.94,3404,57.84,Right-hand bat,97,47,1,10542.1,26.57,57.2,rfm,4,ENG,seam,no,20.83125,6.94375
1,424,424,ENG,7,225,225,JC Buttler,JR Hazlewood,6,28,46,33.94,3404,57.84,Right-hand bat,98,51,1,10542.1,26.57,57.2,rfm,1,ENG,seam,no,20.83125,6.94375
1,434,434,ENG,8,229,229,JC Buttler,JR Hazlewood,6,30,49,33.94,3404,57.84,Right-hand bat,102,52,2,10542.1,26.57,57.2,rfm,6,ENG,seam,no,20.83125,6.94375
1,435,435,ENG,8,235,235,JC Buttler,JR Hazlewood,6,36,50,33.94,3404,57.84,Right-hand bat,103,58,2,10542.1,26.57,57.2,rfm,6,ENG,seam,no,20.83125,6.94375
1,436,436,ENG,8,241,241,JC Buttler,JR Hazlewood,6,42,51,33.94,3404,57.84,Right-hand bat,104,64,2,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,437,437,ENG,8,241,241,JC Buttler,JR Hazlewood,6,42,52,33.94,3404,57.84,Right-hand bat,105,64,2,10542.1,26.57,57.2,rfm,1,ENG,seam,no,20.83125,6.94375
1,439,439,ENG,8,243,243,JC Buttler,JR Hazlewood,6,43,53,33.94,3404,57.84,Right-hand bat,107,66,2,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,458,458,ENG,8,251,251,JC Buttler,JR Hazlewood,6,44,58,33.94,3404,57.84,Right-hand bat,114,67,2,10542.1,26.57,57.2,rfm,2,ENG,seam,no,20.83125,6.94375
1,459,459,ENG,8,253,253,JC Buttler,JR Hazlewood,6,46,59,33.94,3404,57.84,Right-hand bat,115,69,2,10542.1,26.57,57.2,rfm,6,ENG,seam,no,20.83125,6.94375
1,460,460,ENG,8,259,259,JC Buttler,JR Hazlewood,6,52,60,33.94,3404,57.84,Right-hand bat,116,75,2,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,461,461,ENG,8,259,259,JC Buttler,JR Hazlewood,6,52,61,33.94,3404,57.84,Right-hand bat,117,75,2,10542.1,26.57,57.2,rfm,0,ENG,seam,no,20.83125,6.94375
1,462,462,ENG,8,259,259,JC Buttler,JR Hazlewood,6,52,62,33.94,3404,57.84,Right-hand bat,118,75,2,10542.1,26.57,57.2,rfm,1,ENG,seam,no,20.83125,6.94375
