innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1183,636,NZL,3,323,397,HM Nicholls,MD Gunathilaka,5,33,72,43.54,2732,49.41,Left-hand bat,54,19,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1184,637,NZL,3,323,397,HM Nicholls,MD Gunathilaka,5,33,73,43.54,2732,49.41,Left-hand bat,55,19,0,198,111,198,rob,1,NZL,spin,no,29.578719723183386,2.862456747404844
3,1188,641,NZL,3,325,399,HM Nicholls,MD Gunathilaka,5,34,74,43.54,2732,49.41,Left-hand bat,59,21,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1315,768,NZL,3,421,495,HM Nicholls,MD Gunathilaka,5,88,144,43.54,2732,49.41,Left-hand bat,60,21,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1316,769,NZL,3,421,495,HM Nicholls,MD Gunathilaka,5,88,145,43.54,2732,49.41,Left-hand bat,61,21,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1317,770,NZL,3,421,495,HM Nicholls,MD Gunathilaka,5,88,146,43.54,2732,49.41,Left-hand bat,62,21,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1318,771,NZL,3,421,495,HM Nicholls,MD Gunathilaka,5,88,147,43.54,2732,49.41,Left-hand bat,63,21,0,198,111,198,rob,1,NZL,spin,no,29.578719723183386,2.862456747404844
3,1327,780,NZL,3,427,501,HM Nicholls,MD Gunathilaka,5,92,152,43.54,2732,49.41,Left-hand bat,66,22,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1328,781,NZL,3,427,501,HM Nicholls,MD Gunathilaka,5,92,153,43.54,2732,49.41,Left-hand bat,67,22,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1329,782,NZL,3,427,501,HM Nicholls,MD Gunathilaka,5,92,154,43.54,2732,49.41,Left-hand bat,68,22,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1330,783,NZL,3,427,501,HM Nicholls,MD Gunathilaka,5,92,155,43.54,2732,49.41,Left-hand bat,69,22,0,198,111,198,rob,1,NZL,spin,no,29.578719723183386,2.862456747404844
3,1353,806,NZL,3,435,509,HM Nicholls,MD Gunathilaka,5,93,163,43.54,2732,49.41,Left-hand bat,80,29,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1354,807,NZL,3,435,509,HM Nicholls,MD Gunathilaka,5,93,164,43.54,2732,49.41,Left-hand bat,81,29,0,198,111,198,rob,1,NZL,spin,no,29.578719723183386,2.862456747404844
3,1363,816,NZL,3,441,515,HM Nicholls,MD Gunathilaka,5,97,169,43.54,2732,49.41,Left-hand bat,84,30,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1364,817,NZL,3,441,515,HM Nicholls,MD Gunathilaka,5,97,170,43.54,2732,49.41,Left-hand bat,85,30,0,198,111,198,rob,3,NZL,spin,no,29.578719723183386,2.862456747404844
3,1367,820,NZL,3,445,519,HM Nicholls,MD Gunathilaka,5,100,171,43.54,2732,49.41,Left-hand bat,88,34,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1368,821,NZL,3,445,519,HM Nicholls,MD Gunathilaka,5,100,172,43.54,2732,49.41,Left-hand bat,89,34,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1376,829,NZL,3,447,521,HM Nicholls,MD Gunathilaka,5,100,178,43.54,2732,49.41,Left-hand bat,91,35,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1377,830,NZL,3,447,521,HM Nicholls,MD Gunathilaka,5,100,179,43.54,2732,49.41,Left-hand bat,92,35,0,198,111,198,rob,4,NZL,spin,no,29.578719723183386,2.862456747404844
3,1378,831,NZL,3,451,525,HM Nicholls,MD Gunathilaka,5,104,180,43.54,2732,49.41,Left-hand bat,93,39,0,198,111,198,rob,0,NZL,spin,no,29.578719723183386,2.862456747404844
3,1379,832,NZL,3,451,525,HM Nicholls,MD Gunathilaka,5,104,181,43.54,2732,49.41,Left-hand bat,94,39,0,198,111,198,rob,2,NZL,spin,no,29.578719723183386,2.862456747404844
3,1380,833,NZL,3,453,527,HM Nicholls,MD Gunathilaka,5,106,182,43.54,2732,49.41,Left-hand bat,95,41,0,198,111,198,rob,4,NZL,spin,no,29.578719723183386,2.862456747404844
