innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1095,301,PAK,3,155,292,Asad Shafiq,PM Siddle,5,1,4,39.33,8202,47.95,Right-hand bat,54,37,0,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1096,302,PAK,3,155,292,Asad Shafiq,PM Siddle,5,1,5,39.33,8202,47.95,Right-hand bat,55,37,0,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1097,303,PAK,3,155,292,Asad Shafiq,PM Siddle,5,1,6,39.33,8202,47.95,Right-hand bat,56,37,0,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1098,304,PAK,3,155,292,Asad Shafiq,PM Siddle,5,1,7,39.33,8202,47.95,Right-hand bat,57,37,0,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1099,305,PAK,3,155,292,Asad Shafiq,PM Siddle,5,1,8,39.33,8202,47.95,Right-hand bat,58,37,0,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1100,306,PAK,3,155,292,Asad Shafiq,PM Siddle,5,1,9,39.33,8202,47.95,Right-hand bat,59,37,0,13320.5,30.28,62.2,rfm,1,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1107,313,PAK,3,159,296,Asad Shafiq,PM Siddle,5,5,15,39.33,8202,47.95,Right-hand bat,60,38,0,13320.5,30.28,62.2,rfm,1,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1119,325,PAK,4,161,298,Asad Shafiq,PM Siddle,5,7,18,39.33,8202,47.95,Right-hand bat,66,39,1,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1120,326,PAK,4,161,298,Asad Shafiq,PM Siddle,5,7,19,39.33,8202,47.95,Right-hand bat,67,39,1,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1121,327,PAK,4,161,298,Asad Shafiq,PM Siddle,5,7,20,39.33,8202,47.95,Right-hand bat,68,39,1,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1122,328,PAK,4,161,298,Asad Shafiq,PM Siddle,5,7,21,39.33,8202,47.95,Right-hand bat,69,39,1,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1123,329,PAK,4,161,298,Asad Shafiq,PM Siddle,5,7,22,39.33,8202,47.95,Right-hand bat,70,39,1,13320.5,30.28,62.2,rfm,2,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1124,330,PAK,4,163,300,Asad Shafiq,PM Siddle,5,9,23,39.33,8202,47.95,Right-hand bat,71,41,1,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1131,337,PAK,4,165,302,Asad Shafiq,PM Siddle,5,10,29,39.33,8202,47.95,Right-hand bat,72,41,1,13320.5,30.28,62.2,rfm,4,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1132,338,PAK,4,169,306,Asad Shafiq,PM Siddle,5,14,30,39.33,8202,47.95,Right-hand bat,73,45,1,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1133,339,PAK,4,169,306,Asad Shafiq,PM Siddle,5,14,31,39.33,8202,47.95,Right-hand bat,74,45,1,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1134,340,PAK,4,169,306,Asad Shafiq,PM Siddle,5,14,32,39.33,8202,47.95,Right-hand bat,75,45,1,13320.5,30.28,62.2,rfm,0,PAK,seam,yes,11.076265614727152,13.682445759368834
3,1135,341,PAK,4,169,306,Asad Shafiq,PM Siddle,5,14,33,39.33,8202,47.95,Right-hand bat,76,45,1,13320.5,30.28,62.2,rfm,1,PAK,seam,yes,11.076265614727152,13.682445759368834
