innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,61,61,IND,1,44,44,CA Pujara,D Bishoo,3,16,27,49.94,10383,47.14,Right-hand bat,6,1,0,7602.2,36.89,69.1,rls,4,IND,spin,yes,7.319857312722949,28.05945303210464
1,62,62,IND,1,48,48,CA Pujara,D Bishoo,3,20,28,49.94,10383,47.14,Right-hand bat,7,5,0,7602.2,36.89,69.1,rls,1,IND,spin,yes,7.319857312722949,28.05945303210464
1,65,65,IND,1,54,54,CA Pujara,D Bishoo,3,21,29,49.94,10383,47.14,Right-hand bat,10,11,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,66,66,IND,1,54,54,CA Pujara,D Bishoo,3,21,30,49.94,10383,47.14,Right-hand bat,11,11,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,73,73,IND,1,56,56,CA Pujara,D Bishoo,3,22,33,49.94,10383,47.14,Right-hand bat,12,11,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,74,74,IND,1,56,56,CA Pujara,D Bishoo,3,22,34,49.94,10383,47.14,Right-hand bat,13,11,0,7602.2,36.89,69.1,rls,1,IND,spin,yes,7.319857312722949,28.05945303210464
1,78,78,IND,1,58,58,CA Pujara,D Bishoo,3,23,35,49.94,10383,47.14,Right-hand bat,17,13,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,85,85,IND,1,68,68,CA Pujara,D Bishoo,3,24,37,49.94,10383,47.14,Right-hand bat,18,13,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,86,86,IND,1,68,68,CA Pujara,D Bishoo,3,24,38,49.94,10383,47.14,Right-hand bat,19,13,0,7602.2,36.89,69.1,rls,4,IND,spin,yes,7.319857312722949,28.05945303210464
1,87,87,IND,1,72,72,CA Pujara,D Bishoo,3,28,39,49.94,10383,47.14,Right-hand bat,20,17,0,7602.2,36.89,69.1,rls,1,IND,spin,yes,7.319857312722949,28.05945303210464
1,99,99,IND,1,78,78,CA Pujara,D Bishoo,3,30,43,49.94,10383,47.14,Right-hand bat,26,20,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,100,100,IND,1,78,78,CA Pujara,D Bishoo,3,30,44,49.94,10383,47.14,Right-hand bat,27,20,0,7602.2,36.89,69.1,rls,4,IND,spin,yes,7.319857312722949,28.05945303210464
1,101,101,IND,1,82,82,CA Pujara,D Bishoo,3,34,45,49.94,10383,47.14,Right-hand bat,28,24,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,102,102,IND,1,82,82,CA Pujara,D Bishoo,3,34,46,49.94,10383,47.14,Right-hand bat,29,24,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,178,178,IND,1,166,166,CA Pujara,D Bishoo,3,67,83,49.94,10383,47.14,Right-hand bat,44,40,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,179,179,IND,1,166,166,CA Pujara,D Bishoo,3,67,84,49.94,10383,47.14,Right-hand bat,45,40,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,180,180,IND,1,166,166,CA Pujara,D Bishoo,3,67,85,49.94,10383,47.14,Right-hand bat,46,40,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,181,181,IND,1,166,166,CA Pujara,D Bishoo,3,67,86,49.94,10383,47.14,Right-hand bat,47,40,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,189,189,IND,1,172,172,CA Pujara,D Bishoo,3,67,88,49.94,10383,47.14,Right-hand bat,49,41,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
1,190,190,IND,1,172,172,CA Pujara,D Bishoo,3,67,89,49.94,10383,47.14,Right-hand bat,50,41,0,7602.2,36.89,69.1,rls,0,IND,spin,yes,7.319857312722949,28.05945303210464
