innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,880,270,IND,4,167,-144,AM Rahane,JO Holder,5,18,69,41.4,6424,50.91,Right-hand bat,59,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,881,271,IND,4,167,-144,AM Rahane,JO Holder,5,18,70,41.4,6424,50.91,Right-hand bat,60,26,2,5628.5,28.5,65.5,rmf,1lb,WIN,seam,no,17.6,11.733333333333333
2,889,279,IND,4,173,-138,AM Rahane,JO Holder,5,19,72,41.4,6424,50.91,Right-hand bat,62,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,890,280,IND,4,173,-138,AM Rahane,JO Holder,5,19,73,41.4,6424,50.91,Right-hand bat,63,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,891,281,IND,4,173,-138,AM Rahane,JO Holder,5,19,74,41.4,6424,50.91,Right-hand bat,64,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,892,282,IND,4,173,-138,AM Rahane,JO Holder,5,19,75,41.4,6424,50.91,Right-hand bat,65,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,893,283,IND,4,173,-138,AM Rahane,JO Holder,5,19,76,41.4,6424,50.91,Right-hand bat,66,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,894,284,IND,4,173,-138,AM Rahane,JO Holder,5,19,77,41.4,6424,50.91,Right-hand bat,67,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,901,291,IND,4,173,-138,AM Rahane,JO Holder,5,19,78,41.4,6424,50.91,Right-hand bat,68,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,902,292,IND,4,173,-138,AM Rahane,JO Holder,5,19,79,41.4,6424,50.91,Right-hand bat,69,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,903,293,IND,4,173,-138,AM Rahane,JO Holder,5,19,80,41.4,6424,50.91,Right-hand bat,70,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,904,294,IND,4,173,-138,AM Rahane,JO Holder,5,19,81,41.4,6424,50.91,Right-hand bat,71,26,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,905,295,IND,4,173,-138,AM Rahane,JO Holder,5,19,82,41.4,6424,50.91,Right-hand bat,72,26,2,5628.5,28.5,65.5,rmf,2,WIN,seam,no,17.6,11.733333333333333
2,906,296,IND,4,175,-136,AM Rahane,JO Holder,5,21,83,41.4,6424,50.91,Right-hand bat,73,28,2,5628.5,28.5,65.5,rmf,4,WIN,seam,no,17.6,11.733333333333333
2,1101,491,IND,4,308,-3,AM Rahane,JO Holder,5,75,174,41.4,6424,50.91,Right-hand bat,86,41,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,1102,492,IND,4,308,-3,AM Rahane,JO Holder,5,75,175,41.4,6424,50.91,Right-hand bat,87,41,2,5628.5,28.5,65.5,rmf,4,WIN,seam,no,17.6,11.733333333333333
2,1103,493,IND,4,312,1,AM Rahane,JO Holder,5,79,176,41.4,6424,50.91,Right-hand bat,88,45,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,1104,494,IND,4,312,1,AM Rahane,JO Holder,5,79,177,41.4,6424,50.91,Right-hand bat,89,45,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,1105,495,IND,4,312,1,AM Rahane,JO Holder,5,79,178,41.4,6424,50.91,Right-hand bat,90,45,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,1106,496,IND,4,312,1,AM Rahane,JO Holder,5,79,179,41.4,6424,50.91,Right-hand bat,91,45,2,5628.5,28.5,65.5,rmf,0,WIN,seam,no,17.6,11.733333333333333
2,1113,503,IND,4,314,3,AM Rahane,JO Holder,5,80,182,41.4,6424,50.91,Right-hand bat,92,45,2,5628.5,28.5,65.5,rmf,W,WIN,seam,no,17.6,11.733333333333333
