innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1500,86,ENG,0,36,-591,RJ Burns,RL Chase,1,27,45,30.12,444,54.27,Left-hand bat,2,1,0,3588.2,41.2,71.8,rob,4,WIN,spin,no,19.01851851851852,9.50925925925926
4,1501,87,ENG,0,40,-587,RJ Burns,RL Chase,1,31,46,30.12,444,54.27,Left-hand bat,3,5,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1502,88,ENG,0,40,-587,RJ Burns,RL Chase,1,31,47,30.12,444,54.27,Left-hand bat,4,5,0,3588.2,41.2,71.8,rob,1wd,WIN,spin,no,19.01851851851852,9.50925925925926
4,1503,89,ENG,0,41,-586,RJ Burns,RL Chase,1,31,47,30.12,444,54.27,Left-hand bat,5,6,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1504,90,ENG,0,41,-586,RJ Burns,RL Chase,1,31,48,30.12,444,54.27,Left-hand bat,6,6,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1511,97,ENG,0,41,-586,RJ Burns,RL Chase,1,31,49,30.12,444,54.27,Left-hand bat,7,6,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1512,98,ENG,0,41,-586,RJ Burns,RL Chase,1,31,50,30.12,444,54.27,Left-hand bat,8,6,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1513,99,ENG,0,41,-586,RJ Burns,RL Chase,1,31,51,30.12,444,54.27,Left-hand bat,9,6,0,3588.2,41.2,71.8,rob,1,WIN,spin,no,19.01851851851852,9.50925925925926
4,1515,101,ENG,0,43,-584,RJ Burns,RL Chase,1,32,52,30.12,444,54.27,Left-hand bat,11,8,0,3588.2,41.2,71.8,rob,1,WIN,spin,no,19.01851851851852,9.50925925925926
4,1525,111,ENG,0,51,-576,RJ Burns,RL Chase,1,39,59,30.12,444,54.27,Left-hand bat,15,10,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1526,112,ENG,0,51,-576,RJ Burns,RL Chase,1,39,60,30.12,444,54.27,Left-hand bat,16,10,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1527,113,ENG,0,51,-576,RJ Burns,RL Chase,1,39,61,30.12,444,54.27,Left-hand bat,17,10,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1528,114,ENG,0,51,-576,RJ Burns,RL Chase,1,39,62,30.12,444,54.27,Left-hand bat,18,10,0,3588.2,41.2,71.8,rob,0,WIN,spin,no,19.01851851851852,9.50925925925926
4,1679,265,ENG,1,134,-493,RJ Burns,RL Chase,1,84,132,30.12,444,54.27,Left-hand bat,23,15,0,3588.2,41.2,71.8,rob,W,WIN,spin,no,19.01851851851852,9.50925925925926
