innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,833,208,WIN,6,103,-174,SO Dowrich,MM Ali,7,14,28,29.82,3014,46.51,Right-hand bat,48,11,2,10692.2,36.37,60.4,rob,0,WIN,spin,yes,23.862857142857145,5.965714285714286
2,834,209,WIN,6,103,-174,SO Dowrich,MM Ali,7,14,29,29.82,3014,46.51,Right-hand bat,49,11,2,10692.2,36.37,60.4,rob,1,WIN,spin,yes,23.862857142857145,5.965714285714286
2,845,220,WIN,7,107,-170,SO Dowrich,MM Ali,7,16,31,29.82,3014,46.51,Right-hand bat,54,12,3,10692.2,36.37,60.4,rob,0,WIN,spin,yes,23.862857142857145,5.965714285714286
2,846,221,WIN,7,107,-170,SO Dowrich,MM Ali,7,16,32,29.82,3014,46.51,Right-hand bat,55,12,3,10692.2,36.37,60.4,rob,1,WIN,spin,yes,23.862857142857145,5.965714285714286
2,850,225,WIN,7,109,-168,SO Dowrich,MM Ali,7,17,33,29.82,3014,46.51,Right-hand bat,59,14,3,10692.2,36.37,60.4,rob,4,WIN,spin,yes,23.862857142857145,5.965714285714286
2,860,235,WIN,7,122,-155,SO Dowrich,MM Ali,7,21,37,29.82,3014,46.51,Right-hand bat,62,19,3,10692.2,36.37,60.4,rob,1,WIN,spin,yes,23.862857142857145,5.965714285714286
2,863,238,WIN,7,124,-153,SO Dowrich,MM Ali,7,22,38,29.82,3014,46.51,Right-hand bat,65,21,3,10692.2,36.37,60.4,rob,4,WIN,spin,yes,23.862857142857145,5.965714285714286
2,870,245,WIN,7,128,-149,SO Dowrich,MM Ali,7,26,39,29.82,3014,46.51,Right-hand bat,66,25,3,10692.2,36.37,60.4,rob,0,WIN,spin,yes,23.862857142857145,5.965714285714286
2,871,246,WIN,7,128,-149,SO Dowrich,MM Ali,7,26,40,29.82,3014,46.51,Right-hand bat,67,25,3,10692.2,36.37,60.4,rob,0,WIN,spin,yes,23.862857142857145,5.965714285714286
2,872,247,WIN,7,128,-149,SO Dowrich,MM Ali,7,26,41,29.82,3014,46.51,Right-hand bat,68,25,3,10692.2,36.37,60.4,rob,0,WIN,spin,yes,23.862857142857145,5.965714285714286
2,873,248,WIN,7,128,-149,SO Dowrich,MM Ali,7,26,42,29.82,3014,46.51,Right-hand bat,69,25,3,10692.2,36.37,60.4,rob,0,WIN,spin,yes,23.862857142857145,5.965714285714286
2,874,249,WIN,7,128,-149,SO Dowrich,MM Ali,7,26,43,29.82,3014,46.51,Right-hand bat,70,25,3,10692.2,36.37,60.4,rob,1,WIN,spin,yes,23.862857142857145,5.965714285714286
2,882,257,WIN,7,130,-147,SO Dowrich,MM Ali,7,28,46,29.82,3014,46.51,Right-hand bat,72,26,3,10692.2,36.37,60.4,rob,1,WIN,spin,yes,23.862857142857145,5.965714285714286
2,898,273,WIN,7,136,-141,SO Dowrich,MM Ali,7,33,53,29.82,3014,46.51,Right-hand bat,82,28,3,10692.2,36.37,60.4,rob,1,WIN,spin,yes,23.862857142857145,5.965714285714286
