innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1370,595,ENG,5,267,-108,OJ Pope,MJ Henry,7,2,15,27.33,381,43.04,Right-hand bat,126,54,1,2496.1,48.46,89.1,rfm,0,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1371,596,ENG,5,267,-108,OJ Pope,MJ Henry,7,2,16,27.33,381,43.04,Right-hand bat,127,54,1,2496.1,48.46,89.1,rfm,2,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1372,597,ENG,5,269,-106,OJ Pope,MJ Henry,7,4,17,27.33,381,43.04,Right-hand bat,128,56,1,2496.1,48.46,89.1,rfm,0,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1373,598,ENG,5,269,-106,OJ Pope,MJ Henry,7,4,18,27.33,381,43.04,Right-hand bat,129,56,1,2496.1,48.46,89.1,rfm,0,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1374,599,ENG,5,269,-106,OJ Pope,MJ Henry,7,4,19,27.33,381,43.04,Right-hand bat,130,56,1,2496.1,48.46,89.1,rfm,2,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1375,600,ENG,5,271,-104,OJ Pope,MJ Henry,7,6,20,27.33,381,43.04,Right-hand bat,131,58,1,2496.1,48.46,89.1,rfm,0,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1382,607,ENG,5,273,-102,OJ Pope,MJ Henry,7,7,26,27.33,381,43.04,Right-hand bat,132,58,1,2496.1,48.46,89.1,rfm,0,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1383,608,ENG,5,273,-102,OJ Pope,MJ Henry,7,7,27,27.33,381,43.04,Right-hand bat,133,58,1,2496.1,48.46,89.1,rfm,2,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1384,609,ENG,5,275,-100,OJ Pope,MJ Henry,7,9,28,27.33,381,43.04,Right-hand bat,134,60,1,2496.1,48.46,89.1,rfm,0,NZL,seam,yes,47.38016528925619,2.256198347107438
2,1385,610,ENG,5,275,-100,OJ Pope,MJ Henry,7,9,29,27.33,381,43.04,Right-hand bat,135,60,1,2496.1,48.46,89.1,rfm,0,NZL,seam,yes,47.38016528925619,2.256198347107438
