innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,218,218,IND,4,98,98,AM Rahane,RL Chase,5,31,87,41.71,7292,50.34,Right-hand bat,7,1,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,219,219,IND,4,98,98,AM Rahane,RL Chase,5,31,88,41.71,7292,50.34,Right-hand bat,8,1,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,220,220,IND,4,98,98,AM Rahane,RL Chase,5,31,89,41.71,7292,50.34,Right-hand bat,9,1,1,4206.2,43.08,75.1,rob,1,WIN,spin,no,20.37837837837838,5.621621621621622
1,232,232,IND,4,110,110,AM Rahane,RL Chase,5,38,96,41.71,7292,50.34,Right-hand bat,15,7,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,233,233,IND,4,110,110,AM Rahane,RL Chase,5,38,97,41.71,7292,50.34,Right-hand bat,16,7,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,234,234,IND,4,110,110,AM Rahane,RL Chase,5,38,98,41.71,7292,50.34,Right-hand bat,17,7,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,241,241,IND,4,110,110,AM Rahane,RL Chase,5,38,99,41.71,7292,50.34,Right-hand bat,18,7,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,242,242,IND,4,110,110,AM Rahane,RL Chase,5,38,100,41.71,7292,50.34,Right-hand bat,19,7,1,4206.2,43.08,75.1,rob,2,WIN,spin,no,20.37837837837838,5.621621621621622
1,243,243,IND,4,112,112,AM Rahane,RL Chase,5,40,101,41.71,7292,50.34,Right-hand bat,20,9,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,244,244,IND,4,112,112,AM Rahane,RL Chase,5,40,102,41.71,7292,50.34,Right-hand bat,21,9,1,4206.2,43.08,75.1,rob,2,WIN,spin,no,20.37837837837838,5.621621621621622
1,245,245,IND,4,114,114,AM Rahane,RL Chase,5,42,103,41.71,7292,50.34,Right-hand bat,22,11,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,246,246,IND,4,114,114,AM Rahane,RL Chase,5,42,104,41.71,7292,50.34,Right-hand bat,23,11,1,4206.2,43.08,75.1,rob,1,WIN,spin,no,20.37837837837838,5.621621621621622
1,253,253,IND,4,118,118,AM Rahane,RL Chase,5,45,107,41.71,7292,50.34,Right-hand bat,24,12,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,254,254,IND,4,118,118,AM Rahane,RL Chase,5,45,108,41.71,7292,50.34,Right-hand bat,25,12,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,255,255,IND,4,118,118,AM Rahane,RL Chase,5,45,109,41.71,7292,50.34,Right-hand bat,26,12,1,4206.2,43.08,75.1,rob,1,WIN,spin,no,20.37837837837838,5.621621621621622
1,279,279,IND,4,134,134,AM Rahane,RL Chase,5,50,118,41.71,7292,50.34,Right-hand bat,38,22,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,280,280,IND,4,134,134,AM Rahane,RL Chase,5,50,119,41.71,7292,50.34,Right-hand bat,39,22,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,281,281,IND,4,134,134,AM Rahane,RL Chase,5,50,120,41.71,7292,50.34,Right-hand bat,40,22,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,282,282,IND,4,134,134,AM Rahane,RL Chase,5,50,121,41.71,7292,50.34,Right-hand bat,41,22,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,289,289,IND,4,140,140,AM Rahane,RL Chase,5,55,124,41.71,7292,50.34,Right-hand bat,42,22,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,290,290,IND,4,140,140,AM Rahane,RL Chase,5,55,125,41.71,7292,50.34,Right-hand bat,43,22,1,4206.2,43.08,75.1,rob,2,WIN,spin,no,20.37837837837838,5.621621621621622
1,291,291,IND,4,142,142,AM Rahane,RL Chase,5,57,126,41.71,7292,50.34,Right-hand bat,44,24,1,4206.2,43.08,75.1,rob,4,WIN,spin,no,20.37837837837838,5.621621621621622
1,292,292,IND,4,146,146,AM Rahane,RL Chase,5,61,127,41.71,7292,50.34,Right-hand bat,45,28,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,293,293,IND,4,146,146,AM Rahane,RL Chase,5,61,128,41.71,7292,50.34,Right-hand bat,46,28,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,294,294,IND,4,146,146,AM Rahane,RL Chase,5,61,129,41.71,7292,50.34,Right-hand bat,47,28,1,4206.2,43.08,75.1,rob,0,WIN,spin,no,20.37837837837838,5.621621621621622
1,301,301,IND,4,154,154,AM Rahane,RL Chase,5,61,130,41.71,7292,50.34,Right-hand bat,48,28,1,4206.2,43.08,75.1,rob,4,WIN,spin,no,20.37837837837838,5.621621621621622
1,302,302,IND,4,158,158,AM Rahane,RL Chase,5,65,131,41.71,7292,50.34,Right-hand bat,49,32,1,4206.2,43.08,75.1,rob,1,WIN,spin,no,20.37837837837838,5.621621621621622
1,306,306,IND,4,160,160,AM Rahane,RL Chase,5,66,132,41.71,7292,50.34,Right-hand bat,53,34,1,4206.2,43.08,75.1,rob,1,WIN,spin,no,20.37837837837838,5.621621621621622
