innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1797,97,SRL,0,30,-237,FDM Karunaratne,MJ Santner,1,20,60,36.82,8599,49.24,Left-hand bat,7,1,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1798,98,SRL,0,30,-237,FDM Karunaratne,MJ Santner,1,20,61,36.82,8599,49.24,Left-hand bat,8,1,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1799,99,SRL,0,30,-237,FDM Karunaratne,MJ Santner,1,20,62,36.82,8599,49.24,Left-hand bat,9,1,0,2844.2,39.08,83.7,lo,1,SRL,spin,no,9.247404844290658,22.19377162629758
4,1808,108,SRL,0,32,-235,FDM Karunaratne,MJ Santner,1,22,64,36.82,8599,49.24,Left-hand bat,12,2,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1809,109,SRL,0,32,-235,FDM Karunaratne,MJ Santner,1,22,65,36.82,8599,49.24,Left-hand bat,13,2,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1810,110,SRL,0,32,-235,FDM Karunaratne,MJ Santner,1,22,66,36.82,8599,49.24,Left-hand bat,14,2,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1811,111,SRL,0,32,-235,FDM Karunaratne,MJ Santner,1,22,67,36.82,8599,49.24,Left-hand bat,15,2,0,2844.2,39.08,83.7,lo,1,SRL,spin,no,9.247404844290658,22.19377162629758
4,1820,120,SRL,0,34,-233,FDM Karunaratne,MJ Santner,1,24,72,36.82,8599,49.24,Left-hand bat,18,3,0,2844.2,39.08,83.7,lo,1,SRL,spin,no,9.247404844290658,22.19377162629758
4,1825,125,SRL,0,36,-231,FDM Karunaratne,MJ Santner,1,25,73,36.82,8599,49.24,Left-hand bat,23,5,0,2844.2,39.08,83.7,lo,1,SRL,spin,no,9.247404844290658,22.19377162629758
4,1832,132,SRL,0,42,-225,FDM Karunaratne,MJ Santner,1,30,80,36.82,8599,49.24,Left-hand bat,24,6,0,2844.2,39.08,83.7,lo,2,SRL,spin,no,9.247404844290658,22.19377162629758
4,1833,133,SRL,0,44,-223,FDM Karunaratne,MJ Santner,1,32,81,36.82,8599,49.24,Left-hand bat,25,8,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1834,134,SRL,0,44,-223,FDM Karunaratne,MJ Santner,1,32,82,36.82,8599,49.24,Left-hand bat,26,8,0,2844.2,39.08,83.7,lo,2,SRL,spin,no,9.247404844290658,22.19377162629758
4,1835,135,SRL,0,46,-221,FDM Karunaratne,MJ Santner,1,34,83,36.82,8599,49.24,Left-hand bat,27,10,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1836,136,SRL,0,46,-221,FDM Karunaratne,MJ Santner,1,34,84,36.82,8599,49.24,Left-hand bat,28,10,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1837,137,SRL,0,46,-221,FDM Karunaratne,MJ Santner,1,34,85,36.82,8599,49.24,Left-hand bat,29,10,0,2844.2,39.08,83.7,lo,0,SRL,spin,no,9.247404844290658,22.19377162629758
4,1856,156,SRL,0,52,-215,FDM Karunaratne,MJ Santner,1,34,89,36.82,8599,49.24,Left-hand bat,36,11,0,2844.2,39.08,83.7,lo,2,SRL,spin,no,9.247404844290658,22.19377162629758
