innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1430,192,SRL,5,52,-135,N Dickwella,TG Southee,6,9,39,30.49,2555,68.02,Left-hand bat,30,9,0,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1431,193,SRL,5,52,-135,N Dickwella,TG Southee,6,9,40,30.49,2555,68.02,Left-hand bat,31,9,0,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1432,194,SRL,5,52,-135,N Dickwella,TG Southee,6,9,41,30.49,2555,68.02,Left-hand bat,32,9,0,14868.2,29.9,59.2,rmf,2lb,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1433,195,SRL,5,54,-133,N Dickwella,TG Southee,6,9,42,30.49,2555,68.02,Left-hand bat,33,9,0,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1434,196,SRL,5,54,-133,N Dickwella,TG Southee,6,9,43,30.49,2555,68.02,Left-hand bat,34,9,0,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1435,197,SRL,5,54,-133,N Dickwella,TG Southee,6,9,44,30.49,2555,68.02,Left-hand bat,35,9,0,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1442,204,SRL,5,56,-131,N Dickwella,TG Southee,6,9,45,30.49,2555,68.02,Left-hand bat,36,9,0,14868.2,29.9,59.2,rmf,1,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1496,258,SRL,5,71,-116,N Dickwella,TG Southee,6,20,71,30.49,2555,68.02,Left-hand bat,48,12,0,14868.2,29.9,59.2,rmf,1wd,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1497,259,SRL,5,72,-115,N Dickwella,TG Southee,6,20,71,30.49,2555,68.02,Left-hand bat,49,13,0,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1498,260,SRL,5,72,-115,N Dickwella,TG Southee,6,20,72,30.49,2555,68.02,Left-hand bat,50,13,0,14868.2,29.9,59.2,rmf,1,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1509,271,SRL,6,74,-113,N Dickwella,TG Southee,6,22,75,30.49,2555,68.02,Left-hand bat,55,14,1,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1510,272,SRL,6,74,-113,N Dickwella,TG Southee,6,22,76,30.49,2555,68.02,Left-hand bat,56,14,1,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1511,273,SRL,6,74,-113,N Dickwella,TG Southee,6,22,77,30.49,2555,68.02,Left-hand bat,57,14,1,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1512,274,SRL,6,74,-113,N Dickwella,TG Southee,6,22,78,30.49,2555,68.02,Left-hand bat,58,14,1,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1513,275,SRL,6,74,-113,N Dickwella,TG Southee,6,22,79,30.49,2555,68.02,Left-hand bat,59,14,1,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1514,276,SRL,6,74,-113,N Dickwella,TG Southee,6,22,80,30.49,2555,68.02,Left-hand bat,60,14,1,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1521,283,SRL,6,74,-113,N Dickwella,TG Southee,6,22,81,30.49,2555,68.02,Left-hand bat,61,14,1,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1522,284,SRL,6,74,-113,N Dickwella,TG Southee,6,22,82,30.49,2555,68.02,Left-hand bat,62,14,1,14868.2,29.9,59.2,rmf,0,SRL,seam,yes,17.68491124260355,12.968934911242602
3,1523,285,SRL,6,74,-113,N Dickwella,TG Southee,6,22,83,30.49,2555,68.02,Left-hand bat,63,14,1,14868.2,29.9,59.2,rmf,1,SRL,seam,yes,17.68491124260355,12.968934911242602
