innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,2048,15,IND,1,3,-34,R Dravid,B Lee,3,0,1,55.11,23582,42.06,Right-hand bat,9,2,0,13968,29.97,51.5,rf,0,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2049,16,IND,1,3,-34,R Dravid,B Lee,3,0,2,55.11,23582,42.06,Right-hand bat,10,2,0,13968,29.97,51.5,rf,0,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2050,17,IND,1,3,-34,R Dravid,B Lee,3,0,3,55.11,23582,42.06,Right-hand bat,11,2,0,13968,29.97,51.5,rf,0,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2062,29,IND,1,5,-32,R Dravid,B Lee,3,0,5,55.11,23582,42.06,Right-hand bat,17,3,0,13968,29.97,51.5,rf,0,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2071,38,IND,1,7,-30,R Dravid,B Lee,3,0,6,55.11,23582,42.06,Right-hand bat,20,4,0,13968,29.97,51.5,rf,1,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2073,40,IND,1,9,-28,R Dravid,B Lee,3,1,7,55.11,23582,42.06,Right-hand bat,22,5,0,13968,29.97,51.5,rf,0,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2074,41,IND,1,9,-28,R Dravid,B Lee,3,1,8,55.11,23582,42.06,Right-hand bat,23,5,0,13968,29.97,51.5,rf,0,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2083,50,IND,1,12,-25,R Dravid,B Lee,3,1,12,55.11,23582,42.06,Right-hand bat,25,6,0,13968,29.97,51.5,rf,0,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2084,51,IND,1,12,-25,R Dravid,B Lee,3,1,13,55.11,23582,42.06,Right-hand bat,26,6,0,13968,29.97,51.5,rf,1,AUS,seam,yes,39.11934156378601,13.039780521262003
3,2086,53,IND,1,14,-23,R Dravid,B Lee,3,2,14,55.11,23582,42.06,Right-hand bat,28,8,0,13968,29.97,51.5,rf,0,AUS,seam,yes,39.11934156378601,13.039780521262003
