innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,6,6,WIN,0,1,1,CH Gayle,M Ntini,1,1,4,38.49,8136,57.25,Left-hand bat,0,0,0,16980.1,27.88,52,rf,2,RSA,seam,yes,26.94949494949495,3.717171717171717
1,7,7,WIN,0,3,3,CH Gayle,M Ntini,1,3,5,38.49,8136,57.25,Left-hand bat,1,2,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,8,8,WIN,0,3,3,CH Gayle,M Ntini,1,3,6,38.49,8136,57.25,Left-hand bat,2,2,0,16980.1,27.88,52,rf,1,RSA,seam,yes,26.94949494949495,3.717171717171717
1,10,10,WIN,0,5,5,CH Gayle,M Ntini,1,4,7,38.49,8136,57.25,Left-hand bat,4,4,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,11,11,WIN,0,5,5,CH Gayle,M Ntini,1,4,8,38.49,8136,57.25,Left-hand bat,5,4,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,19,19,WIN,0,8,8,CH Gayle,M Ntini,1,5,10,38.49,8136,57.25,Left-hand bat,6,4,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,20,20,WIN,0,8,8,CH Gayle,M Ntini,1,5,11,38.49,8136,57.25,Left-hand bat,7,4,0,16980.1,27.88,52,rf,3,RSA,seam,yes,26.94949494949495,3.717171717171717
1,24,24,WIN,0,12,12,CH Gayle,M Ntini,1,8,12,38.49,8136,57.25,Left-hand bat,11,8,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,31,31,WIN,1,12,12,CH Gayle,M Ntini,1,8,13,38.49,8136,57.25,Left-hand bat,12,8,0,16980.1,27.88,52,rf,1,RSA,seam,yes,26.94949494949495,3.717171717171717
1,43,43,WIN,1,24,24,CH Gayle,M Ntini,1,9,14,38.49,8136,57.25,Left-hand bat,18,12,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,44,44,WIN,1,24,24,CH Gayle,M Ntini,1,9,15,38.49,8136,57.25,Left-hand bat,19,12,0,16980.1,27.88,52,rf,4,RSA,seam,yes,26.94949494949495,3.717171717171717
1,45,45,WIN,1,28,28,CH Gayle,M Ntini,1,13,16,38.49,8136,57.25,Left-hand bat,20,16,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,46,46,WIN,1,28,28,CH Gayle,M Ntini,1,13,17,38.49,8136,57.25,Left-hand bat,21,16,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,47,47,WIN,1,28,28,CH Gayle,M Ntini,1,13,18,38.49,8136,57.25,Left-hand bat,22,16,0,16980.1,27.88,52,rf,0,RSA,seam,yes,26.94949494949495,3.717171717171717
1,48,48,WIN,1,28,28,CH Gayle,M Ntini,1,13,19,38.49,8136,57.25,Left-hand bat,23,16,0,16980.1,27.88,52,rf,6,RSA,seam,yes,26.94949494949495,3.717171717171717
