innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2267,276,ZIM,3,97,-289,CR Ervine,IS Sodhi,4,17,53,32.62,1103,47.32,Left-hand bat,0,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2268,277,ZIM,3,97,-289,CR Ervine,IS Sodhi,4,17,54,32.62,1103,47.32,Left-hand bat,1,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2269,278,ZIM,3,97,-289,CR Ervine,IS Sodhi,4,17,55,32.62,1103,47.32,Left-hand bat,2,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2270,279,ZIM,3,97,-289,CR Ervine,IS Sodhi,4,17,56,32.62,1103,47.32,Left-hand bat,3,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2271,280,ZIM,3,97,-289,CR Ervine,IS Sodhi,4,17,57,32.62,1103,47.32,Left-hand bat,4,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2272,281,ZIM,3,97,-289,CR Ervine,IS Sodhi,4,17,58,32.62,1103,47.32,Left-hand bat,5,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2279,288,ZIM,4,97,-289,CR Ervine,IS Sodhi,4,17,59,32.62,1103,47.32,Left-hand bat,6,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2280,289,ZIM,4,97,-289,CR Ervine,IS Sodhi,4,17,60,32.62,1103,47.32,Left-hand bat,7,0,0,2616,46.42,74.7,rls,1lb,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2291,300,ZIM,4,99,-287,CR Ervine,IS Sodhi,4,18,63,32.62,1103,47.32,Left-hand bat,12,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2292,301,ZIM,4,99,-287,CR Ervine,IS Sodhi,4,18,64,32.62,1103,47.32,Left-hand bat,13,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2293,302,ZIM,4,99,-287,CR Ervine,IS Sodhi,4,18,65,32.62,1103,47.32,Left-hand bat,14,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2294,303,ZIM,4,99,-287,CR Ervine,IS Sodhi,4,18,66,32.62,1103,47.32,Left-hand bat,15,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2295,304,ZIM,4,99,-287,CR Ervine,IS Sodhi,4,18,67,32.62,1103,47.32,Left-hand bat,16,0,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2296,305,ZIM,4,99,-287,CR Ervine,IS Sodhi,4,18,68,32.62,1103,47.32,Left-hand bat,17,0,0,2616,46.42,74.7,rls,2,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2303,312,ZIM,4,103,-283,CR Ervine,IS Sodhi,4,21,72,32.62,1103,47.32,Left-hand bat,18,2,0,2616,46.42,74.7,rls,1,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2308,317,ZIM,4,105,-281,CR Ervine,IS Sodhi,4,22,73,32.62,1103,47.32,Left-hand bat,23,4,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2317,326,ZIM,4,107,-279,CR Ervine,IS Sodhi,4,22,75,32.62,1103,47.32,Left-hand bat,26,5,0,2616,46.42,74.7,rls,4,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2318,327,ZIM,4,111,-275,CR Ervine,IS Sodhi,4,26,76,32.62,1103,47.32,Left-hand bat,27,9,0,2616,46.42,74.7,rls,0,ZIM,spin,no,20.21005917159763,27.559171597633135
4,2319,328,ZIM,4,111,-275,CR Ervine,IS Sodhi,4,26,77,32.62,1103,47.32,Left-hand bat,28,9,0,2616,46.42,74.7,rls,1,ZIM,spin,no,20.21005917159763,27.559171597633135
