innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1262,119,RSA,1,76,-128,HM Amla,Shakib Al Hasan,3,14,25,33.81,2704,46.26,Right-hand bat,4,1,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1263,120,RSA,1,76,-128,HM Amla,Shakib Al Hasan,3,14,26,33.81,2704,46.26,Right-hand bat,5,1,0,504,123,252,lo,1,BAN,spin,no,17.119999999999997,4.279999999999999
4,1272,129,RSA,1,90,-114,HM Amla,Shakib Al Hasan,3,17,29,33.81,2704,46.26,Right-hand bat,8,3,0,504,123,252,lo,1,BAN,spin,no,17.119999999999997,4.279999999999999
4,1285,142,RSA,1,96,-108,HM Amla,Shakib Al Hasan,3,21,34,33.81,2704,46.26,Right-hand bat,15,5,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1286,143,RSA,1,96,-108,HM Amla,Shakib Al Hasan,3,21,35,33.81,2704,46.26,Right-hand bat,16,5,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1287,144,RSA,1,96,-108,HM Amla,Shakib Al Hasan,3,21,36,33.81,2704,46.26,Right-hand bat,17,5,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1300,157,RSA,1,99,-105,HM Amla,Shakib Al Hasan,3,21,38,33.81,2704,46.26,Right-hand bat,18,5,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1301,158,RSA,1,99,-105,HM Amla,Shakib Al Hasan,3,21,39,33.81,2704,46.26,Right-hand bat,19,5,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1302,159,RSA,1,99,-105,HM Amla,Shakib Al Hasan,3,21,40,33.81,2704,46.26,Right-hand bat,20,5,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1303,160,RSA,1,99,-105,HM Amla,Shakib Al Hasan,3,21,41,33.81,2704,46.26,Right-hand bat,21,5,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1304,161,RSA,1,99,-105,HM Amla,Shakib Al Hasan,3,21,42,33.81,2704,46.26,Right-hand bat,22,5,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1305,162,RSA,1,99,-105,HM Amla,Shakib Al Hasan,3,21,43,33.81,2704,46.26,Right-hand bat,23,5,0,504,123,252,lo,2,BAN,spin,no,17.119999999999997,4.279999999999999
4,1314,171,RSA,1,103,-101,HM Amla,Shakib Al Hasan,3,23,48,33.81,2704,46.26,Right-hand bat,26,8,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1315,172,RSA,1,103,-101,HM Amla,Shakib Al Hasan,3,23,49,33.81,2704,46.26,Right-hand bat,27,8,0,504,123,252,lo,4,BAN,spin,no,17.119999999999997,4.279999999999999
4,1316,173,RSA,1,107,-97,HM Amla,Shakib Al Hasan,3,27,50,33.81,2704,46.26,Right-hand bat,28,12,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1317,174,RSA,1,107,-97,HM Amla,Shakib Al Hasan,3,27,51,33.81,2704,46.26,Right-hand bat,29,12,0,504,123,252,lo,4,BAN,spin,no,17.119999999999997,4.279999999999999
4,1328,185,RSA,1,121,-83,HM Amla,Shakib Al Hasan,3,32,55,33.81,2704,46.26,Right-hand bat,34,21,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1329,186,RSA,1,121,-83,HM Amla,Shakib Al Hasan,3,32,56,33.81,2704,46.26,Right-hand bat,35,21,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1338,195,RSA,1,123,-81,HM Amla,Shakib Al Hasan,3,32,61,33.81,2704,46.26,Right-hand bat,38,22,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1339,196,RSA,1,123,-81,HM Amla,Shakib Al Hasan,3,32,62,33.81,2704,46.26,Right-hand bat,39,22,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
4,1340,197,RSA,1,123,-81,HM Amla,Shakib Al Hasan,3,32,63,33.81,2704,46.26,Right-hand bat,40,22,0,504,123,252,lo,2,BAN,spin,no,17.119999999999997,4.279999999999999
4,1341,198,RSA,1,125,-79,HM Amla,Shakib Al Hasan,3,34,64,33.81,2704,46.26,Right-hand bat,41,24,0,504,123,252,lo,0,BAN,spin,no,17.119999999999997,4.279999999999999
