innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1182,206,IND,4,125,-293,MS Dhoni,M Morkel,6,0,0,33.8,2196,63.11,Right-hand bat,49,30,2,732.5,36.84,56.6,rf,1,IND,seam,yes,25.868312757201647,7.390946502057613
3,1191,215,IND,4,127,-291,MS Dhoni,M Morkel,6,1,7,33.8,2196,63.11,Right-hand bat,52,32,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1192,216,IND,4,127,-291,MS Dhoni,M Morkel,6,1,8,33.8,2196,63.11,Right-hand bat,53,32,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1193,217,IND,4,127,-291,MS Dhoni,M Morkel,6,1,9,33.8,2196,63.11,Right-hand bat,54,32,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1194,218,IND,4,127,-291,MS Dhoni,M Morkel,6,1,10,33.8,2196,63.11,Right-hand bat,55,32,2,732.5,36.84,56.6,rf,1nb,IND,seam,yes,25.868312757201647,7.390946502057613
3,1195,219,IND,4,128,-290,MS Dhoni,M Morkel,6,1,11,33.8,2196,63.11,Right-hand bat,56,33,2,732.5,36.84,56.6,rf,4,IND,seam,yes,25.868312757201647,7.390946502057613
3,1196,220,IND,4,132,-286,MS Dhoni,M Morkel,6,5,12,33.8,2196,63.11,Right-hand bat,57,37,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1204,228,IND,4,134,-284,MS Dhoni,M Morkel,6,5,17,33.8,2196,63.11,Right-hand bat,59,38,2,732.5,36.84,56.6,rf,3,IND,seam,yes,25.868312757201647,7.390946502057613
3,1338,362,IND,4,198,-220,MS Dhoni,M Morkel,6,28,87,33.8,2196,63.11,Right-hand bat,73,47,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1339,363,IND,4,198,-220,MS Dhoni,M Morkel,6,28,88,33.8,2196,63.11,Right-hand bat,74,47,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1340,364,IND,4,198,-220,MS Dhoni,M Morkel,6,28,89,33.8,2196,63.11,Right-hand bat,75,47,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1348,372,IND,4,204,-214,MS Dhoni,M Morkel,6,28,91,33.8,2196,63.11,Right-hand bat,77,48,2,732.5,36.84,56.6,rf,3,IND,seam,yes,25.868312757201647,7.390946502057613
3,1363,387,IND,4,217,-201,MS Dhoni,M Morkel,6,32,95,33.8,2196,63.11,Right-hand bat,86,59,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1364,388,IND,4,217,-201,MS Dhoni,M Morkel,6,32,96,33.8,2196,63.11,Right-hand bat,87,59,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1365,389,IND,4,217,-201,MS Dhoni,M Morkel,6,32,97,33.8,2196,63.11,Right-hand bat,88,59,2,732.5,36.84,56.6,rf,0,IND,seam,yes,25.868312757201647,7.390946502057613
3,1372,396,IND,4,219,-199,MS Dhoni,M Morkel,6,33,102,33.8,2196,63.11,Right-hand bat,89,59,2,732.5,36.84,56.6,rf,3,IND,seam,yes,25.868312757201647,7.390946502057613
3,1377,401,IND,4,225,-193,MS Dhoni,M Morkel,6,36,103,33.8,2196,63.11,Right-hand bat,94,65,2,732.5,36.84,56.6,rf,1wd,IND,seam,yes,25.868312757201647,7.390946502057613
3,1378,402,IND,4,226,-192,MS Dhoni,M Morkel,6,36,103,33.8,2196,63.11,Right-hand bat,95,66,2,732.5,36.84,56.6,rf,1,IND,seam,yes,25.868312757201647,7.390946502057613
