innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,944,944,IND,7,580,580,Z Khan,MJ Clarke,9,1,2,13.08,1509,50.29,Right-hand bat,66,43,0,1242.4,31.55,69.2,lo,0,IND,spin,yes,29.52479338842975,35.429752066115704
1,945,945,IND,7,580,580,Z Khan,MJ Clarke,9,1,3,13.08,1509,50.29,Right-hand bat,67,43,0,1242.4,31.55,69.2,lo,0,IND,spin,yes,29.52479338842975,35.429752066115704
1,946,946,IND,7,580,580,Z Khan,MJ Clarke,9,1,4,13.08,1509,50.29,Right-hand bat,68,43,0,1242.4,31.55,69.2,lo,4,IND,spin,yes,29.52479338842975,35.429752066115704
1,947,947,IND,7,584,584,Z Khan,MJ Clarke,9,5,5,13.08,1509,50.29,Right-hand bat,69,47,0,1242.4,31.55,69.2,lo,0,IND,spin,yes,29.52479338842975,35.429752066115704
1,948,948,IND,7,584,584,Z Khan,MJ Clarke,9,5,6,13.08,1509,50.29,Right-hand bat,70,47,0,1242.4,31.55,69.2,lo,0,IND,spin,yes,29.52479338842975,35.429752066115704
1,949,949,IND,7,584,584,Z Khan,MJ Clarke,9,5,7,13.08,1509,50.29,Right-hand bat,71,47,0,1242.4,31.55,69.2,lo,0,IND,spin,yes,29.52479338842975,35.429752066115704
1,955,955,IND,7,590,590,Z Khan,MJ Clarke,9,10,10,13.08,1509,50.29,Right-hand bat,72,47,0,1242.4,31.55,69.2,lo,1,IND,spin,yes,29.52479338842975,35.429752066115704
1,957,957,IND,7,592,592,Z Khan,MJ Clarke,9,11,11,13.08,1509,50.29,Right-hand bat,74,49,0,1242.4,31.55,69.2,lo,4,IND,spin,yes,29.52479338842975,35.429752066115704
1,958,958,IND,7,596,596,Z Khan,MJ Clarke,9,15,12,13.08,1509,50.29,Right-hand bat,75,53,0,1242.4,31.55,69.2,lo,0,IND,spin,yes,29.52479338842975,35.429752066115704
1,959,959,IND,7,596,596,Z Khan,MJ Clarke,9,15,13,13.08,1509,50.29,Right-hand bat,76,53,0,1242.4,31.55,69.2,lo,2,IND,spin,yes,29.52479338842975,35.429752066115704
1,960,960,IND,7,598,598,Z Khan,MJ Clarke,9,17,14,13.08,1509,50.29,Right-hand bat,77,55,0,1242.4,31.55,69.2,lo,0,IND,spin,yes,29.52479338842975,35.429752066115704
1,971,971,IND,7,610,610,Z Khan,MJ Clarke,9,27,20,13.08,1509,50.29,Right-hand bat,82,56,0,1242.4,31.55,69.2,lo,1,IND,spin,yes,29.52479338842975,35.429752066115704
