innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,512,512,IND,5,306,306,MS Dhoni,B Lee,7,1,6,36.7,2716,63.51,Right-hand bat,68,42,0,15648.4,30.44,52.7,rf,2,IND,seam,yes,11.375,21.125
1,513,513,IND,5,308,308,MS Dhoni,B Lee,7,3,7,36.7,2716,63.51,Right-hand bat,69,44,0,15648.4,30.44,52.7,rf,1,IND,seam,yes,11.375,21.125
1,530,530,IND,5,315,315,MS Dhoni,B Lee,7,5,15,36.7,2716,63.51,Right-hand bat,74,46,0,15648.4,30.44,52.7,rf,0,IND,seam,yes,11.375,21.125
1,531,531,IND,5,315,315,MS Dhoni,B Lee,7,5,16,36.7,2716,63.51,Right-hand bat,75,46,0,15648.4,30.44,52.7,rf,3,IND,seam,yes,11.375,21.125
1,535,535,IND,5,320,320,MS Dhoni,B Lee,7,8,17,36.7,2716,63.51,Right-hand bat,79,51,0,15648.4,30.44,52.7,rf,3,IND,seam,yes,11.375,21.125
1,557,557,IND,5,330,330,MS Dhoni,B Lee,7,14,27,36.7,2716,63.51,Right-hand bat,89,55,0,15648.4,30.44,52.7,rf,0,IND,seam,yes,11.375,21.125
1,558,558,IND,5,330,330,MS Dhoni,B Lee,7,14,28,36.7,2716,63.51,Right-hand bat,90,55,0,15648.4,30.44,52.7,rf,0,IND,seam,yes,11.375,21.125
1,559,559,IND,5,330,330,MS Dhoni,B Lee,7,14,29,36.7,2716,63.51,Right-hand bat,91,55,0,15648.4,30.44,52.7,rf,0,IND,seam,yes,11.375,21.125
1,560,560,IND,5,330,330,MS Dhoni,B Lee,7,14,30,36.7,2716,63.51,Right-hand bat,92,55,0,15648.4,30.44,52.7,rf,1,IND,seam,yes,11.375,21.125
1,567,567,IND,5,332,332,MS Dhoni,B Lee,7,16,34,36.7,2716,63.51,Right-hand bat,93,56,0,15648.4,30.44,52.7,rf,0,IND,seam,yes,11.375,21.125
1,568,568,IND,5,332,332,MS Dhoni,B Lee,7,16,35,36.7,2716,63.51,Right-hand bat,94,56,0,15648.4,30.44,52.7,rf,2,IND,seam,yes,11.375,21.125
1,569,569,IND,5,334,334,MS Dhoni,B Lee,7,18,36,36.7,2716,63.51,Right-hand bat,95,58,0,15648.4,30.44,52.7,rf,4,IND,seam,yes,11.375,21.125
1,570,570,IND,5,338,338,MS Dhoni,B Lee,7,22,37,36.7,2716,63.51,Right-hand bat,96,62,0,15648.4,30.44,52.7,rf,0,IND,seam,yes,11.375,21.125
1,571,571,IND,5,338,338,MS Dhoni,B Lee,7,22,38,36.7,2716,63.51,Right-hand bat,97,62,0,15648.4,30.44,52.7,rf,0,IND,seam,yes,11.375,21.125
1,572,572,IND,5,338,338,MS Dhoni,B Lee,7,22,39,36.7,2716,63.51,Right-hand bat,98,62,0,15648.4,30.44,52.7,rf,0,IND,seam,yes,11.375,21.125
