innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1859,107,ENG,4,47,-192,MJ Prior,PM Siddle,6,0,0,47.29,1836,61.81,Right-hand bat,8,5,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1860,108,ENG,4,47,-192,MJ Prior,PM Siddle,6,0,1,47.29,1836,61.81,Right-hand bat,9,5,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1861,109,ENG,4,47,-192,MJ Prior,PM Siddle,6,0,2,47.29,1836,61.81,Right-hand bat,10,5,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1862,110,ENG,4,47,-192,MJ Prior,PM Siddle,6,0,3,47.29,1836,61.81,Right-hand bat,11,5,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1863,111,ENG,4,47,-192,MJ Prior,PM Siddle,6,0,4,47.29,1836,61.81,Right-hand bat,12,5,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1870,118,ENG,4,51,-188,MJ Prior,PM Siddle,6,3,7,47.29,1836,61.81,Right-hand bat,13,5,0,2136.1,30.43,66.7,rfm,4,ENG,seam,yes,39.196799999999996,15.2432
3,1871,119,ENG,4,55,-184,MJ Prior,PM Siddle,6,7,8,47.29,1836,61.81,Right-hand bat,14,9,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1872,120,ENG,4,55,-184,MJ Prior,PM Siddle,6,7,9,47.29,1836,61.81,Right-hand bat,15,9,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1873,121,ENG,4,55,-184,MJ Prior,PM Siddle,6,7,10,47.29,1836,61.81,Right-hand bat,16,9,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1874,122,ENG,4,55,-184,MJ Prior,PM Siddle,6,7,11,47.29,1836,61.81,Right-hand bat,17,9,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1875,123,ENG,4,55,-184,MJ Prior,PM Siddle,6,7,12,47.29,1836,61.81,Right-hand bat,18,9,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1882,130,ENG,4,55,-184,MJ Prior,PM Siddle,6,7,13,47.29,1836,61.81,Right-hand bat,19,9,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1883,131,ENG,4,55,-184,MJ Prior,PM Siddle,6,7,14,47.29,1836,61.81,Right-hand bat,20,9,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1884,132,ENG,4,55,-184,MJ Prior,PM Siddle,6,7,15,47.29,1836,61.81,Right-hand bat,21,9,0,2136.1,30.43,66.7,rfm,1,ENG,seam,yes,39.196799999999996,15.2432
3,1894,142,ENG,4,59,-180,MJ Prior,PM Siddle,6,11,18,47.29,1836,61.81,Right-hand bat,25,10,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1895,143,ENG,4,59,-180,MJ Prior,PM Siddle,6,11,19,47.29,1836,61.81,Right-hand bat,26,10,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1896,144,ENG,4,59,-180,MJ Prior,PM Siddle,6,11,20,47.29,1836,61.81,Right-hand bat,27,10,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1897,145,ENG,4,59,-180,MJ Prior,PM Siddle,6,11,21,47.29,1836,61.81,Right-hand bat,28,10,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1898,146,ENG,4,59,-180,MJ Prior,PM Siddle,6,11,22,47.29,1836,61.81,Right-hand bat,29,10,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1899,147,ENG,4,59,-180,MJ Prior,PM Siddle,6,11,23,47.29,1836,61.81,Right-hand bat,30,10,0,2136.1,30.43,66.7,rfm,4b,ENG,seam,yes,39.196799999999996,15.2432
3,1909,157,ENG,4,67,-172,MJ Prior,PM Siddle,6,11,27,47.29,1836,61.81,Right-hand bat,34,13,0,2136.1,30.43,66.7,rfm,0,ENG,seam,yes,39.196799999999996,15.2432
3,1910,158,ENG,4,67,-172,MJ Prior,PM Siddle,6,11,28,47.29,1836,61.81,Right-hand bat,35,13,0,2136.1,30.43,66.7,rfm,3,ENG,seam,yes,39.196799999999996,15.2432
