innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1522,54,AUS,0,33,-512,SM Katich,GP Swann,2,12,19,43.33,6036,49.53,Left-hand bat,4,1,0,2940.1,30.39,61.2,rob,3,ENG,spin,no,19.937541091387246,11.165023011176858
4,1530,62,AUS,0,45,-500,SM Katich,GP Swann,2,24,25,43.33,6036,49.53,Left-hand bat,6,4,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1531,63,AUS,0,45,-500,SM Katich,GP Swann,2,24,26,43.33,6036,49.53,Left-hand bat,7,4,0,2940.1,30.39,61.2,rob,2,ENG,spin,no,19.937541091387246,11.165023011176858
4,1532,64,AUS,0,47,-498,SM Katich,GP Swann,2,26,27,43.33,6036,49.53,Left-hand bat,8,6,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1533,65,AUS,0,47,-498,SM Katich,GP Swann,2,26,28,43.33,6036,49.53,Left-hand bat,9,6,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1534,66,AUS,0,47,-498,SM Katich,GP Swann,2,26,29,43.33,6036,49.53,Left-hand bat,10,6,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1535,67,AUS,0,47,-498,SM Katich,GP Swann,2,26,30,43.33,6036,49.53,Left-hand bat,11,6,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1547,79,AUS,0,61,-484,SM Katich,GP Swann,2,30,35,43.33,6036,49.53,Left-hand bat,17,11,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1572,104,AUS,0,72,-473,SM Katich,GP Swann,2,35,43,43.33,6036,49.53,Left-hand bat,18,11,0,2940.1,30.39,61.2,rob,4,ENG,spin,no,19.937541091387246,11.165023011176858
4,1573,105,AUS,0,76,-469,SM Katich,GP Swann,2,39,44,43.33,6036,49.53,Left-hand bat,19,15,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1574,106,AUS,0,76,-469,SM Katich,GP Swann,2,39,45,43.33,6036,49.53,Left-hand bat,20,15,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1575,107,AUS,0,76,-469,SM Katich,GP Swann,2,39,46,43.33,6036,49.53,Left-hand bat,21,15,0,2940.1,30.39,61.2,rob,2,ENG,spin,no,19.937541091387246,11.165023011176858
4,1576,108,AUS,0,78,-467,SM Katich,GP Swann,2,41,47,43.33,6036,49.53,Left-hand bat,22,17,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1577,109,AUS,0,78,-467,SM Katich,GP Swann,2,41,48,43.33,6036,49.53,Left-hand bat,23,17,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1584,116,AUS,0,78,-467,SM Katich,GP Swann,2,41,49,43.33,6036,49.53,Left-hand bat,24,17,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1585,117,AUS,0,78,-467,SM Katich,GP Swann,2,41,50,43.33,6036,49.53,Left-hand bat,25,17,0,2940.1,30.39,61.2,rob,1,ENG,spin,no,19.937541091387246,11.165023011176858
4,1588,120,AUS,0,80,-465,SM Katich,GP Swann,2,42,51,43.33,6036,49.53,Left-hand bat,28,19,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1589,121,AUS,0,80,-465,SM Katich,GP Swann,2,42,52,43.33,6036,49.53,Left-hand bat,29,19,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1597,129,AUS,0,84,-461,SM Katich,GP Swann,2,42,55,43.33,6036,49.53,Left-hand bat,31,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1598,130,AUS,0,84,-461,SM Katich,GP Swann,2,42,56,43.33,6036,49.53,Left-hand bat,32,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1599,131,AUS,0,84,-461,SM Katich,GP Swann,2,42,57,43.33,6036,49.53,Left-hand bat,33,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1600,132,AUS,0,84,-461,SM Katich,GP Swann,2,42,58,43.33,6036,49.53,Left-hand bat,34,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1601,133,AUS,0,84,-461,SM Katich,GP Swann,2,42,59,43.33,6036,49.53,Left-hand bat,35,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1608,140,AUS,0,86,-459,SM Katich,GP Swann,2,43,62,43.33,6036,49.53,Left-hand bat,36,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1609,141,AUS,0,86,-459,SM Katich,GP Swann,2,43,63,43.33,6036,49.53,Left-hand bat,37,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1610,142,AUS,0,86,-459,SM Katich,GP Swann,2,43,64,43.33,6036,49.53,Left-hand bat,38,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1611,143,AUS,0,86,-459,SM Katich,GP Swann,2,43,65,43.33,6036,49.53,Left-hand bat,39,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1612,144,AUS,0,86,-459,SM Katich,GP Swann,2,43,66,43.33,6036,49.53,Left-hand bat,40,20,0,2940.1,30.39,61.2,rob,0,ENG,spin,no,19.937541091387246,11.165023011176858
4,1613,145,AUS,0,86,-459,SM Katich,GP Swann,2,43,67,43.33,6036,49.53,Left-hand bat,41,20,0,2940.1,30.39,61.2,rob,W,ENG,spin,no,19.937541091387246,11.165023011176858
