innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,24,24,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,10,23.57,780,42.3,Left-hand bat,6,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,25,25,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,11,23.57,780,42.3,Left-hand bat,7,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,26,26,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,12,23.57,780,42.3,Left-hand bat,8,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,27,27,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,13,23.57,780,42.3,Left-hand bat,9,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,28,28,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,14,23.57,780,42.3,Left-hand bat,10,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,29,29,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,15,23.57,780,42.3,Left-hand bat,11,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,36,36,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,16,23.57,780,42.3,Left-hand bat,12,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,37,37,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,17,23.57,780,42.3,Left-hand bat,13,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,38,38,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,18,23.57,780,42.3,Left-hand bat,14,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,39,39,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,19,23.57,780,42.3,Left-hand bat,15,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,40,40,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,20,23.57,780,42.3,Left-hand bat,16,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,41,41,BAN,0,6,6,Tamim Iqbal,M Ntini,1,5,21,23.57,780,42.3,Left-hand bat,17,0,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,50,50,BAN,0,16,16,Tamim Iqbal,M Ntini,1,9,27,23.57,780,42.3,Left-hand bat,20,0,0,19026.3,27.69,51.5,rf,1,RSA,seam,yes,21.6,5.4
1,60,60,BAN,0,22,22,Tamim Iqbal,M Ntini,1,15,33,23.57,780,42.3,Left-hand bat,24,1,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,61,61,BAN,0,22,22,Tamim Iqbal,M Ntini,1,15,34,23.57,780,42.3,Left-hand bat,25,1,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,62,62,BAN,0,22,22,Tamim Iqbal,M Ntini,1,15,35,23.57,780,42.3,Left-hand bat,26,1,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,63,63,BAN,0,22,22,Tamim Iqbal,M Ntini,1,15,36,23.57,780,42.3,Left-hand bat,27,1,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,64,64,BAN,0,22,22,Tamim Iqbal,M Ntini,1,15,37,23.57,780,42.3,Left-hand bat,28,1,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,65,65,BAN,0,22,22,Tamim Iqbal,M Ntini,1,15,38,23.57,780,42.3,Left-hand bat,29,1,0,19026.3,27.69,51.5,rf,1,RSA,seam,yes,21.6,5.4
1,84,84,BAN,0,24,24,Tamim Iqbal,M Ntini,1,17,46,23.57,780,42.3,Left-hand bat,36,2,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,85,85,BAN,0,24,24,Tamim Iqbal,M Ntini,1,17,47,23.57,780,42.3,Left-hand bat,37,2,0,19026.3,27.69,51.5,rf,0,RSA,seam,yes,21.6,5.4
1,86,86,BAN,0,24,24,Tamim Iqbal,M Ntini,1,17,48,23.57,780,42.3,Left-hand bat,38,2,0,19026.3,27.69,51.5,rf,1,RSA,seam,yes,21.6,5.4
