innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,505,505,AUS,8,310,310,JJ Krejza,DW Steyn,10,7,6,23.66,146,48.63,Right-hand bat,93,56,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,506,506,AUS,8,310,310,JJ Krejza,DW Steyn,10,7,7,23.66,146,48.63,Right-hand bat,94,56,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,507,507,AUS,8,310,310,JJ Krejza,DW Steyn,10,7,8,23.66,146,48.63,Right-hand bat,95,56,2,5352.2,23.18,38.2,rf,1,AUS,seam,yes,33.64359861591695,7.209342560553633
1,510,510,AUS,8,312,312,JJ Krejza,DW Steyn,10,8,9,23.66,146,48.63,Right-hand bat,98,58,2,5352.2,23.18,38.2,rf,4,AUS,seam,yes,33.64359861591695,7.209342560553633
1,517,517,AUS,8,320,320,JJ Krejza,DW Steyn,10,12,10,23.66,146,48.63,Right-hand bat,99,62,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,518,518,AUS,8,320,320,JJ Krejza,DW Steyn,10,12,11,23.66,146,48.63,Right-hand bat,100,62,2,5352.2,23.18,38.2,rf,3,AUS,seam,yes,33.64359861591695,7.209342560553633
1,521,521,AUS,8,324,324,JJ Krejza,DW Steyn,10,15,12,23.66,146,48.63,Right-hand bat,103,66,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,522,522,AUS,8,324,324,JJ Krejza,DW Steyn,10,15,13,23.66,146,48.63,Right-hand bat,104,66,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,532,532,AUS,8,328,328,JJ Krejza,DW Steyn,10,15,17,23.66,146,48.63,Right-hand bat,108,67,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,533,533,AUS,8,328,328,JJ Krejza,DW Steyn,10,15,18,23.66,146,48.63,Right-hand bat,109,67,2,5352.2,23.18,38.2,rf,4,AUS,seam,yes,33.64359861591695,7.209342560553633
1,534,534,AUS,8,332,332,JJ Krejza,DW Steyn,10,19,19,23.66,146,48.63,Right-hand bat,110,71,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,542,542,AUS,9,341,341,JJ Krejza,DW Steyn,10,19,20,23.66,146,48.63,Right-hand bat,111,71,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,543,543,AUS,9,341,341,JJ Krejza,DW Steyn,10,19,21,23.66,146,48.63,Right-hand bat,112,71,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,544,544,AUS,9,341,341,JJ Krejza,DW Steyn,10,19,22,23.66,146,48.63,Right-hand bat,113,71,2,5352.2,23.18,38.2,rf,1,AUS,seam,yes,33.64359861591695,7.209342560553633
1,554,554,AUS,9,347,347,JJ Krejza,DW Steyn,10,20,23,23.66,146,48.63,Right-hand bat,117,73,2,5352.2,23.18,38.2,rf,3,AUS,seam,yes,33.64359861591695,7.209342560553633
1,559,559,AUS,9,351,351,JJ Krejza,DW Steyn,10,23,24,23.66,146,48.63,Right-hand bat,122,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,566,566,AUS,9,357,357,JJ Krejza,DW Steyn,10,24,26,23.66,146,48.63,Right-hand bat,123,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,567,567,AUS,9,357,357,JJ Krejza,DW Steyn,10,24,27,23.66,146,48.63,Right-hand bat,124,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,568,568,AUS,9,357,357,JJ Krejza,DW Steyn,10,24,28,23.66,146,48.63,Right-hand bat,125,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,569,569,AUS,9,357,357,JJ Krejza,DW Steyn,10,24,29,23.66,146,48.63,Right-hand bat,126,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,570,570,AUS,9,357,357,JJ Krejza,DW Steyn,10,24,30,23.66,146,48.63,Right-hand bat,127,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,571,571,AUS,9,357,357,JJ Krejza,DW Steyn,10,24,31,23.66,146,48.63,Right-hand bat,128,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,578,578,AUS,9,365,365,JJ Krejza,DW Steyn,10,27,34,23.66,146,48.63,Right-hand bat,129,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,579,579,AUS,9,365,365,JJ Krejza,DW Steyn,10,27,35,23.66,146,48.63,Right-hand bat,130,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,580,580,AUS,9,365,365,JJ Krejza,DW Steyn,10,27,36,23.66,146,48.63,Right-hand bat,131,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,581,581,AUS,9,365,365,JJ Krejza,DW Steyn,10,27,37,23.66,146,48.63,Right-hand bat,132,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,582,582,AUS,9,365,365,JJ Krejza,DW Steyn,10,27,38,23.66,146,48.63,Right-hand bat,133,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,583,583,AUS,9,365,365,JJ Krejza,DW Steyn,10,27,39,23.66,146,48.63,Right-hand bat,134,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,590,590,AUS,9,367,367,JJ Krejza,DW Steyn,10,27,40,23.66,146,48.63,Right-hand bat,135,77,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,591,591,AUS,9,367,367,JJ Krejza,DW Steyn,10,27,41,23.66,146,48.63,Right-hand bat,136,77,2,5352.2,23.18,38.2,rf,2,AUS,seam,yes,33.64359861591695,7.209342560553633
1,592,592,AUS,9,369,369,JJ Krejza,DW Steyn,10,29,42,23.66,146,48.63,Right-hand bat,137,79,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
1,593,593,AUS,9,369,369,JJ Krejza,DW Steyn,10,29,43,23.66,146,48.63,Right-hand bat,138,79,2,5352.2,23.18,38.2,rf,1,AUS,seam,yes,33.64359861591695,7.209342560553633
1,595,595,AUS,9,371,371,JJ Krejza,DW Steyn,10,30,44,23.66,146,48.63,Right-hand bat,140,81,2,5352.2,23.18,38.2,rf,0,AUS,seam,yes,33.64359861591695,7.209342560553633
