innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2045,302,RSA,2,172,-241,JH Kallis,MG Johnson,4,0,0,55.11,22556,43.98,Right-hand bat,86,47,2,3870,27.11,53.7,lf,2,AUS,seam,no,33.64359861591695,7.209342560553633
4,2046,303,RSA,2,174,-239,JH Kallis,MG Johnson,4,2,1,55.11,22556,43.98,Right-hand bat,87,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2047,304,RSA,2,174,-239,JH Kallis,MG Johnson,4,2,2,55.11,22556,43.98,Right-hand bat,88,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2048,305,RSA,2,174,-239,JH Kallis,MG Johnson,4,2,3,55.11,22556,43.98,Right-hand bat,89,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2056,313,RSA,2,179,-234,JH Kallis,MG Johnson,4,2,4,55.11,22556,43.98,Right-hand bat,90,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2057,314,RSA,2,179,-234,JH Kallis,MG Johnson,4,2,5,55.11,22556,43.98,Right-hand bat,91,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2058,315,RSA,2,179,-234,JH Kallis,MG Johnson,4,2,6,55.11,22556,43.98,Right-hand bat,92,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2059,316,RSA,2,179,-234,JH Kallis,MG Johnson,4,2,7,55.11,22556,43.98,Right-hand bat,93,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2060,317,RSA,2,179,-234,JH Kallis,MG Johnson,4,2,8,55.11,22556,43.98,Right-hand bat,94,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2061,318,RSA,2,179,-234,JH Kallis,MG Johnson,4,2,9,55.11,22556,43.98,Right-hand bat,95,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2068,325,RSA,3,183,-230,JH Kallis,MG Johnson,4,2,10,55.11,22556,43.98,Right-hand bat,96,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2069,326,RSA,3,183,-230,JH Kallis,MG Johnson,4,2,11,55.11,22556,43.98,Right-hand bat,97,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2070,327,RSA,3,183,-230,JH Kallis,MG Johnson,4,2,12,55.11,22556,43.98,Right-hand bat,98,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2071,328,RSA,3,183,-230,JH Kallis,MG Johnson,4,2,13,55.11,22556,43.98,Right-hand bat,99,49,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2072,329,RSA,3,183,-230,JH Kallis,MG Johnson,4,2,14,55.11,22556,43.98,Right-hand bat,100,49,2,3870,27.11,53.7,lf,1wd,AUS,seam,no,33.64359861591695,7.209342560553633
4,2073,330,RSA,3,184,-229,JH Kallis,MG Johnson,4,2,14,55.11,22556,43.98,Right-hand bat,101,50,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2074,331,RSA,3,184,-229,JH Kallis,MG Johnson,4,2,15,55.11,22556,43.98,Right-hand bat,102,50,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2081,338,RSA,3,186,-227,JH Kallis,MG Johnson,4,2,16,55.11,22556,43.98,Right-hand bat,103,50,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2082,339,RSA,3,186,-227,JH Kallis,MG Johnson,4,2,17,55.11,22556,43.98,Right-hand bat,104,50,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
4,2083,340,RSA,3,186,-227,JH Kallis,MG Johnson,4,2,18,55.11,22556,43.98,Right-hand bat,105,50,2,3870,27.11,53.7,lf,0,AUS,seam,no,33.64359861591695,7.209342560553633
