innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,270,270,ENG,4,138,138,MJ Prior,JE Taylor,6,20,21,47.71,1659,60.39,Right-hand bat,56,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,271,271,ENG,4,138,138,MJ Prior,JE Taylor,6,20,22,47.71,1659,60.39,Right-hand bat,57,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,272,272,ENG,4,138,138,MJ Prior,JE Taylor,6,20,23,47.71,1659,60.39,Right-hand bat,58,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,273,273,ENG,4,138,138,MJ Prior,JE Taylor,6,20,24,47.71,1659,60.39,Right-hand bat,59,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,274,274,ENG,4,138,138,MJ Prior,JE Taylor,6,20,25,47.71,1659,60.39,Right-hand bat,60,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,275,275,ENG,4,138,138,MJ Prior,JE Taylor,6,20,26,47.71,1659,60.39,Right-hand bat,61,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,282,282,ENG,4,142,142,MJ Prior,JE Taylor,6,20,27,47.71,1659,60.39,Right-hand bat,62,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,283,283,ENG,4,142,142,MJ Prior,JE Taylor,6,20,28,47.71,1659,60.39,Right-hand bat,63,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,284,284,ENG,4,142,142,MJ Prior,JE Taylor,6,20,29,47.71,1659,60.39,Right-hand bat,64,36,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,285,285,ENG,4,142,142,MJ Prior,JE Taylor,6,20,30,47.71,1659,60.39,Right-hand bat,65,36,1,4758.3,34.71,58.7,rf,1,ENG,seam,no,19.97111111111111,7.262222222222222
1,287,287,ENG,4,144,144,MJ Prior,JE Taylor,6,21,31,47.71,1659,60.39,Right-hand bat,67,38,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,308,308,ENG,4,152,152,MJ Prior,JE Taylor,6,21,33,47.71,1659,60.39,Right-hand bat,76,40,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,309,309,ENG,4,152,152,MJ Prior,JE Taylor,6,21,34,47.71,1659,60.39,Right-hand bat,77,40,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,310,310,ENG,4,152,152,MJ Prior,JE Taylor,6,21,35,47.71,1659,60.39,Right-hand bat,78,40,1,4758.3,34.71,58.7,rf,0,ENG,seam,no,19.97111111111111,7.262222222222222
1,311,311,ENG,4,152,152,MJ Prior,JE Taylor,6,21,36,47.71,1659,60.39,Right-hand bat,79,40,1,4758.3,34.71,58.7,rf,4,ENG,seam,no,19.97111111111111,7.262222222222222
