innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1281,372,WIN,5,203,-366,D Ramdin,G Onions,7,5,24,24.05,2814,47.01,Right-hand bat,81,40,0,270.3,20,27.3,rmf,2,ENG,seam,no,32.773668639053255,7.803254437869824
2,1282,373,WIN,5,205,-364,D Ramdin,G Onions,7,7,25,24.05,2814,47.01,Right-hand bat,82,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1283,374,WIN,5,205,-364,D Ramdin,G Onions,7,7,26,24.05,2814,47.01,Right-hand bat,83,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1284,375,WIN,5,205,-364,D Ramdin,G Onions,7,7,27,24.05,2814,47.01,Right-hand bat,84,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1291,382,WIN,6,209,-360,D Ramdin,G Onions,7,7,28,24.05,2814,47.01,Right-hand bat,85,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1292,383,WIN,6,209,-360,D Ramdin,G Onions,7,7,29,24.05,2814,47.01,Right-hand bat,86,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1293,384,WIN,6,209,-360,D Ramdin,G Onions,7,7,30,24.05,2814,47.01,Right-hand bat,87,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1294,385,WIN,6,209,-360,D Ramdin,G Onions,7,7,31,24.05,2814,47.01,Right-hand bat,88,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1295,386,WIN,6,209,-360,D Ramdin,G Onions,7,7,32,24.05,2814,47.01,Right-hand bat,89,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1296,387,WIN,6,209,-360,D Ramdin,G Onions,7,7,33,24.05,2814,47.01,Right-hand bat,90,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1303,394,WIN,6,215,-354,D Ramdin,G Onions,7,7,34,24.05,2814,47.01,Right-hand bat,91,42,0,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1304,395,WIN,6,215,-354,D Ramdin,G Onions,7,7,35,24.05,2814,47.01,Right-hand bat,92,42,0,270.3,20,27.3,rmf,1,ENG,seam,no,32.773668639053255,7.803254437869824
2,1315,406,WIN,7,221,-348,D Ramdin,G Onions,7,9,37,24.05,2814,47.01,Right-hand bat,97,43,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1316,407,WIN,7,221,-348,D Ramdin,G Onions,7,9,38,24.05,2814,47.01,Right-hand bat,98,43,1,270.3,20,27.3,rmf,4,ENG,seam,no,32.773668639053255,7.803254437869824
2,1317,408,WIN,7,225,-344,D Ramdin,G Onions,7,13,39,24.05,2814,47.01,Right-hand bat,99,47,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1318,409,WIN,7,225,-344,D Ramdin,G Onions,7,13,40,24.05,2814,47.01,Right-hand bat,100,47,1,270.3,20,27.3,rmf,4,ENG,seam,no,32.773668639053255,7.803254437869824
2,1319,410,WIN,7,229,-340,D Ramdin,G Onions,7,17,41,24.05,2814,47.01,Right-hand bat,101,51,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1320,411,WIN,7,229,-340,D Ramdin,G Onions,7,17,42,24.05,2814,47.01,Right-hand bat,102,51,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1327,418,WIN,7,229,-340,D Ramdin,G Onions,7,17,43,24.05,2814,47.01,Right-hand bat,103,51,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1328,419,WIN,7,229,-340,D Ramdin,G Onions,7,17,44,24.05,2814,47.01,Right-hand bat,104,51,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1329,420,WIN,7,229,-340,D Ramdin,G Onions,7,17,45,24.05,2814,47.01,Right-hand bat,105,51,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1330,421,WIN,7,229,-340,D Ramdin,G Onions,7,17,46,24.05,2814,47.01,Right-hand bat,106,51,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1331,422,WIN,7,229,-340,D Ramdin,G Onions,7,17,47,24.05,2814,47.01,Right-hand bat,107,51,1,270.3,20,27.3,rmf,0,ENG,seam,no,32.773668639053255,7.803254437869824
2,1332,423,WIN,7,229,-340,D Ramdin,G Onions,7,17,48,24.05,2814,47.01,Right-hand bat,108,51,1,270.3,20,27.3,rmf,1,ENG,seam,no,32.773668639053255,7.803254437869824
