innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1726,6,ENG,0,2,-463,AN Cook,DW Steyn,2,1,1,43.37,8026,47.02,Left-hand bat,0,0,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1727,7,ENG,0,2,-463,AN Cook,DW Steyn,2,1,2,43.37,8026,47.02,Left-hand bat,1,0,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1728,8,ENG,0,2,-463,AN Cook,DW Steyn,2,1,3,43.37,8026,47.02,Left-hand bat,2,0,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1729,9,ENG,0,2,-463,AN Cook,DW Steyn,2,1,4,43.37,8026,47.02,Left-hand bat,3,0,0,7218.4,23.99,40.5,rf,1,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1738,18,ENG,0,4,-461,AN Cook,DW Steyn,2,3,11,43.37,8026,47.02,Left-hand bat,6,1,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1739,19,ENG,0,4,-461,AN Cook,DW Steyn,2,3,12,43.37,8026,47.02,Left-hand bat,7,1,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1740,20,ENG,0,4,-461,AN Cook,DW Steyn,2,3,13,43.37,8026,47.02,Left-hand bat,8,1,0,7218.4,23.99,40.5,rf,1lb,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1753,33,ENG,0,6,-459,AN Cook,DW Steyn,2,3,20,43.37,8026,47.02,Left-hand bat,15,2,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1754,34,ENG,0,6,-459,AN Cook,DW Steyn,2,3,21,43.37,8026,47.02,Left-hand bat,16,2,0,7218.4,23.99,40.5,rf,1,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1762,42,ENG,0,10,-455,AN Cook,DW Steyn,2,7,27,43.37,8026,47.02,Left-hand bat,18,3,0,7218.4,23.99,40.5,rf,1,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1791,71,ENG,0,28,-437,AN Cook,DW Steyn,2,11,38,43.37,8026,47.02,Left-hand bat,35,17,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1864,144,ENG,0,73,-392,AN Cook,DW Steyn,2,37,75,43.37,8026,47.02,Left-hand bat,36,17,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1865,145,ENG,0,73,-392,AN Cook,DW Steyn,2,37,76,43.37,8026,47.02,Left-hand bat,37,17,0,7218.4,23.99,40.5,rf,0,RSA,seam,yes,26.22067901234568,10.084876543209877
4,1866,146,ENG,0,73,-392,AN Cook,DW Steyn,2,37,77,43.37,8026,47.02,Left-hand bat,38,17,0,7218.4,23.99,40.5,rf,4,RSA,seam,yes,26.22067901234568,10.084876543209877
