innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2098,378,ENG,4,153,-312,PD Collingwood,PL Harris,6,0,0,43.07,8352,45.39,Right-hand bat,96,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2099,379,ENG,4,153,-312,PD Collingwood,PL Harris,6,0,1,43.07,8352,45.39,Right-hand bat,97,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2100,380,ENG,4,153,-312,PD Collingwood,PL Harris,6,0,2,43.07,8352,45.39,Right-hand bat,98,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2101,381,ENG,4,153,-312,PD Collingwood,PL Harris,6,0,3,43.07,8352,45.39,Right-hand bat,99,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2102,382,ENG,4,153,-312,PD Collingwood,PL Harris,6,0,4,43.07,8352,45.39,Right-hand bat,100,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2103,383,ENG,4,153,-312,PD Collingwood,PL Harris,6,0,5,43.07,8352,45.39,Right-hand bat,101,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2110,390,ENG,4,158,-307,PD Collingwood,PL Harris,6,0,6,43.07,8352,45.39,Right-hand bat,102,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2111,391,ENG,4,158,-307,PD Collingwood,PL Harris,6,0,7,43.07,8352,45.39,Right-hand bat,103,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2112,392,ENG,4,158,-307,PD Collingwood,PL Harris,6,0,8,43.07,8352,45.39,Right-hand bat,104,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2113,393,ENG,4,158,-307,PD Collingwood,PL Harris,6,0,9,43.07,8352,45.39,Right-hand bat,105,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2114,394,ENG,4,158,-307,PD Collingwood,PL Harris,6,0,10,43.07,8352,45.39,Right-hand bat,106,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2115,395,ENG,4,158,-307,PD Collingwood,PL Harris,6,0,11,43.07,8352,45.39,Right-hand bat,107,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2134,414,ENG,4,160,-305,PD Collingwood,PL Harris,6,1,21,43.07,8352,45.39,Right-hand bat,114,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2135,415,ENG,4,160,-305,PD Collingwood,PL Harris,6,1,22,43.07,8352,45.39,Right-hand bat,115,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2136,416,ENG,4,160,-305,PD Collingwood,PL Harris,6,1,23,43.07,8352,45.39,Right-hand bat,116,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2137,417,ENG,4,160,-305,PD Collingwood,PL Harris,6,1,24,43.07,8352,45.39,Right-hand bat,117,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2138,418,ENG,4,160,-305,PD Collingwood,PL Harris,6,1,25,43.07,8352,45.39,Right-hand bat,118,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2139,419,ENG,4,160,-305,PD Collingwood,PL Harris,6,1,26,43.07,8352,45.39,Right-hand bat,119,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2146,426,ENG,5,162,-303,PD Collingwood,PL Harris,6,1,27,43.07,8352,45.39,Right-hand bat,120,53,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2147,427,ENG,5,162,-303,PD Collingwood,PL Harris,6,1,28,43.07,8352,45.39,Right-hand bat,121,53,2,5976.4,33.64,72.9,lo,1,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2150,430,ENG,5,164,-301,PD Collingwood,PL Harris,6,2,29,43.07,8352,45.39,Right-hand bat,124,55,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2151,431,ENG,5,164,-301,PD Collingwood,PL Harris,6,2,30,43.07,8352,45.39,Right-hand bat,125,55,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2158,438,ENG,5,168,-297,PD Collingwood,PL Harris,6,2,31,43.07,8352,45.39,Right-hand bat,126,55,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2159,439,ENG,5,168,-297,PD Collingwood,PL Harris,6,2,32,43.07,8352,45.39,Right-hand bat,127,55,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2160,440,ENG,5,168,-297,PD Collingwood,PL Harris,6,2,33,43.07,8352,45.39,Right-hand bat,128,55,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2161,441,ENG,5,168,-297,PD Collingwood,PL Harris,6,2,34,43.07,8352,45.39,Right-hand bat,129,55,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2162,442,ENG,5,168,-297,PD Collingwood,PL Harris,6,2,35,43.07,8352,45.39,Right-hand bat,130,55,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2163,443,ENG,5,168,-297,PD Collingwood,PL Harris,6,2,36,43.07,8352,45.39,Right-hand bat,131,55,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2199,479,ENG,5,180,-285,PD Collingwood,PL Harris,6,8,51,43.07,8352,45.39,Right-hand bat,149,60,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2285,565,ENG,5,206,-259,PD Collingwood,PL Harris,6,20,95,43.07,8352,45.39,Right-hand bat,150,60,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2286,566,ENG,5,206,-259,PD Collingwood,PL Harris,6,20,96,43.07,8352,45.39,Right-hand bat,151,60,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2287,567,ENG,5,206,-259,PD Collingwood,PL Harris,6,20,97,43.07,8352,45.39,Right-hand bat,152,60,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2288,568,ENG,5,206,-259,PD Collingwood,PL Harris,6,20,98,43.07,8352,45.39,Right-hand bat,153,60,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2289,569,ENG,5,206,-259,PD Collingwood,PL Harris,6,20,99,43.07,8352,45.39,Right-hand bat,154,60,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2290,570,ENG,5,206,-259,PD Collingwood,PL Harris,6,20,100,43.07,8352,45.39,Right-hand bat,155,60,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2301,581,ENG,5,208,-257,PD Collingwood,PL Harris,6,20,102,43.07,8352,45.39,Right-hand bat,160,61,2,5976.4,33.64,72.9,lo,2,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2302,582,ENG,5,210,-255,PD Collingwood,PL Harris,6,22,103,43.07,8352,45.39,Right-hand bat,161,63,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2309,589,ENG,5,210,-255,PD Collingwood,PL Harris,6,22,104,43.07,8352,45.39,Right-hand bat,162,63,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2310,590,ENG,5,210,-255,PD Collingwood,PL Harris,6,22,105,43.07,8352,45.39,Right-hand bat,163,63,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2311,591,ENG,5,210,-255,PD Collingwood,PL Harris,6,22,106,43.07,8352,45.39,Right-hand bat,164,63,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2312,592,ENG,5,210,-255,PD Collingwood,PL Harris,6,22,107,43.07,8352,45.39,Right-hand bat,165,63,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2313,593,ENG,5,210,-255,PD Collingwood,PL Harris,6,22,108,43.07,8352,45.39,Right-hand bat,166,63,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2314,594,ENG,5,210,-255,PD Collingwood,PL Harris,6,22,109,43.07,8352,45.39,Right-hand bat,167,63,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2321,601,ENG,5,214,-251,PD Collingwood,PL Harris,6,23,113,43.07,8352,45.39,Right-hand bat,168,63,2,5976.4,33.64,72.9,lo,4,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2322,602,ENG,5,218,-247,PD Collingwood,PL Harris,6,27,114,43.07,8352,45.39,Right-hand bat,169,67,2,5976.4,33.64,72.9,lo,1,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2325,605,ENG,5,220,-245,PD Collingwood,PL Harris,6,28,115,43.07,8352,45.39,Right-hand bat,172,69,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2326,606,ENG,5,220,-245,PD Collingwood,PL Harris,6,28,116,43.07,8352,45.39,Right-hand bat,173,69,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2366,646,ENG,5,231,-234,PD Collingwood,PL Harris,6,31,135,43.07,8352,45.39,Right-hand bat,177,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2367,647,ENG,5,231,-234,PD Collingwood,PL Harris,6,31,136,43.07,8352,45.39,Right-hand bat,178,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2368,648,ENG,5,231,-234,PD Collingwood,PL Harris,6,31,137,43.07,8352,45.39,Right-hand bat,179,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2387,667,ENG,5,237,-228,PD Collingwood,PL Harris,6,32,146,43.07,8352,45.39,Right-hand bat,186,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2388,668,ENG,5,237,-228,PD Collingwood,PL Harris,6,32,147,43.07,8352,45.39,Right-hand bat,187,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2389,669,ENG,5,237,-228,PD Collingwood,PL Harris,6,32,148,43.07,8352,45.39,Right-hand bat,188,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2390,670,ENG,5,237,-228,PD Collingwood,PL Harris,6,32,149,43.07,8352,45.39,Right-hand bat,189,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2391,671,ENG,5,237,-228,PD Collingwood,PL Harris,6,32,150,43.07,8352,45.39,Right-hand bat,190,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2392,672,ENG,5,237,-228,PD Collingwood,PL Harris,6,32,151,43.07,8352,45.39,Right-hand bat,191,70,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2460,740,ENG,5,264,-201,PD Collingwood,PL Harris,6,35,176,43.07,8352,45.39,Right-hand bat,198,70,2,5976.4,33.64,72.9,lo,4,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2461,741,ENG,5,268,-197,PD Collingwood,PL Harris,6,39,177,43.07,8352,45.39,Right-hand bat,199,74,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2462,742,ENG,5,268,-197,PD Collingwood,PL Harris,6,39,178,43.07,8352,45.39,Right-hand bat,200,74,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
4,2463,743,ENG,5,268,-197,PD Collingwood,PL Harris,6,39,179,43.07,8352,45.39,Right-hand bat,201,74,2,5976.4,33.64,72.9,lo,0,RSA,spin,yes,26.22067901234568,10.084876543209877
