innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,419,419,ENG,1,245,245,OA Shah,BP Nash,3,49,64,34.5,427,48.47,Right-hand bat,2,1,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,420,420,ENG,1,245,245,OA Shah,BP Nash,3,49,65,34.5,427,48.47,Right-hand bat,3,1,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,421,421,ENG,1,245,245,OA Shah,BP Nash,3,49,66,34.5,427,48.47,Right-hand bat,4,1,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,422,422,ENG,1,245,245,OA Shah,BP Nash,3,49,67,34.5,427,48.47,Right-hand bat,5,1,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,429,429,ENG,1,249,249,OA Shah,BP Nash,3,50,70,34.5,427,48.47,Right-hand bat,6,1,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,430,430,ENG,1,249,249,OA Shah,BP Nash,3,50,71,34.5,427,48.47,Right-hand bat,7,1,0,108,58,108,lm,1,WIN,seam,no,22.253086419753085,17.80246913580247
1,432,432,ENG,1,251,251,OA Shah,BP Nash,3,51,72,34.5,427,48.47,Right-hand bat,9,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,433,433,ENG,1,251,251,OA Shah,BP Nash,3,51,73,34.5,427,48.47,Right-hand bat,10,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,434,434,ENG,1,251,251,OA Shah,BP Nash,3,51,74,34.5,427,48.47,Right-hand bat,11,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,441,441,ENG,1,253,253,OA Shah,BP Nash,3,52,77,34.5,427,48.47,Right-hand bat,12,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,442,442,ENG,1,253,253,OA Shah,BP Nash,3,52,78,34.5,427,48.47,Right-hand bat,13,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,443,443,ENG,1,253,253,OA Shah,BP Nash,3,52,79,34.5,427,48.47,Right-hand bat,14,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,444,444,ENG,1,253,253,OA Shah,BP Nash,3,52,80,34.5,427,48.47,Right-hand bat,15,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,445,445,ENG,1,253,253,OA Shah,BP Nash,3,52,81,34.5,427,48.47,Right-hand bat,16,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,446,446,ENG,1,253,253,OA Shah,BP Nash,3,52,82,34.5,427,48.47,Right-hand bat,17,3,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,467,467,ENG,1,263,263,OA Shah,BP Nash,3,52,91,34.5,427,48.47,Right-hand bat,26,12,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,468,468,ENG,1,263,263,OA Shah,BP Nash,3,52,92,34.5,427,48.47,Right-hand bat,27,12,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,469,469,ENG,1,263,263,OA Shah,BP Nash,3,52,93,34.5,427,48.47,Right-hand bat,28,12,0,108,58,108,lm,4,WIN,seam,no,22.253086419753085,17.80246913580247
1,470,470,ENG,1,267,267,OA Shah,BP Nash,3,56,94,34.5,427,48.47,Right-hand bat,29,16,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,477,477,ENG,1,271,271,OA Shah,BP Nash,3,56,95,34.5,427,48.47,Right-hand bat,30,16,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,478,478,ENG,1,271,271,OA Shah,BP Nash,3,56,96,34.5,427,48.47,Right-hand bat,31,16,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,479,479,ENG,1,271,271,OA Shah,BP Nash,3,56,97,34.5,427,48.47,Right-hand bat,32,16,0,108,58,108,lm,0,WIN,seam,no,22.253086419753085,17.80246913580247
1,480,480,ENG,1,271,271,OA Shah,BP Nash,3,56,98,34.5,427,48.47,Right-hand bat,33,16,0,108,58,108,lm,1,WIN,seam,no,22.253086419753085,17.80246913580247
