innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1569,168,PAK,7,85,-82,Umar Gul,T Thushara,9,0,0,7.6,394,38.57,Right-hand bat,54,16,3,702.5,37.75,58.9,lfm,1,SRL,seam,yes,16.335,7.864999999999999
4,1576,175,PAK,7,87,-80,Umar Gul,T Thushara,9,2,6,7.6,394,38.57,Right-hand bat,55,17,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1577,176,PAK,7,87,-80,Umar Gul,T Thushara,9,2,7,7.6,394,38.57,Right-hand bat,56,17,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1578,177,PAK,7,87,-80,Umar Gul,T Thushara,9,2,8,7.6,394,38.57,Right-hand bat,57,17,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1579,178,PAK,7,87,-80,Umar Gul,T Thushara,9,2,9,7.6,394,38.57,Right-hand bat,58,17,3,702.5,37.75,58.9,lfm,2,SRL,seam,yes,16.335,7.864999999999999
4,1580,179,PAK,7,89,-78,Umar Gul,T Thushara,9,4,10,7.6,394,38.57,Right-hand bat,59,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1581,180,PAK,7,89,-78,Umar Gul,T Thushara,9,4,11,7.6,394,38.57,Right-hand bat,60,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1588,187,PAK,7,89,-78,Umar Gul,T Thushara,9,4,12,7.6,394,38.57,Right-hand bat,61,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1589,188,PAK,7,89,-78,Umar Gul,T Thushara,9,4,13,7.6,394,38.57,Right-hand bat,62,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1590,189,PAK,7,89,-78,Umar Gul,T Thushara,9,4,14,7.6,394,38.57,Right-hand bat,63,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1591,190,PAK,7,89,-78,Umar Gul,T Thushara,9,4,15,7.6,394,38.57,Right-hand bat,64,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1592,191,PAK,7,89,-78,Umar Gul,T Thushara,9,4,16,7.6,394,38.57,Right-hand bat,65,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1593,192,PAK,7,89,-78,Umar Gul,T Thushara,9,4,17,7.6,394,38.57,Right-hand bat,66,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1600,199,PAK,7,89,-78,Umar Gul,T Thushara,9,4,18,7.6,394,38.57,Right-hand bat,67,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1601,200,PAK,7,89,-78,Umar Gul,T Thushara,9,4,19,7.6,394,38.57,Right-hand bat,68,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1602,201,PAK,7,89,-78,Umar Gul,T Thushara,9,4,20,7.6,394,38.57,Right-hand bat,69,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1603,202,PAK,7,89,-78,Umar Gul,T Thushara,9,4,21,7.6,394,38.57,Right-hand bat,70,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1604,203,PAK,7,89,-78,Umar Gul,T Thushara,9,4,22,7.6,394,38.57,Right-hand bat,71,19,3,702.5,37.75,58.9,lfm,0,SRL,seam,yes,16.335,7.864999999999999
4,1605,204,PAK,7,89,-78,Umar Gul,T Thushara,9,4,23,7.6,394,38.57,Right-hand bat,72,19,3,702.5,37.75,58.9,lfm,2,SRL,seam,yes,16.335,7.864999999999999
