innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,341,341,ENG,5,195,195,MM Ali,KA Maharaj,7,0,3,35.45,3961,51.02,Left-hand bat,71,47,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,353,353,ENG,5,205,205,MM Ali,KA Maharaj,7,0,7,35.45,3961,51.02,Left-hand bat,77,48,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,361,361,ENG,5,209,209,MM Ali,KA Maharaj,7,0,12,35.45,3961,51.02,Left-hand bat,79,51,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,362,362,ENG,5,209,209,MM Ali,KA Maharaj,7,0,13,35.45,3961,51.02,Left-hand bat,80,51,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,363,363,ENG,5,209,209,MM Ali,KA Maharaj,7,0,14,35.45,3961,51.02,Left-hand bat,81,51,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,364,364,ENG,5,209,209,MM Ali,KA Maharaj,7,0,15,35.45,3961,51.02,Left-hand bat,82,51,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,365,365,ENG,5,209,209,MM Ali,KA Maharaj,7,0,16,35.45,3961,51.02,Left-hand bat,83,51,0,1812,28.83,60.4,lo,4,ENG,spin,yes,16.10125,13.173749999999998
1,374,374,ENG,5,231,231,MM Ali,KA Maharaj,7,14,22,35.45,3961,51.02,Left-hand bat,86,62,0,1812,28.83,60.4,lo,1,ENG,spin,yes,16.10125,13.173749999999998
1,385,385,ENG,5,238,238,MM Ali,KA Maharaj,7,16,27,35.45,3961,51.02,Left-hand bat,90,67,0,1812,28.83,60.4,lo,2,ENG,spin,yes,16.10125,13.173749999999998
1,386,386,ENG,5,240,240,MM Ali,KA Maharaj,7,18,28,35.45,3961,51.02,Left-hand bat,91,69,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,387,387,ENG,5,240,240,MM Ali,KA Maharaj,7,18,29,35.45,3961,51.02,Left-hand bat,92,69,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,388,388,ENG,5,240,240,MM Ali,KA Maharaj,7,18,30,35.45,3961,51.02,Left-hand bat,93,69,0,1812,28.83,60.4,lo,4,ENG,spin,yes,16.10125,13.173749999999998
1,389,389,ENG,5,244,244,MM Ali,KA Maharaj,7,22,31,35.45,3961,51.02,Left-hand bat,94,73,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,390,390,ENG,5,244,244,MM Ali,KA Maharaj,7,22,32,35.45,3961,51.02,Left-hand bat,95,73,0,1812,28.83,60.4,lo,1,ENG,spin,yes,16.10125,13.173749999999998
1,399,399,ENG,5,250,250,MM Ali,KA Maharaj,7,26,38,35.45,3961,51.02,Left-hand bat,98,75,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,400,400,ENG,5,250,250,MM Ali,KA Maharaj,7,26,39,35.45,3961,51.02,Left-hand bat,99,75,0,1812,28.83,60.4,lo,1,ENG,spin,yes,16.10125,13.173749999999998
1,427,427,ENG,5,277,277,MM Ali,KA Maharaj,7,32,47,35.45,3961,51.02,Left-hand bat,102,79,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
1,428,428,ENG,5,277,277,MM Ali,KA Maharaj,7,32,48,35.45,3961,51.02,Left-hand bat,103,79,0,1812,28.83,60.4,lo,2,ENG,spin,yes,16.10125,13.173749999999998
1,429,429,ENG,5,279,279,MM Ali,KA Maharaj,7,34,49,35.45,3961,51.02,Left-hand bat,104,81,0,1812,28.83,60.4,lo,0,ENG,spin,yes,16.10125,13.173749999999998
