innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1306,31,ENG,0,8,105,AN Cook,K Rabada,1,2,15,46.37,23765,46.82,Left-hand bat,13,5,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1307,32,ENG,0,8,105,AN Cook,K Rabada,1,2,16,46.37,23765,46.82,Left-hand bat,14,5,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1308,33,ENG,0,8,105,AN Cook,K Rabada,1,2,17,46.37,23765,46.82,Left-hand bat,15,5,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1309,34,ENG,0,8,105,AN Cook,K Rabada,1,2,18,46.37,23765,46.82,Left-hand bat,16,5,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1310,35,ENG,0,8,105,AN Cook,K Rabada,1,2,19,46.37,23765,46.82,Left-hand bat,17,5,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1311,36,ENG,0,8,105,AN Cook,K Rabada,1,2,20,46.37,23765,46.82,Left-hand bat,18,5,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1318,43,ENG,0,8,105,AN Cook,K Rabada,1,2,21,46.37,23765,46.82,Left-hand bat,19,5,0,3186.2,24.09,41.4,rf,4,ENG,seam,yes,16.10125,13.173749999999998
3,1319,44,ENG,0,12,109,AN Cook,K Rabada,1,6,22,46.37,23765,46.82,Left-hand bat,20,9,0,3186.2,24.09,41.4,rf,2,ENG,seam,yes,16.10125,13.173749999999998
3,1320,45,ENG,0,14,111,AN Cook,K Rabada,1,8,23,46.37,23765,46.82,Left-hand bat,21,11,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1321,46,ENG,0,14,111,AN Cook,K Rabada,1,8,24,46.37,23765,46.82,Left-hand bat,22,11,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1322,47,ENG,0,14,111,AN Cook,K Rabada,1,8,25,46.37,23765,46.82,Left-hand bat,23,11,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1323,48,ENG,0,14,111,AN Cook,K Rabada,1,8,26,46.37,23765,46.82,Left-hand bat,24,11,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
3,1504,229,ENG,1,87,184,AN Cook,K Rabada,1,42,116,46.37,23765,46.82,Left-hand bat,43,17,0,3186.2,24.09,41.4,rf,0,ENG,seam,yes,16.10125,13.173749999999998
