innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,790,6,NZL,0,6,-410,MJ Guptill,T Thushara,2,1,1,26.77,414,58.21,Right-hand bat,0,0,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,791,7,NZL,0,6,-410,MJ Guptill,T Thushara,2,1,2,26.77,414,58.21,Right-hand bat,1,0,0,1542,34.32,55,lfm,4,SRL,seam,no,8.868571428571428,29.93142857142857
2,792,8,NZL,0,10,-406,MJ Guptill,T Thushara,2,5,3,26.77,414,58.21,Right-hand bat,2,4,0,1542,34.32,55,lfm,4,SRL,seam,no,8.868571428571428,29.93142857142857
2,793,9,NZL,0,14,-402,MJ Guptill,T Thushara,2,9,4,26.77,414,58.21,Right-hand bat,3,8,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,794,10,NZL,0,14,-402,MJ Guptill,T Thushara,2,9,5,26.77,414,58.21,Right-hand bat,4,8,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,795,11,NZL,0,14,-402,MJ Guptill,T Thushara,2,9,6,26.77,414,58.21,Right-hand bat,5,8,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,814,30,NZL,1,28,-388,MJ Guptill,T Thushara,2,18,13,26.77,414,58.21,Right-hand bat,12,8,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,815,31,NZL,1,28,-388,MJ Guptill,T Thushara,2,18,14,26.77,414,58.21,Right-hand bat,13,8,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,816,32,NZL,1,28,-388,MJ Guptill,T Thushara,2,18,15,26.77,414,58.21,Right-hand bat,14,8,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,817,33,NZL,1,28,-388,MJ Guptill,T Thushara,2,18,16,26.77,414,58.21,Right-hand bat,15,8,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,818,34,NZL,1,28,-388,MJ Guptill,T Thushara,2,18,17,26.77,414,58.21,Right-hand bat,16,8,0,1542,34.32,55,lfm,4,SRL,seam,no,8.868571428571428,29.93142857142857
2,819,35,NZL,1,32,-384,MJ Guptill,T Thushara,2,22,18,26.77,414,58.21,Right-hand bat,17,12,0,1542,34.32,55,lfm,2,SRL,seam,no,8.868571428571428,29.93142857142857
2,826,42,NZL,1,44,-372,MJ Guptill,T Thushara,2,24,19,26.77,414,58.21,Right-hand bat,18,14,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,827,43,NZL,1,44,-372,MJ Guptill,T Thushara,2,24,20,26.77,414,58.21,Right-hand bat,19,14,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,828,44,NZL,1,44,-372,MJ Guptill,T Thushara,2,24,21,26.77,414,58.21,Right-hand bat,20,14,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,829,45,NZL,1,44,-372,MJ Guptill,T Thushara,2,24,22,26.77,414,58.21,Right-hand bat,21,14,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,830,46,NZL,1,44,-372,MJ Guptill,T Thushara,2,24,23,26.77,414,58.21,Right-hand bat,22,14,0,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,831,47,NZL,1,44,-372,MJ Guptill,T Thushara,2,24,24,26.77,414,58.21,Right-hand bat,23,14,0,1542,34.32,55,lfm,4,SRL,seam,no,8.868571428571428,29.93142857142857
2,838,54,NZL,1,48,-368,MJ Guptill,T Thushara,2,28,25,26.77,414,58.21,Right-hand bat,24,18,0,1542,34.32,55,lfm,1,SRL,seam,no,8.868571428571428,29.93142857142857
2,865,81,NZL,2,54,-362,MJ Guptill,T Thushara,2,30,36,26.77,414,58.21,Right-hand bat,39,22,1,1542,34.32,55,lfm,4,SRL,seam,no,8.868571428571428,29.93142857142857
2,866,82,NZL,2,58,-358,MJ Guptill,T Thushara,2,34,37,26.77,414,58.21,Right-hand bat,40,26,1,1542,34.32,55,lfm,1,SRL,seam,no,8.868571428571428,29.93142857142857
2,874,90,NZL,2,60,-356,MJ Guptill,T Thushara,2,35,38,26.77,414,58.21,Right-hand bat,42,28,1,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,875,91,NZL,2,60,-356,MJ Guptill,T Thushara,2,35,39,26.77,414,58.21,Right-hand bat,43,28,1,1542,34.32,55,lfm,1nb,SRL,seam,no,8.868571428571428,29.93142857142857
2,876,92,NZL,2,61,-355,MJ Guptill,T Thushara,2,35,40,26.77,414,58.21,Right-hand bat,44,29,1,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,877,93,NZL,2,61,-355,MJ Guptill,T Thushara,2,35,41,26.77,414,58.21,Right-hand bat,45,29,1,1542,34.32,55,lfm,1wd,SRL,seam,no,8.868571428571428,29.93142857142857
2,878,94,NZL,2,62,-354,MJ Guptill,T Thushara,2,35,41,26.77,414,58.21,Right-hand bat,46,30,1,1542,34.32,55,lfm,1nb,SRL,seam,no,8.868571428571428,29.93142857142857
2,879,95,NZL,2,63,-353,MJ Guptill,T Thushara,2,35,42,26.77,414,58.21,Right-hand bat,47,31,1,1542,34.32,55,lfm,0,SRL,seam,no,8.868571428571428,29.93142857142857
2,880,96,NZL,2,63,-353,MJ Guptill,T Thushara,2,35,43,26.77,414,58.21,Right-hand bat,48,31,1,1542,34.32,55,lfm,W,SRL,seam,no,8.868571428571428,29.93142857142857
