innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1321,90,PAK,0,55,-193,Imran Farhat,DL Vettori,1,24,42,34.96,3916,49.1,Left-hand bat,0,0,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
3,1322,91,PAK,0,55,-193,Imran Farhat,DL Vettori,1,24,43,34.96,3916,49.1,Left-hand bat,1,0,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
3,1323,92,PAK,0,55,-193,Imran Farhat,DL Vettori,1,24,44,34.96,3916,49.1,Left-hand bat,2,0,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
3,1324,93,PAK,0,55,-193,Imran Farhat,DL Vettori,1,24,45,34.96,3916,49.1,Left-hand bat,3,0,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
3,1325,94,PAK,0,55,-193,Imran Farhat,DL Vettori,1,24,46,34.96,3916,49.1,Left-hand bat,4,0,0,24036.1,33.61,76.7,lo,1,NZL,spin,yes,24.779999999999998,16.52
3,1334,103,PAK,0,64,-184,Imran Farhat,DL Vettori,1,28,53,34.96,3916,49.1,Left-hand bat,6,1,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
3,1335,104,PAK,0,64,-184,Imran Farhat,DL Vettori,1,28,54,34.96,3916,49.1,Left-hand bat,7,1,0,24036.1,33.61,76.7,lo,1,NZL,spin,yes,24.779999999999998,16.52
3,1337,106,PAK,0,66,-182,Imran Farhat,DL Vettori,1,29,55,34.96,3916,49.1,Left-hand bat,9,3,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
3,1338,107,PAK,0,66,-182,Imran Farhat,DL Vettori,1,29,56,34.96,3916,49.1,Left-hand bat,10,3,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
3,1339,108,PAK,0,66,-182,Imran Farhat,DL Vettori,1,29,57,34.96,3916,49.1,Left-hand bat,11,3,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
3,1358,127,PAK,0,68,-180,Imran Farhat,DL Vettori,1,30,62,34.96,3916,49.1,Left-hand bat,18,3,0,24036.1,33.61,76.7,lo,0,NZL,spin,yes,24.779999999999998,16.52
