innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1089,296,NZL,5,112,-347,BB McCullum,RJ Harris,7,0,0,35.07,4498,62.38,Right-hand bat,73,27,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1096,303,NZL,5,112,-347,BB McCullum,RJ Harris,7,0,1,35.07,4498,62.38,Right-hand bat,74,27,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1097,304,NZL,5,112,-347,BB McCullum,RJ Harris,7,0,2,35.07,4498,62.38,Right-hand bat,75,27,2,246,19.83,41,rf,1nb,NZL,seam,no,37.9344,7.225599999999999
2,1098,305,NZL,5,113,-346,BB McCullum,RJ Harris,7,0,3,35.07,4498,62.38,Right-hand bat,76,28,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1099,306,NZL,5,113,-346,BB McCullum,RJ Harris,7,0,4,35.07,4498,62.38,Right-hand bat,77,28,2,246,19.83,41,rf,1,NZL,seam,no,37.9344,7.225599999999999
2,1101,308,NZL,5,115,-344,BB McCullum,RJ Harris,7,1,5,35.07,4498,62.38,Right-hand bat,79,30,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1102,309,NZL,5,115,-344,BB McCullum,RJ Harris,7,1,6,35.07,4498,62.38,Right-hand bat,80,30,2,246,19.83,41,rf,4,NZL,seam,no,37.9344,7.225599999999999
2,1121,328,NZL,5,143,-316,BB McCullum,RJ Harris,7,20,14,35.07,4498,62.38,Right-hand bat,87,36,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1122,329,NZL,5,143,-316,BB McCullum,RJ Harris,7,20,15,35.07,4498,62.38,Right-hand bat,88,36,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1123,330,NZL,5,143,-316,BB McCullum,RJ Harris,7,20,16,35.07,4498,62.38,Right-hand bat,89,36,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1124,331,NZL,5,143,-316,BB McCullum,RJ Harris,7,20,17,35.07,4498,62.38,Right-hand bat,90,36,2,246,19.83,41,rf,1,NZL,seam,no,37.9344,7.225599999999999
2,1133,340,NZL,5,147,-312,BB McCullum,RJ Harris,7,23,21,35.07,4498,62.38,Right-hand bat,93,37,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1134,341,NZL,5,147,-312,BB McCullum,RJ Harris,7,23,22,35.07,4498,62.38,Right-hand bat,94,37,2,246,19.83,41,rf,0,NZL,seam,no,37.9344,7.225599999999999
2,1135,342,NZL,5,147,-312,BB McCullum,RJ Harris,7,23,23,35.07,4498,62.38,Right-hand bat,95,37,2,246,19.83,41,rf,1,NZL,seam,no,37.9344,7.225599999999999
