innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,516,43,PAK,1,16,-237,Azhar Ali,DE Bollinger,3,1,2,29,130,44.61,Right-hand bat,18,4,0,1902.1,24,46.4,lfm,0,AUS,seam,yes,16.64,8.96
2,517,44,PAK,1,16,-237,Azhar Ali,DE Bollinger,3,1,3,29,130,44.61,Right-hand bat,19,4,0,1902.1,24,46.4,lfm,0,AUS,seam,yes,16.64,8.96
2,518,45,PAK,1,16,-237,Azhar Ali,DE Bollinger,3,1,4,29,130,44.61,Right-hand bat,20,4,0,1902.1,24,46.4,lfm,0,AUS,seam,yes,16.64,8.96
2,519,46,PAK,1,16,-237,Azhar Ali,DE Bollinger,3,1,5,29,130,44.61,Right-hand bat,21,4,0,1902.1,24,46.4,lfm,2,AUS,seam,yes,16.64,8.96
2,520,47,PAK,1,18,-235,Azhar Ali,DE Bollinger,3,3,6,29,130,44.61,Right-hand bat,22,6,0,1902.1,24,46.4,lfm,0,AUS,seam,yes,16.64,8.96
2,521,48,PAK,1,18,-235,Azhar Ali,DE Bollinger,3,3,7,29,130,44.61,Right-hand bat,23,6,0,1902.1,24,46.4,lfm,3,AUS,seam,yes,16.64,8.96
2,541,68,PAK,1,34,-219,Azhar Ali,DE Bollinger,3,10,20,29,130,44.61,Right-hand bat,31,16,0,1902.1,24,46.4,lfm,0,AUS,seam,yes,16.64,8.96
2,542,69,PAK,1,34,-219,Azhar Ali,DE Bollinger,3,10,21,29,130,44.61,Right-hand bat,32,16,0,1902.1,24,46.4,lfm,0,AUS,seam,yes,16.64,8.96
2,543,70,PAK,1,34,-219,Azhar Ali,DE Bollinger,3,10,22,29,130,44.61,Right-hand bat,33,16,0,1902.1,24,46.4,lfm,0,AUS,seam,yes,16.64,8.96
2,544,71,PAK,1,34,-219,Azhar Ali,DE Bollinger,3,10,23,29,130,44.61,Right-hand bat,34,16,0,1902.1,24,46.4,lfm,4,AUS,seam,yes,16.64,8.96
2,545,72,PAK,1,38,-215,Azhar Ali,DE Bollinger,3,14,24,29,130,44.61,Right-hand bat,35,20,0,1902.1,24,46.4,lfm,0,AUS,seam,yes,16.64,8.96
