innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1455,185,WIN,6,75,-40,S Shillingford,J Botha,8,0,0,11.8,156,37.82,Right-hand bat,53,11,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1456,186,WIN,6,75,-40,S Shillingford,J Botha,8,0,1,11.8,156,37.82,Right-hand bat,54,11,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1464,194,WIN,6,77,-38,S Shillingford,J Botha,8,0,5,11.8,156,37.82,Right-hand bat,56,12,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1465,195,WIN,6,77,-38,S Shillingford,J Botha,8,0,6,11.8,156,37.82,Right-hand bat,57,12,2,462.2,25.45,42.1,rob,2,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1466,196,WIN,6,79,-36,S Shillingford,J Botha,8,2,7,11.8,156,37.82,Right-hand bat,58,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1467,197,WIN,6,79,-36,S Shillingford,J Botha,8,2,8,11.8,156,37.82,Right-hand bat,59,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1468,198,WIN,6,79,-36,S Shillingford,J Botha,8,2,9,11.8,156,37.82,Right-hand bat,60,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1475,205,WIN,6,81,-34,S Shillingford,J Botha,8,2,10,11.8,156,37.82,Right-hand bat,61,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1476,206,WIN,6,81,-34,S Shillingford,J Botha,8,2,11,11.8,156,37.82,Right-hand bat,62,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1477,207,WIN,6,81,-34,S Shillingford,J Botha,8,2,12,11.8,156,37.82,Right-hand bat,63,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1478,208,WIN,6,81,-34,S Shillingford,J Botha,8,2,13,11.8,156,37.82,Right-hand bat,64,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1479,209,WIN,6,81,-34,S Shillingford,J Botha,8,2,14,11.8,156,37.82,Right-hand bat,65,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1480,210,WIN,6,81,-34,S Shillingford,J Botha,8,2,15,11.8,156,37.82,Right-hand bat,66,14,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1525,255,WIN,6,104,-11,S Shillingford,J Botha,8,14,36,11.8,156,37.82,Right-hand bat,87,23,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1526,256,WIN,6,104,-11,S Shillingford,J Botha,8,14,37,11.8,156,37.82,Right-hand bat,88,23,2,462.2,25.45,42.1,rob,1,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1586,316,WIN,6,120,5,S Shillingford,J Botha,8,19,63,11.8,156,37.82,Right-hand bat,92,28,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1587,317,WIN,6,120,5,S Shillingford,J Botha,8,19,64,11.8,156,37.82,Right-hand bat,93,28,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1588,318,WIN,6,120,5,S Shillingford,J Botha,8,19,65,11.8,156,37.82,Right-hand bat,94,28,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1589,319,WIN,6,120,5,S Shillingford,J Botha,8,19,66,11.8,156,37.82,Right-hand bat,95,28,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1590,320,WIN,6,120,5,S Shillingford,J Botha,8,19,67,11.8,156,37.82,Right-hand bat,96,28,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1591,321,WIN,6,120,5,S Shillingford,J Botha,8,19,68,11.8,156,37.82,Right-hand bat,97,28,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1599,329,WIN,6,128,13,S Shillingford,J Botha,8,25,74,11.8,156,37.82,Right-hand bat,99,29,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1600,330,WIN,6,128,13,S Shillingford,J Botha,8,25,75,11.8,156,37.82,Right-hand bat,100,29,2,462.2,25.45,42.1,rob,0,WIN,spin,yes,13.730945821854913,10.117539026629936
3,1601,331,WIN,6,128,13,S Shillingford,J Botha,8,25,76,11.8,156,37.82,Right-hand bat,101,29,2,462.2,25.45,42.1,rob,W,WIN,spin,yes,13.730945821854913,10.117539026629936
