innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,2144,682,RSA,9,264,-83,M Morkel,I Sharma,11,0,0,13.8,857,41.89,Left-hand bat,147,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2164,702,RSA,9,265,-82,M Morkel,I Sharma,11,0,7,13.8,857,41.89,Left-hand bat,148,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2165,703,RSA,9,265,-82,M Morkel,I Sharma,11,0,8,13.8,857,41.89,Left-hand bat,149,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2166,704,RSA,9,265,-82,M Morkel,I Sharma,11,0,9,13.8,857,41.89,Left-hand bat,150,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2167,705,RSA,9,265,-82,M Morkel,I Sharma,11,0,10,13.8,857,41.89,Left-hand bat,151,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2168,706,RSA,9,265,-82,M Morkel,I Sharma,11,0,11,13.8,857,41.89,Left-hand bat,152,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2169,707,RSA,9,265,-82,M Morkel,I Sharma,11,0,12,13.8,857,41.89,Left-hand bat,153,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2176,714,RSA,9,265,-82,M Morkel,I Sharma,11,0,13,13.8,857,41.89,Left-hand bat,154,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2177,715,RSA,9,265,-82,M Morkel,I Sharma,11,0,14,13.8,857,41.89,Left-hand bat,155,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2178,716,RSA,9,265,-82,M Morkel,I Sharma,11,0,15,13.8,857,41.89,Left-hand bat,156,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2179,717,RSA,9,265,-82,M Morkel,I Sharma,11,0,16,13.8,857,41.89,Left-hand bat,157,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2180,718,RSA,9,265,-82,M Morkel,I Sharma,11,0,17,13.8,857,41.89,Left-hand bat,158,74,2,4224,34.93,64,rfm,0,IND,seam,yes,21.816568047337277,25.45266272189349
3,2181,719,RSA,9,265,-82,M Morkel,I Sharma,11,0,18,13.8,857,41.89,Left-hand bat,159,74,2,4224,34.93,64,rfm,4,IND,seam,yes,21.816568047337277,25.45266272189349
