innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1342,495,IND,7,350,-75,A Mishra,SL Malinga,9,0,0,18.63,341,60.11,Right-hand bat,131,93,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1343,496,IND,7,350,-75,A Mishra,SL Malinga,9,0,1,18.63,341,60.11,Right-hand bat,132,93,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1344,497,IND,7,350,-75,A Mishra,SL Malinga,9,0,2,18.63,341,60.11,Right-hand bat,133,93,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1345,498,IND,7,350,-75,A Mishra,SL Malinga,9,0,3,18.63,341,60.11,Right-hand bat,134,93,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1356,509,IND,7,354,-71,A Mishra,SL Malinga,9,2,6,18.63,341,60.11,Right-hand bat,139,94,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1357,510,IND,7,354,-71,A Mishra,SL Malinga,9,2,7,18.63,341,60.11,Right-hand bat,140,94,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1364,517,IND,7,360,-65,A Mishra,SL Malinga,9,4,11,18.63,341,60.11,Right-hand bat,141,94,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1365,518,IND,7,360,-65,A Mishra,SL Malinga,9,4,12,18.63,341,60.11,Right-hand bat,142,94,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1366,519,IND,7,360,-65,A Mishra,SL Malinga,9,4,13,18.63,341,60.11,Right-hand bat,143,94,3,5208.1,33.15,51.5,rf,1,SRL,seam,no,9.051428571428572,30.54857142857143
2,1368,521,IND,7,362,-63,A Mishra,SL Malinga,9,5,14,18.63,341,60.11,Right-hand bat,145,96,3,5208.1,33.15,51.5,rf,3,SRL,seam,no,9.051428571428572,30.54857142857143
2,1377,530,IND,7,372,-53,A Mishra,SL Malinga,9,9,19,18.63,341,60.11,Right-hand bat,148,100,3,5208.1,33.15,51.5,rf,1,SRL,seam,no,9.051428571428572,30.54857142857143
2,1379,532,IND,7,374,-51,A Mishra,SL Malinga,9,10,20,18.63,341,60.11,Right-hand bat,150,102,3,5208.1,33.15,51.5,rf,1,SRL,seam,no,9.051428571428572,30.54857142857143
2,1401,554,IND,7,379,-46,A Mishra,SL Malinga,9,13,27,18.63,341,60.11,Right-hand bat,160,104,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1402,555,IND,7,379,-46,A Mishra,SL Malinga,9,13,28,18.63,341,60.11,Right-hand bat,161,104,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1403,556,IND,7,379,-46,A Mishra,SL Malinga,9,13,29,18.63,341,60.11,Right-hand bat,162,104,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1404,557,IND,7,379,-46,A Mishra,SL Malinga,9,13,30,18.63,341,60.11,Right-hand bat,163,104,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1405,558,IND,7,379,-46,A Mishra,SL Malinga,9,13,31,18.63,341,60.11,Right-hand bat,164,104,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1406,559,IND,7,379,-46,A Mishra,SL Malinga,9,13,32,18.63,341,60.11,Right-hand bat,165,104,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1426,579,IND,7,392,-33,A Mishra,SL Malinga,9,21,43,18.63,341,60.11,Right-hand bat,172,106,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1427,580,IND,7,392,-33,A Mishra,SL Malinga,9,21,44,18.63,341,60.11,Right-hand bat,173,106,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1428,581,IND,7,392,-33,A Mishra,SL Malinga,9,21,45,18.63,341,60.11,Right-hand bat,174,106,3,5208.1,33.15,51.5,rf,0,SRL,seam,no,9.051428571428572,30.54857142857143
2,1429,582,IND,7,392,-33,A Mishra,SL Malinga,9,21,46,18.63,341,60.11,Right-hand bat,175,106,3,5208.1,33.15,51.5,rf,1,SRL,seam,no,9.051428571428572,30.54857142857143
2,1431,584,IND,7,396,-29,A Mishra,SL Malinga,9,22,47,18.63,341,60.11,Right-hand bat,177,110,3,5208.1,33.15,51.5,rf,4,SRL,seam,no,9.051428571428572,30.54857142857143
