innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2111,91,IND,1,35,-304,R Dravid,PL Harris,3,2,6,52.44,28492,42.33,Right-hand bat,0,0,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2112,92,IND,1,35,-304,R Dravid,PL Harris,3,2,7,52.44,28492,42.33,Right-hand bat,1,0,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2113,93,IND,1,35,-304,R Dravid,PL Harris,3,2,8,52.44,28492,42.33,Right-hand bat,2,0,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2114,94,IND,1,35,-304,R Dravid,PL Harris,3,2,9,52.44,28492,42.33,Right-hand bat,3,0,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2115,95,IND,1,35,-304,R Dravid,PL Harris,3,2,10,52.44,28492,42.33,Right-hand bat,4,0,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2116,96,IND,1,35,-304,R Dravid,PL Harris,3,2,11,52.44,28492,42.33,Right-hand bat,5,0,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2137,117,IND,1,39,-300,R Dravid,PL Harris,3,2,18,52.44,28492,42.33,Right-hand bat,14,1,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2138,118,IND,1,39,-300,R Dravid,PL Harris,3,2,19,52.44,28492,42.33,Right-hand bat,15,1,0,8808.1,37.87,85.5,lo,2,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2139,119,IND,1,41,-298,R Dravid,PL Harris,3,4,20,52.44,28492,42.33,Right-hand bat,16,3,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2140,120,IND,1,41,-298,R Dravid,PL Harris,3,4,21,52.44,28492,42.33,Right-hand bat,17,3,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2147,127,IND,1,41,-298,R Dravid,PL Harris,3,4,22,52.44,28492,42.33,Right-hand bat,18,3,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2148,128,IND,1,41,-298,R Dravid,PL Harris,3,4,23,52.44,28492,42.33,Right-hand bat,19,3,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2149,129,IND,1,41,-298,R Dravid,PL Harris,3,4,24,52.44,28492,42.33,Right-hand bat,20,3,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2150,130,IND,1,41,-298,R Dravid,PL Harris,3,4,25,52.44,28492,42.33,Right-hand bat,21,3,0,8808.1,37.87,85.5,lo,2,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2151,131,IND,1,43,-296,R Dravid,PL Harris,3,6,26,52.44,28492,42.33,Right-hand bat,22,5,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2152,132,IND,1,43,-296,R Dravid,PL Harris,3,6,27,52.44,28492,42.33,Right-hand bat,23,5,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2159,139,IND,1,45,-294,R Dravid,PL Harris,3,7,31,52.44,28492,42.33,Right-hand bat,24,5,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2160,140,IND,1,45,-294,R Dravid,PL Harris,3,7,32,52.44,28492,42.33,Right-hand bat,25,5,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2161,141,IND,1,45,-294,R Dravid,PL Harris,3,7,33,52.44,28492,42.33,Right-hand bat,26,5,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2162,142,IND,1,45,-294,R Dravid,PL Harris,3,7,34,52.44,28492,42.33,Right-hand bat,27,5,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2163,143,IND,1,45,-294,R Dravid,PL Harris,3,7,35,52.44,28492,42.33,Right-hand bat,28,5,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2164,144,IND,1,45,-294,R Dravid,PL Harris,3,7,36,52.44,28492,42.33,Right-hand bat,29,5,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2183,163,IND,1,53,-286,R Dravid,PL Harris,3,8,43,52.44,28492,42.33,Right-hand bat,36,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2184,164,IND,1,53,-286,R Dravid,PL Harris,3,8,44,52.44,28492,42.33,Right-hand bat,37,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2185,165,IND,1,53,-286,R Dravid,PL Harris,3,8,45,52.44,28492,42.33,Right-hand bat,38,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2186,166,IND,1,53,-286,R Dravid,PL Harris,3,8,46,52.44,28492,42.33,Right-hand bat,39,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2187,167,IND,1,53,-286,R Dravid,PL Harris,3,8,47,52.44,28492,42.33,Right-hand bat,40,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2188,168,IND,1,53,-286,R Dravid,PL Harris,3,8,48,52.44,28492,42.33,Right-hand bat,41,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2213,193,IND,1,70,-269,R Dravid,PL Harris,3,13,59,52.44,28492,42.33,Right-hand bat,42,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2214,194,IND,1,70,-269,R Dravid,PL Harris,3,13,60,52.44,28492,42.33,Right-hand bat,43,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2215,195,IND,1,70,-269,R Dravid,PL Harris,3,13,61,52.44,28492,42.33,Right-hand bat,44,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2216,196,IND,1,70,-269,R Dravid,PL Harris,3,13,62,52.44,28492,42.33,Right-hand bat,45,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2217,197,IND,1,70,-269,R Dravid,PL Harris,3,13,63,52.44,28492,42.33,Right-hand bat,46,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2218,198,IND,1,70,-269,R Dravid,PL Harris,3,13,64,52.44,28492,42.33,Right-hand bat,47,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2225,205,IND,1,74,-265,R Dravid,PL Harris,3,13,65,52.44,28492,42.33,Right-hand bat,48,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2226,206,IND,1,74,-265,R Dravid,PL Harris,3,13,66,52.44,28492,42.33,Right-hand bat,49,9,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2227,207,IND,1,74,-265,R Dravid,PL Harris,3,13,67,52.44,28492,42.33,Right-hand bat,50,9,0,8808.1,37.87,85.5,lo,2,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2228,208,IND,1,76,-263,R Dravid,PL Harris,3,15,68,52.44,28492,42.33,Right-hand bat,51,11,0,8808.1,37.87,85.5,lo,1,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2230,210,IND,1,78,-261,R Dravid,PL Harris,3,16,69,52.44,28492,42.33,Right-hand bat,53,13,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2237,217,IND,1,84,-255,R Dravid,PL Harris,3,16,70,52.44,28492,42.33,Right-hand bat,54,13,0,8808.1,37.87,85.5,lo,1,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2249,229,IND,1,86,-253,R Dravid,PL Harris,3,18,76,52.44,28492,42.33,Right-hand bat,60,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2250,230,IND,1,86,-253,R Dravid,PL Harris,3,18,77,52.44,28492,42.33,Right-hand bat,61,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2251,231,IND,1,86,-253,R Dravid,PL Harris,3,18,78,52.44,28492,42.33,Right-hand bat,62,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2252,232,IND,1,86,-253,R Dravid,PL Harris,3,18,79,52.44,28492,42.33,Right-hand bat,63,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2253,233,IND,1,86,-253,R Dravid,PL Harris,3,18,80,52.44,28492,42.33,Right-hand bat,64,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2254,234,IND,1,86,-253,R Dravid,PL Harris,3,18,81,52.44,28492,42.33,Right-hand bat,65,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2261,241,IND,1,86,-253,R Dravid,PL Harris,3,18,82,52.44,28492,42.33,Right-hand bat,66,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2262,242,IND,1,86,-253,R Dravid,PL Harris,3,18,83,52.44,28492,42.33,Right-hand bat,67,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2263,243,IND,1,86,-253,R Dravid,PL Harris,3,18,84,52.44,28492,42.33,Right-hand bat,68,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2264,244,IND,1,86,-253,R Dravid,PL Harris,3,18,85,52.44,28492,42.33,Right-hand bat,69,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2265,245,IND,1,86,-253,R Dravid,PL Harris,3,18,86,52.44,28492,42.33,Right-hand bat,70,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2266,246,IND,1,86,-253,R Dravid,PL Harris,3,18,87,52.44,28492,42.33,Right-hand bat,71,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2279,259,IND,1,99,-240,R Dravid,PL Harris,3,27,92,52.44,28492,42.33,Right-hand bat,72,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2280,260,IND,1,99,-240,R Dravid,PL Harris,3,27,93,52.44,28492,42.33,Right-hand bat,73,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2281,261,IND,1,99,-240,R Dravid,PL Harris,3,27,94,52.44,28492,42.33,Right-hand bat,74,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2282,262,IND,1,99,-240,R Dravid,PL Harris,3,27,95,52.44,28492,42.33,Right-hand bat,75,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2283,263,IND,1,99,-240,R Dravid,PL Harris,3,27,96,52.44,28492,42.33,Right-hand bat,76,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2284,264,IND,1,99,-240,R Dravid,PL Harris,3,27,97,52.44,28492,42.33,Right-hand bat,77,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2291,271,IND,1,101,-238,R Dravid,PL Harris,3,27,98,52.44,28492,42.33,Right-hand bat,78,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2292,272,IND,1,101,-238,R Dravid,PL Harris,3,27,99,52.44,28492,42.33,Right-hand bat,79,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2293,273,IND,1,101,-238,R Dravid,PL Harris,3,27,100,52.44,28492,42.33,Right-hand bat,80,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2294,274,IND,1,101,-238,R Dravid,PL Harris,3,27,101,52.44,28492,42.33,Right-hand bat,81,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2295,275,IND,1,101,-238,R Dravid,PL Harris,3,27,102,52.44,28492,42.33,Right-hand bat,82,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
4,2296,276,IND,1,101,-238,R Dravid,PL Harris,3,27,103,52.44,28492,42.33,Right-hand bat,83,14,0,8808.1,37.87,85.5,lo,0,RSA,spin,yes,27.173553719008265,10.1900826446281
