innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1007,84,IND,1,86,-342,R Dravid,NM Hauritz,3,5,4,52.87,27295,42.42,Right-hand bat,6,11,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1008,85,IND,1,86,-342,R Dravid,NM Hauritz,3,5,5,52.87,27295,42.42,Right-hand bat,7,11,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1009,86,IND,1,86,-342,R Dravid,NM Hauritz,3,5,6,52.87,27295,42.42,Right-hand bat,8,11,0,3888.1,32.91,64.8,rob,4,IND,spin,no,21.213675213675213,10.606837606837606
2,1010,87,IND,1,90,-338,R Dravid,NM Hauritz,3,9,7,52.87,27295,42.42,Right-hand bat,9,15,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1011,88,IND,1,90,-338,R Dravid,NM Hauritz,3,9,8,52.87,27295,42.42,Right-hand bat,10,15,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1012,89,IND,1,90,-338,R Dravid,NM Hauritz,3,9,9,52.87,27295,42.42,Right-hand bat,11,15,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1055,132,IND,2,110,-318,R Dravid,NM Hauritz,3,21,28,52.87,27295,42.42,Right-hand bat,12,15,0,3888.1,32.91,64.8,rob,1,IND,spin,no,21.213675213675213,10.606837606837606
2,1057,134,IND,2,112,-316,R Dravid,NM Hauritz,3,22,29,52.87,27295,42.42,Right-hand bat,14,17,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1058,135,IND,2,112,-316,R Dravid,NM Hauritz,3,22,30,52.87,27295,42.42,Right-hand bat,15,17,0,3888.1,32.91,64.8,rob,2,IND,spin,no,21.213675213675213,10.606837606837606
2,1059,136,IND,2,114,-314,R Dravid,NM Hauritz,3,24,31,52.87,27295,42.42,Right-hand bat,16,19,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1060,137,IND,2,114,-314,R Dravid,NM Hauritz,3,24,32,52.87,27295,42.42,Right-hand bat,17,19,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1091,168,IND,2,120,-308,R Dravid,NM Hauritz,3,25,45,52.87,27295,42.42,Right-hand bat,30,23,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1092,169,IND,2,120,-308,R Dravid,NM Hauritz,3,25,46,52.87,27295,42.42,Right-hand bat,31,23,0,3888.1,32.91,64.8,rob,1,IND,spin,no,21.213675213675213,10.606837606837606
2,1103,180,IND,2,126,-302,R Dravid,NM Hauritz,3,31,51,52.87,27295,42.42,Right-hand bat,36,24,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1104,181,IND,2,126,-302,R Dravid,NM Hauritz,3,31,52,52.87,27295,42.42,Right-hand bat,37,24,0,3888.1,32.91,64.8,rob,1,IND,spin,no,21.213675213675213,10.606837606837606
2,1128,205,IND,2,137,-291,R Dravid,NM Hauritz,3,37,66,52.87,27295,42.42,Right-hand bat,48,29,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1129,206,IND,2,137,-291,R Dravid,NM Hauritz,3,37,67,52.87,27295,42.42,Right-hand bat,49,29,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1130,207,IND,2,137,-291,R Dravid,NM Hauritz,3,37,68,52.87,27295,42.42,Right-hand bat,50,29,0,3888.1,32.91,64.8,rob,4,IND,spin,no,21.213675213675213,10.606837606837606
2,1131,208,IND,2,141,-287,R Dravid,NM Hauritz,3,41,69,52.87,27295,42.42,Right-hand bat,51,33,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1132,209,IND,2,141,-287,R Dravid,NM Hauritz,3,41,70,52.87,27295,42.42,Right-hand bat,52,33,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1133,210,IND,2,141,-287,R Dravid,NM Hauritz,3,41,71,52.87,27295,42.42,Right-hand bat,53,33,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1140,217,IND,2,145,-283,R Dravid,NM Hauritz,3,41,72,52.87,27295,42.42,Right-hand bat,54,33,0,3888.1,32.91,64.8,rob,1,IND,spin,no,21.213675213675213,10.606837606837606
2,1200,277,IND,3,177,-251,R Dravid,NM Hauritz,3,53,96,52.87,27295,42.42,Right-hand bat,60,38,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1201,278,IND,3,177,-251,R Dravid,NM Hauritz,3,53,97,52.87,27295,42.42,Right-hand bat,61,38,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1202,279,IND,3,177,-251,R Dravid,NM Hauritz,3,53,98,52.87,27295,42.42,Right-hand bat,62,38,0,3888.1,32.91,64.8,rob,1,IND,spin,no,21.213675213675213,10.606837606837606
2,1204,281,IND,3,179,-249,R Dravid,NM Hauritz,3,54,99,52.87,27295,42.42,Right-hand bat,64,40,0,3888.1,32.91,64.8,rob,4,IND,spin,no,21.213675213675213,10.606837606837606
2,1205,282,IND,3,183,-245,R Dravid,NM Hauritz,3,58,100,52.87,27295,42.42,Right-hand bat,65,44,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1212,289,IND,3,187,-241,R Dravid,NM Hauritz,3,59,102,52.87,27295,42.42,Right-hand bat,66,44,0,3888.1,32.91,64.8,rob,2,IND,spin,no,21.213675213675213,10.606837606837606
2,1213,290,IND,3,189,-239,R Dravid,NM Hauritz,3,61,103,52.87,27295,42.42,Right-hand bat,67,46,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
2,1214,291,IND,3,189,-239,R Dravid,NM Hauritz,3,61,104,52.87,27295,42.42,Right-hand bat,68,46,0,3888.1,32.91,64.8,rob,0,IND,spin,no,21.213675213675213,10.606837606837606
