innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,929,6,IND,0,2,-426,V Sehwag,DE Bollinger,2,1,1,53.9,8707,81.71,Right-hand bat,0,0,0,2226.1,23.79,45.4,lfm,0,IND,seam,no,21.213675213675213,10.606837606837606
2,930,7,IND,0,2,-426,V Sehwag,DE Bollinger,2,1,2,53.9,8707,81.71,Right-hand bat,1,0,0,2226.1,23.79,45.4,lfm,0,IND,seam,no,21.213675213675213,10.606837606837606
2,931,8,IND,0,2,-426,V Sehwag,DE Bollinger,2,1,3,53.9,8707,81.71,Right-hand bat,2,0,0,2226.1,23.79,45.4,lfm,1,IND,seam,no,21.213675213675213,10.606837606837606
2,942,19,IND,0,6,-422,V Sehwag,DE Bollinger,2,3,8,53.9,8707,81.71,Right-hand bat,7,1,0,2226.1,23.79,45.4,lfm,4,IND,seam,no,21.213675213675213,10.606837606837606
2,943,20,IND,0,10,-418,V Sehwag,DE Bollinger,2,7,9,53.9,8707,81.71,Right-hand bat,8,5,0,2226.1,23.79,45.4,lfm,0,IND,seam,no,21.213675213675213,10.606837606837606
2,944,21,IND,0,10,-418,V Sehwag,DE Bollinger,2,7,10,53.9,8707,81.71,Right-hand bat,9,5,0,2226.1,23.79,45.4,lfm,4,IND,seam,no,21.213675213675213,10.606837606837606
2,945,22,IND,0,14,-414,V Sehwag,DE Bollinger,2,11,11,53.9,8707,81.71,Right-hand bat,10,9,0,2226.1,23.79,45.4,lfm,0,IND,seam,no,21.213675213675213,10.606837606837606
2,946,23,IND,0,14,-414,V Sehwag,DE Bollinger,2,11,12,53.9,8707,81.71,Right-hand bat,11,9,0,2226.1,23.79,45.4,lfm,0,IND,seam,no,21.213675213675213,10.606837606837606
2,953,30,IND,0,18,-410,V Sehwag,DE Bollinger,2,12,14,53.9,8707,81.71,Right-hand bat,12,9,0,2226.1,23.79,45.4,lfm,1,IND,seam,no,21.213675213675213,10.606837606837606
2,965,42,IND,0,26,-402,V Sehwag,DE Bollinger,2,14,16,53.9,8707,81.71,Right-hand bat,18,12,0,2226.1,23.79,45.4,lfm,0,IND,seam,no,21.213675213675213,10.606837606837606
2,966,43,IND,0,26,-402,V Sehwag,DE Bollinger,2,14,17,53.9,8707,81.71,Right-hand bat,19,12,0,2226.1,23.79,45.4,lfm,1,IND,seam,no,21.213675213675213,10.606837606837606
2,969,46,IND,0,28,-400,V Sehwag,DE Bollinger,2,15,18,53.9,8707,81.71,Right-hand bat,22,14,0,2226.1,23.79,45.4,lfm,4,IND,seam,no,21.213675213675213,10.606837606837606
2,970,47,IND,0,32,-396,V Sehwag,DE Bollinger,2,19,19,53.9,8707,81.71,Right-hand bat,23,18,0,2226.1,23.79,45.4,lfm,4,IND,seam,no,21.213675213675213,10.606837606837606
