innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,456,54,IND,0,50,-143,V Sehwag,DL Vettori,2,33,27,54.71,9188,82.17,Right-hand bat,0,0,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,457,55,IND,0,50,-143,V Sehwag,DL Vettori,2,33,28,54.71,9188,82.17,Right-hand bat,1,0,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,458,56,IND,0,50,-143,V Sehwag,DL Vettori,2,33,29,54.71,9188,82.17,Right-hand bat,2,0,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,459,57,IND,0,50,-143,V Sehwag,DL Vettori,2,33,30,54.71,9188,82.17,Right-hand bat,3,0,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,460,58,IND,0,50,-143,V Sehwag,DL Vettori,2,33,31,54.71,9188,82.17,Right-hand bat,4,0,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,461,59,IND,0,50,-143,V Sehwag,DL Vettori,2,33,32,54.71,9188,82.17,Right-hand bat,5,0,0,26196.4,33.97,77.2,lo,6,IND,spin,no,15.487244897959183,17.86989795918367
2,468,66,IND,0,56,-137,V Sehwag,DL Vettori,2,39,33,54.71,9188,82.17,Right-hand bat,6,6,0,26196.4,33.97,77.2,lo,1,IND,spin,no,15.487244897959183,17.86989795918367
2,473,71,IND,0,62,-131,V Sehwag,DL Vettori,2,40,34,54.71,9188,82.17,Right-hand bat,11,12,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,481,79,IND,0,64,-129,V Sehwag,DL Vettori,2,40,37,54.71,9188,82.17,Right-hand bat,13,13,0,26196.4,33.97,77.2,lo,4,IND,spin,no,15.487244897959183,17.86989795918367
2,482,80,IND,0,68,-125,V Sehwag,DL Vettori,2,44,38,54.71,9188,82.17,Right-hand bat,14,17,0,26196.4,33.97,77.2,lo,2,IND,spin,no,15.487244897959183,17.86989795918367
2,483,81,IND,0,70,-123,V Sehwag,DL Vettori,2,46,39,54.71,9188,82.17,Right-hand bat,15,19,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,484,82,IND,0,70,-123,V Sehwag,DL Vettori,2,46,40,54.71,9188,82.17,Right-hand bat,16,19,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,485,83,IND,0,70,-123,V Sehwag,DL Vettori,2,46,41,54.71,9188,82.17,Right-hand bat,17,19,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,493,91,IND,0,77,-116,V Sehwag,DL Vettori,2,48,44,54.71,9188,82.17,Right-hand bat,18,19,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,494,92,IND,0,77,-116,V Sehwag,DL Vettori,2,48,45,54.71,9188,82.17,Right-hand bat,19,19,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,495,93,IND,0,77,-116,V Sehwag,DL Vettori,2,48,46,54.71,9188,82.17,Right-hand bat,20,19,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,496,94,IND,0,77,-116,V Sehwag,DL Vettori,2,48,47,54.71,9188,82.17,Right-hand bat,21,19,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,497,95,IND,0,77,-116,V Sehwag,DL Vettori,2,48,48,54.71,9188,82.17,Right-hand bat,22,19,0,26196.4,33.97,77.2,lo,1,IND,spin,no,15.487244897959183,17.86989795918367
2,505,103,IND,0,79,-114,V Sehwag,DL Vettori,2,50,50,54.71,9188,82.17,Right-hand bat,24,20,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,506,104,IND,0,79,-114,V Sehwag,DL Vettori,2,50,51,54.71,9188,82.17,Right-hand bat,25,20,0,26196.4,33.97,77.2,lo,1,IND,spin,no,15.487244897959183,17.86989795918367
2,508,106,IND,0,81,-112,V Sehwag,DL Vettori,2,51,52,54.71,9188,82.17,Right-hand bat,27,22,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,509,107,IND,0,81,-112,V Sehwag,DL Vettori,2,51,53,54.71,9188,82.17,Right-hand bat,28,22,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,510,108,IND,0,81,-112,V Sehwag,DL Vettori,2,51,54,54.71,9188,82.17,Right-hand bat,29,22,0,26196.4,33.97,77.2,lo,4,IND,spin,no,15.487244897959183,17.86989795918367
2,517,115,IND,0,89,-104,V Sehwag,DL Vettori,2,55,55,54.71,9188,82.17,Right-hand bat,30,26,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,518,116,IND,0,89,-104,V Sehwag,DL Vettori,2,55,56,54.71,9188,82.17,Right-hand bat,31,26,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,519,117,IND,0,89,-104,V Sehwag,DL Vettori,2,55,57,54.71,9188,82.17,Right-hand bat,32,26,0,26196.4,33.97,77.2,lo,2,IND,spin,no,15.487244897959183,17.86989795918367
2,520,118,IND,0,91,-102,V Sehwag,DL Vettori,2,57,58,54.71,9188,82.17,Right-hand bat,33,28,0,26196.4,33.97,77.2,lo,4,IND,spin,no,15.487244897959183,17.86989795918367
2,521,119,IND,0,95,-98,V Sehwag,DL Vettori,2,61,59,54.71,9188,82.17,Right-hand bat,34,32,0,26196.4,33.97,77.2,lo,4,IND,spin,no,15.487244897959183,17.86989795918367
2,522,120,IND,0,99,-94,V Sehwag,DL Vettori,2,65,60,54.71,9188,82.17,Right-hand bat,35,36,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,529,127,IND,0,107,-86,V Sehwag,DL Vettori,2,72,66,54.71,9188,82.17,Right-hand bat,36,36,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,530,128,IND,0,107,-86,V Sehwag,DL Vettori,2,72,67,54.71,9188,82.17,Right-hand bat,37,36,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,531,129,IND,0,107,-86,V Sehwag,DL Vettori,2,72,68,54.71,9188,82.17,Right-hand bat,38,36,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,532,130,IND,0,107,-86,V Sehwag,DL Vettori,2,72,69,54.71,9188,82.17,Right-hand bat,39,36,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,533,131,IND,0,107,-86,V Sehwag,DL Vettori,2,72,70,54.71,9188,82.17,Right-hand bat,40,36,0,26196.4,33.97,77.2,lo,2,IND,spin,no,15.487244897959183,17.86989795918367
2,534,132,IND,0,109,-84,V Sehwag,DL Vettori,2,74,71,54.71,9188,82.17,Right-hand bat,41,38,0,26196.4,33.97,77.2,lo,0,IND,spin,no,15.487244897959183,17.86989795918367
2,541,139,IND,0,113,-80,V Sehwag,DL Vettori,2,74,72,54.71,9188,82.17,Right-hand bat,42,38,0,26196.4,33.97,77.2,lo,W,IND,spin,no,15.487244897959183,17.86989795918367
