innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,102,102,WIN,2,34,34,KOA Powell,TS Roland-Jones,2,16,46,26.96,2802,49.07,Left-hand bat,0,0,0,534.2,19.64,31.5,rmf,1,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,145,145,WIN,2,49,49,KOA Powell,TS Roland-Jones,2,22,68,26.96,2802,49.07,Left-hand bat,13,2,0,534.2,19.64,31.5,rmf,4,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,146,146,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,69,26.96,2802,49.07,Left-hand bat,14,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,147,147,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,70,26.96,2802,49.07,Left-hand bat,15,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,148,148,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,71,26.96,2802,49.07,Left-hand bat,16,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,149,149,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,72,26.96,2802,49.07,Left-hand bat,17,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,156,156,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,73,26.96,2802,49.07,Left-hand bat,18,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,157,157,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,74,26.96,2802,49.07,Left-hand bat,19,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,158,158,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,75,26.96,2802,49.07,Left-hand bat,20,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,159,159,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,76,26.96,2802,49.07,Left-hand bat,21,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,160,160,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,77,26.96,2802,49.07,Left-hand bat,22,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,161,161,WIN,2,53,53,KOA Powell,TS Roland-Jones,2,26,78,26.96,2802,49.07,Left-hand bat,23,6,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,168,168,WIN,2,57,57,KOA Powell,TS Roland-Jones,2,26,79,26.96,2802,49.07,Left-hand bat,24,6,0,534.2,19.64,31.5,rmf,3,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,180,180,WIN,2,71,71,KOA Powell,TS Roland-Jones,2,36,85,26.96,2802,49.07,Left-hand bat,30,13,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,181,181,WIN,2,71,71,KOA Powell,TS Roland-Jones,2,36,86,26.96,2802,49.07,Left-hand bat,31,13,0,534.2,19.64,31.5,rmf,0,WIN,seam,yes,18.761706555671175,0.6253902185223725
1,182,182,WIN,2,71,71,KOA Powell,TS Roland-Jones,2,36,87,26.96,2802,49.07,Left-hand bat,32,13,0,534.2,19.64,31.5,rmf,3,WIN,seam,yes,18.761706555671175,0.6253902185223725
