innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1449,490,SRL,4,234,41,TT Samaraweera,CT Tremlett,6,34,51,54.08,9546,48.15,Right-hand bat,104,47,1,2286.4,25.2,50.8,rmf,4,ENG,seam,no,35.52930056710775,3.383742911153119
3,1450,491,SRL,4,238,45,TT Samaraweera,CT Tremlett,6,38,52,54.08,9546,48.15,Right-hand bat,105,51,1,2286.4,25.2,50.8,rmf,1lb,ENG,seam,no,35.52930056710775,3.383742911153119
3,1461,502,SRL,4,240,47,TT Samaraweera,CT Tremlett,6,38,53,54.08,9546,48.15,Right-hand bat,110,51,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1462,503,SRL,4,240,47,TT Samaraweera,CT Tremlett,6,38,54,54.08,9546,48.15,Right-hand bat,111,51,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1463,504,SRL,4,240,47,TT Samaraweera,CT Tremlett,6,38,55,54.08,9546,48.15,Right-hand bat,112,51,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1464,505,SRL,4,240,47,TT Samaraweera,CT Tremlett,6,38,56,54.08,9546,48.15,Right-hand bat,113,51,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1465,506,SRL,4,240,47,TT Samaraweera,CT Tremlett,6,38,57,54.08,9546,48.15,Right-hand bat,114,51,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1466,507,SRL,4,240,47,TT Samaraweera,CT Tremlett,6,38,58,54.08,9546,48.15,Right-hand bat,115,51,1,2286.4,25.2,50.8,rmf,2,ENG,seam,no,35.52930056710775,3.383742911153119
3,1473,514,SRL,4,242,49,TT Samaraweera,CT Tremlett,6,40,59,54.08,9546,48.15,Right-hand bat,116,53,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1474,515,SRL,4,242,49,TT Samaraweera,CT Tremlett,6,40,60,54.08,9546,48.15,Right-hand bat,117,53,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1475,516,SRL,4,242,49,TT Samaraweera,CT Tremlett,6,40,61,54.08,9546,48.15,Right-hand bat,118,53,1,2286.4,25.2,50.8,rmf,1nb,ENG,seam,no,35.52930056710775,3.383742911153119
3,1476,517,SRL,4,243,50,TT Samaraweera,CT Tremlett,6,40,62,54.08,9546,48.15,Right-hand bat,119,54,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1477,518,SRL,4,243,50,TT Samaraweera,CT Tremlett,6,40,63,54.08,9546,48.15,Right-hand bat,120,54,1,2286.4,25.2,50.8,rmf,4,ENG,seam,no,35.52930056710775,3.383742911153119
3,1478,519,SRL,4,247,54,TT Samaraweera,CT Tremlett,6,44,64,54.08,9546,48.15,Right-hand bat,121,58,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1479,520,SRL,4,247,54,TT Samaraweera,CT Tremlett,6,44,65,54.08,9546,48.15,Right-hand bat,122,58,1,2286.4,25.2,50.8,rmf,1,ENG,seam,no,35.52930056710775,3.383742911153119
3,1486,527,SRL,4,255,62,TT Samaraweera,CT Tremlett,6,48,71,54.08,9546,48.15,Right-hand bat,123,59,1,2286.4,25.2,50.8,rmf,2,ENG,seam,no,35.52930056710775,3.383742911153119
3,1487,528,SRL,4,257,64,TT Samaraweera,CT Tremlett,6,50,72,54.08,9546,48.15,Right-hand bat,124,61,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1488,529,SRL,4,257,64,TT Samaraweera,CT Tremlett,6,50,73,54.08,9546,48.15,Right-hand bat,125,61,1,2286.4,25.2,50.8,rmf,0,ENG,seam,no,35.52930056710775,3.383742911153119
3,1489,530,SRL,4,257,64,TT Samaraweera,CT Tremlett,6,50,74,54.08,9546,48.15,Right-hand bat,126,61,1,2286.4,25.2,50.8,rmf,4,ENG,seam,no,35.52930056710775,3.383742911153119
3,1490,531,SRL,4,261,68,TT Samaraweera,CT Tremlett,6,54,75,54.08,9546,48.15,Right-hand bat,127,65,1,2286.4,25.2,50.8,rmf,1,ENG,seam,no,35.52930056710775,3.383742911153119
