innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,369,369,ENG,3,160,160,IR Bell,P Kumar,5,0,0,46.61,8841,51.66,Right-hand bat,131,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,370,370,ENG,3,160,160,IR Bell,P Kumar,5,0,1,46.61,8841,51.66,Right-hand bat,132,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,371,371,ENG,3,160,160,IR Bell,P Kumar,5,0,2,46.61,8841,51.66,Right-hand bat,133,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,372,372,ENG,3,160,160,IR Bell,P Kumar,5,0,3,46.61,8841,51.66,Right-hand bat,134,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,379,379,ENG,3,162,162,IR Bell,P Kumar,5,1,5,46.61,8841,51.66,Right-hand bat,135,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,380,380,ENG,3,162,162,IR Bell,P Kumar,5,1,6,46.61,8841,51.66,Right-hand bat,136,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,381,381,ENG,3,162,162,IR Bell,P Kumar,5,1,7,46.61,8841,51.66,Right-hand bat,137,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,382,382,ENG,3,162,162,IR Bell,P Kumar,5,1,8,46.61,8841,51.66,Right-hand bat,138,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,383,383,ENG,3,162,162,IR Bell,P Kumar,5,1,9,46.61,8841,51.66,Right-hand bat,139,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,384,384,ENG,3,162,162,IR Bell,P Kumar,5,1,10,46.61,8841,51.66,Right-hand bat,140,59,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,418,418,ENG,3,178,178,IR Bell,P Kumar,5,8,19,46.61,8841,51.66,Right-hand bat,156,61,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,419,419,ENG,3,178,178,IR Bell,P Kumar,5,8,20,46.61,8841,51.66,Right-hand bat,157,61,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,420,420,ENG,3,178,178,IR Bell,P Kumar,5,8,21,46.61,8841,51.66,Right-hand bat,158,61,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,427,427,ENG,3,186,186,IR Bell,P Kumar,5,14,25,46.61,8841,51.66,Right-hand bat,159,61,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,428,428,ENG,3,186,186,IR Bell,P Kumar,5,14,26,46.61,8841,51.66,Right-hand bat,160,61,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,429,429,ENG,3,186,186,IR Bell,P Kumar,5,14,27,46.61,8841,51.66,Right-hand bat,161,61,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,430,430,ENG,3,186,186,IR Bell,P Kumar,5,14,28,46.61,8841,51.66,Right-hand bat,162,61,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,431,431,ENG,3,186,186,IR Bell,P Kumar,5,14,29,46.61,8841,51.66,Right-hand bat,163,61,1,1020.3,23.88,56.8,rm,4,ENG,seam,no,33.47750865051903,4.463667820069204
1,432,432,ENG,3,190,190,IR Bell,P Kumar,5,18,30,46.61,8841,51.66,Right-hand bat,164,65,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,530,530,ENG,3,252,252,IR Bell,P Kumar,5,39,61,46.61,8841,51.66,Right-hand bat,165,65,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,531,531,ENG,3,252,252,IR Bell,P Kumar,5,39,62,46.61,8841,51.66,Right-hand bat,166,65,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,532,532,ENG,3,252,252,IR Bell,P Kumar,5,39,63,46.61,8841,51.66,Right-hand bat,167,65,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,533,533,ENG,3,252,252,IR Bell,P Kumar,5,39,64,46.61,8841,51.66,Right-hand bat,168,65,1,1020.3,23.88,56.8,rm,4,ENG,seam,no,33.47750865051903,4.463667820069204
1,534,534,ENG,3,256,256,IR Bell,P Kumar,5,43,65,46.61,8841,51.66,Right-hand bat,169,69,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,535,535,ENG,3,256,256,IR Bell,P Kumar,5,43,66,46.61,8841,51.66,Right-hand bat,170,69,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
1,542,542,ENG,3,262,262,IR Bell,P Kumar,5,45,69,46.61,8841,51.66,Right-hand bat,171,69,1,1020.3,23.88,56.8,rm,0,ENG,seam,no,33.47750865051903,4.463667820069204
