innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,822,448,ENG,2,261,37,KP Pietersen,A Mishra,4,5,10,49.48,9922,62.34,Right-hand bat,115,64,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,823,449,ENG,2,261,37,KP Pietersen,A Mishra,4,5,11,49.48,9922,62.34,Right-hand bat,116,64,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,824,450,ENG,2,261,37,KP Pietersen,A Mishra,4,5,12,49.48,9922,62.34,Right-hand bat,117,64,1,3264.5,39.34,76,rls,4,ENG,spin,yes,32.318244170096015,11.311385459533607
2,825,451,ENG,2,265,41,KP Pietersen,A Mishra,4,9,13,49.48,9922,62.34,Right-hand bat,118,68,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,826,452,ENG,2,265,41,KP Pietersen,A Mishra,4,9,14,49.48,9922,62.34,Right-hand bat,119,68,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,827,453,ENG,2,265,41,KP Pietersen,A Mishra,4,9,15,49.48,9922,62.34,Right-hand bat,120,68,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,834,460,ENG,2,269,45,KP Pietersen,A Mishra,4,12,19,49.48,9922,62.34,Right-hand bat,121,68,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,835,461,ENG,2,269,45,KP Pietersen,A Mishra,4,12,20,49.48,9922,62.34,Right-hand bat,122,68,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,836,462,ENG,2,269,45,KP Pietersen,A Mishra,4,12,21,49.48,9922,62.34,Right-hand bat,123,68,1,3264.5,39.34,76,rls,1nb,ENG,spin,yes,32.318244170096015,11.311385459533607
2,847,473,ENG,2,276,52,KP Pietersen,A Mishra,4,14,25,49.48,9922,62.34,Right-hand bat,128,69,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,848,474,ENG,2,276,52,KP Pietersen,A Mishra,4,14,26,49.48,9922,62.34,Right-hand bat,129,69,1,3264.5,39.34,76,rls,4,ENG,spin,yes,32.318244170096015,11.311385459533607
2,849,475,ENG,2,280,56,KP Pietersen,A Mishra,4,18,27,49.48,9922,62.34,Right-hand bat,130,73,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,850,476,ENG,2,280,56,KP Pietersen,A Mishra,4,18,28,49.48,9922,62.34,Right-hand bat,131,73,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,851,477,ENG,2,280,56,KP Pietersen,A Mishra,4,18,29,49.48,9922,62.34,Right-hand bat,132,73,1,3264.5,39.34,76,rls,0,ENG,spin,yes,32.318244170096015,11.311385459533607
2,852,478,ENG,2,280,56,KP Pietersen,A Mishra,4,18,30,49.48,9922,62.34,Right-hand bat,133,73,1,3264.5,39.34,76,rls,6,ENG,spin,yes,32.318244170096015,11.311385459533607
