innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,785,0,IND,0,0,73,A Mukund,FH Edwards,1,0,0,18,116,31.03,Left-hand bat,0,0,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,786,1,IND,0,0,73,A Mukund,FH Edwards,1,0,1,18,116,31.03,Left-hand bat,1,0,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,787,2,IND,0,0,73,A Mukund,FH Edwards,1,0,2,18,116,31.03,Left-hand bat,2,0,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,788,3,IND,0,0,73,A Mukund,FH Edwards,1,0,3,18,116,31.03,Left-hand bat,3,0,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,789,4,IND,0,0,73,A Mukund,FH Edwards,1,0,4,18,116,31.03,Left-hand bat,4,0,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,790,5,IND,0,0,73,A Mukund,FH Edwards,1,0,5,18,116,31.03,Left-hand bat,5,0,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,799,14,IND,1,2,75,A Mukund,FH Edwards,1,0,9,18,116,31.03,Left-hand bat,8,1,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,800,15,IND,1,2,75,A Mukund,FH Edwards,1,0,10,18,116,31.03,Left-hand bat,9,1,0,7470.5,38.87,58.8,rf,1,WIN,seam,yes,14.578125,8.746875
3,809,24,IND,1,8,81,A Mukund,FH Edwards,1,2,14,18,116,31.03,Left-hand bat,12,6,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,810,25,IND,1,8,81,A Mukund,FH Edwards,1,2,15,18,116,31.03,Left-hand bat,13,6,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,811,26,IND,1,8,81,A Mukund,FH Edwards,1,2,16,18,116,31.03,Left-hand bat,14,6,0,7470.5,38.87,58.8,rf,2,WIN,seam,yes,14.578125,8.746875
3,812,27,IND,1,10,83,A Mukund,FH Edwards,1,4,17,18,116,31.03,Left-hand bat,15,8,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,813,28,IND,1,10,83,A Mukund,FH Edwards,1,4,18,18,116,31.03,Left-hand bat,16,8,0,7470.5,38.87,58.8,rf,4,WIN,seam,yes,14.578125,8.746875
3,814,29,IND,1,14,87,A Mukund,FH Edwards,1,8,19,18,116,31.03,Left-hand bat,17,12,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,821,36,IND,1,18,91,A Mukund,FH Edwards,1,8,20,18,116,31.03,Left-hand bat,18,12,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,822,37,IND,1,18,91,A Mukund,FH Edwards,1,8,21,18,116,31.03,Left-hand bat,19,12,0,7470.5,38.87,58.8,rf,4,WIN,seam,yes,14.578125,8.746875
3,823,38,IND,1,22,95,A Mukund,FH Edwards,1,12,22,18,116,31.03,Left-hand bat,20,16,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,824,39,IND,1,22,95,A Mukund,FH Edwards,1,12,23,18,116,31.03,Left-hand bat,21,16,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,825,40,IND,1,22,95,A Mukund,FH Edwards,1,12,24,18,116,31.03,Left-hand bat,22,16,0,7470.5,38.87,58.8,rf,1,WIN,seam,yes,14.578125,8.746875
3,838,53,IND,1,29,102,A Mukund,FH Edwards,1,17,31,18,116,31.03,Left-hand bat,29,18,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
3,839,54,IND,1,29,102,A Mukund,FH Edwards,1,17,32,18,116,31.03,Left-hand bat,30,18,0,7470.5,38.87,58.8,rf,0,WIN,seam,yes,14.578125,8.746875
