innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,553,136,WIN,5,64,-137,MN Samuels,P Kumar,7,0,6,29.96,3520,44.26,Right-hand bat,66,26,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,554,137,WIN,5,64,-137,MN Samuels,P Kumar,7,0,7,29.96,3520,44.26,Right-hand bat,67,26,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,555,138,WIN,5,64,-137,MN Samuels,P Kumar,7,0,8,29.96,3520,44.26,Right-hand bat,68,26,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,556,139,WIN,5,64,-137,MN Samuels,P Kumar,7,0,9,29.96,3520,44.26,Right-hand bat,69,26,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,557,140,WIN,5,64,-137,MN Samuels,P Kumar,7,0,10,29.96,3520,44.26,Right-hand bat,70,26,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,558,141,WIN,5,64,-137,MN Samuels,P Kumar,7,0,11,29.96,3520,44.26,Right-hand bat,71,26,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,565,148,WIN,5,66,-135,MN Samuels,P Kumar,7,1,15,29.96,3520,44.26,Right-hand bat,72,26,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,566,149,WIN,5,66,-135,MN Samuels,P Kumar,7,1,16,29.96,3520,44.26,Right-hand bat,73,26,1,438,23.5,54.7,rm,2,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,567,150,WIN,5,68,-133,MN Samuels,P Kumar,7,3,17,29.96,3520,44.26,Right-hand bat,74,28,1,438,23.5,54.7,rm,4,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,568,151,WIN,5,72,-129,MN Samuels,P Kumar,7,7,18,29.96,3520,44.26,Right-hand bat,75,32,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,569,152,WIN,5,72,-129,MN Samuels,P Kumar,7,7,19,29.96,3520,44.26,Right-hand bat,76,32,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,570,153,WIN,5,72,-129,MN Samuels,P Kumar,7,7,20,29.96,3520,44.26,Right-hand bat,77,32,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,615,198,WIN,5,88,-113,MN Samuels,P Kumar,7,15,40,29.96,3520,44.26,Right-hand bat,84,33,1,438,23.5,54.7,rm,2,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,616,199,WIN,5,90,-111,MN Samuels,P Kumar,7,17,41,29.96,3520,44.26,Right-hand bat,85,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,617,200,WIN,5,90,-111,MN Samuels,P Kumar,7,17,42,29.96,3520,44.26,Right-hand bat,86,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,618,201,WIN,5,90,-111,MN Samuels,P Kumar,7,17,43,29.96,3520,44.26,Right-hand bat,87,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,619,202,WIN,5,90,-111,MN Samuels,P Kumar,7,17,44,29.96,3520,44.26,Right-hand bat,88,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,620,203,WIN,5,90,-111,MN Samuels,P Kumar,7,17,45,29.96,3520,44.26,Right-hand bat,89,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,627,210,WIN,5,90,-111,MN Samuels,P Kumar,7,17,46,29.96,3520,44.26,Right-hand bat,90,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,628,211,WIN,5,90,-111,MN Samuels,P Kumar,7,17,47,29.96,3520,44.26,Right-hand bat,91,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,629,212,WIN,5,90,-111,MN Samuels,P Kumar,7,17,48,29.96,3520,44.26,Right-hand bat,92,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,630,213,WIN,5,90,-111,MN Samuels,P Kumar,7,17,49,29.96,3520,44.26,Right-hand bat,93,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,631,214,WIN,5,90,-111,MN Samuels,P Kumar,7,17,50,29.96,3520,44.26,Right-hand bat,94,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,632,215,WIN,5,90,-111,MN Samuels,P Kumar,7,17,51,29.96,3520,44.26,Right-hand bat,95,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,639,222,WIN,5,92,-109,MN Samuels,P Kumar,7,17,52,29.96,3520,44.26,Right-hand bat,96,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,640,223,WIN,5,92,-109,MN Samuels,P Kumar,7,17,53,29.96,3520,44.26,Right-hand bat,97,35,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,641,224,WIN,5,92,-109,MN Samuels,P Kumar,7,17,54,29.96,3520,44.26,Right-hand bat,98,35,1,438,23.5,54.7,rm,4,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,642,225,WIN,5,96,-105,MN Samuels,P Kumar,7,21,55,29.96,3520,44.26,Right-hand bat,99,39,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,643,226,WIN,5,96,-105,MN Samuels,P Kumar,7,21,56,29.96,3520,44.26,Right-hand bat,100,39,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,644,227,WIN,5,96,-105,MN Samuels,P Kumar,7,21,57,29.96,3520,44.26,Right-hand bat,101,39,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,652,235,WIN,5,100,-101,MN Samuels,P Kumar,7,21,59,29.96,3520,44.26,Right-hand bat,103,40,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,653,236,WIN,5,100,-101,MN Samuels,P Kumar,7,21,60,29.96,3520,44.26,Right-hand bat,104,40,1,438,23.5,54.7,rm,1,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,655,238,WIN,5,102,-99,MN Samuels,P Kumar,7,22,61,29.96,3520,44.26,Right-hand bat,106,42,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,656,239,WIN,5,102,-99,MN Samuels,P Kumar,7,22,62,29.96,3520,44.26,Right-hand bat,107,42,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,664,247,WIN,5,104,-97,MN Samuels,P Kumar,7,22,64,29.96,3520,44.26,Right-hand bat,109,43,1,438,23.5,54.7,rm,4,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,665,248,WIN,5,108,-93,MN Samuels,P Kumar,7,26,65,29.96,3520,44.26,Right-hand bat,110,47,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,666,249,WIN,5,108,-93,MN Samuels,P Kumar,7,26,66,29.96,3520,44.26,Right-hand bat,111,47,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,667,250,WIN,5,108,-93,MN Samuels,P Kumar,7,26,67,29.96,3520,44.26,Right-hand bat,112,47,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,668,251,WIN,5,108,-93,MN Samuels,P Kumar,7,26,68,29.96,3520,44.26,Right-hand bat,113,47,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,678,261,WIN,5,114,-87,MN Samuels,P Kumar,7,26,71,29.96,3520,44.26,Right-hand bat,117,48,1,438,23.5,54.7,rm,1,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,688,271,WIN,5,116,-85,MN Samuels,P Kumar,7,27,78,29.96,3520,44.26,Right-hand bat,121,50,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,689,272,WIN,5,116,-85,MN Samuels,P Kumar,7,27,79,29.96,3520,44.26,Right-hand bat,122,50,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,690,273,WIN,5,116,-85,MN Samuels,P Kumar,7,27,80,29.96,3520,44.26,Right-hand bat,123,50,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,691,274,WIN,5,116,-85,MN Samuels,P Kumar,7,27,81,29.96,3520,44.26,Right-hand bat,124,50,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,692,275,WIN,5,116,-85,MN Samuels,P Kumar,7,27,82,29.96,3520,44.26,Right-hand bat,125,50,1,438,23.5,54.7,rm,2,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,821,404,WIN,7,172,-29,MN Samuels,P Kumar,7,65,149,29.96,3520,44.26,Right-hand bat,128,57,1,438,23.5,54.7,rm,4,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,822,405,WIN,7,176,-25,MN Samuels,P Kumar,7,69,150,29.96,3520,44.26,Right-hand bat,129,61,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,823,406,WIN,7,176,-25,MN Samuels,P Kumar,7,69,151,29.96,3520,44.26,Right-hand bat,130,61,1,438,23.5,54.7,rm,1,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,831,414,WIN,7,180,-21,MN Samuels,P Kumar,7,70,156,29.96,3520,44.26,Right-hand bat,132,64,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,832,415,WIN,7,180,-21,MN Samuels,P Kumar,7,70,157,29.96,3520,44.26,Right-hand bat,133,64,1,438,23.5,54.7,rm,1,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,834,417,WIN,7,182,-19,MN Samuels,P Kumar,7,71,158,29.96,3520,44.26,Right-hand bat,135,66,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,835,418,WIN,7,182,-19,MN Samuels,P Kumar,7,71,159,29.96,3520,44.26,Right-hand bat,136,66,1,438,23.5,54.7,rm,0,WIN,seam,yes,22.163452708907254,3.9577594123048665
2,836,419,WIN,7,182,-19,MN Samuels,P Kumar,7,71,160,29.96,3520,44.26,Right-hand bat,137,66,1,438,23.5,54.7,rm,1,WIN,seam,yes,22.163452708907254,3.9577594123048665
