innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1093,105,SRL,3,49,219,TT Samaraweera,JH Kallis,5,0,2,52.64,10221,47.9,Right-hand bat,3,5,0,18702.1,32.74,69,rfm,2,RSA,seam,yes,16.6725,8.9775
3,1094,106,SRL,3,51,221,TT Samaraweera,JH Kallis,5,2,3,52.64,10221,47.9,Right-hand bat,4,7,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1095,107,SRL,3,51,221,TT Samaraweera,JH Kallis,5,2,4,52.64,10221,47.9,Right-hand bat,5,7,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1102,114,SRL,3,57,227,TT Samaraweera,JH Kallis,5,2,5,52.64,10221,47.9,Right-hand bat,6,7,0,18702.1,32.74,69,rfm,1,RSA,seam,yes,16.6725,8.9775
3,1115,127,SRL,3,64,234,TT Samaraweera,JH Kallis,5,8,12,52.64,10221,47.9,Right-hand bat,12,8,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1116,128,SRL,3,64,234,TT Samaraweera,JH Kallis,5,8,13,52.64,10221,47.9,Right-hand bat,13,8,0,18702.1,32.74,69,rfm,1,RSA,seam,yes,16.6725,8.9775
3,1127,139,SRL,3,66,236,TT Samaraweera,JH Kallis,5,10,20,52.64,10221,47.9,Right-hand bat,18,9,0,18702.1,32.74,69,rfm,4,RSA,seam,yes,16.6725,8.9775
3,1128,140,SRL,3,70,240,TT Samaraweera,JH Kallis,5,14,21,52.64,10221,47.9,Right-hand bat,19,13,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1129,141,SRL,3,70,240,TT Samaraweera,JH Kallis,5,14,22,52.64,10221,47.9,Right-hand bat,20,13,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1130,142,SRL,3,70,240,TT Samaraweera,JH Kallis,5,14,23,52.64,10221,47.9,Right-hand bat,21,13,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1131,143,SRL,3,70,240,TT Samaraweera,JH Kallis,5,14,24,52.64,10221,47.9,Right-hand bat,22,13,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1132,144,SRL,3,70,240,TT Samaraweera,JH Kallis,5,14,25,52.64,10221,47.9,Right-hand bat,23,13,0,18702.1,32.74,69,rfm,2,RSA,seam,yes,16.6725,8.9775
3,1166,178,SRL,3,91,261,TT Samaraweera,JH Kallis,5,23,37,52.64,10221,47.9,Right-hand bat,38,20,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1167,179,SRL,3,91,261,TT Samaraweera,JH Kallis,5,23,38,52.64,10221,47.9,Right-hand bat,39,20,0,18702.1,32.74,69,rfm,0,RSA,seam,yes,16.6725,8.9775
3,1168,180,SRL,3,91,261,TT Samaraweera,JH Kallis,5,23,39,52.64,10221,47.9,Right-hand bat,40,20,0,18702.1,32.74,69,rfm,1,RSA,seam,yes,16.6725,8.9775
