innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1075,238,SRL,3,149,-431,TT Samaraweera,DW Steyn,5,0,0,53.42,10497,47.84,Right-hand bat,75,40,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1076,239,SRL,3,149,-431,TT Samaraweera,DW Steyn,5,0,1,53.42,10497,47.84,Right-hand bat,76,40,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1077,240,SRL,3,149,-431,TT Samaraweera,DW Steyn,5,0,2,53.42,10497,47.84,Right-hand bat,77,40,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1086,249,SRL,3,153,-427,TT Samaraweera,DW Steyn,5,2,8,53.42,10497,47.84,Right-hand bat,80,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1087,250,SRL,3,153,-427,TT Samaraweera,DW Steyn,5,2,9,53.42,10497,47.84,Right-hand bat,81,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1088,251,SRL,3,153,-427,TT Samaraweera,DW Steyn,5,2,10,53.42,10497,47.84,Right-hand bat,82,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1089,252,SRL,3,153,-427,TT Samaraweera,DW Steyn,5,2,11,53.42,10497,47.84,Right-hand bat,83,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1096,259,SRL,3,161,-419,TT Samaraweera,DW Steyn,5,2,12,53.42,10497,47.84,Right-hand bat,84,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1097,260,SRL,3,161,-419,TT Samaraweera,DW Steyn,5,2,13,53.42,10497,47.84,Right-hand bat,85,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1098,261,SRL,3,161,-419,TT Samaraweera,DW Steyn,5,2,14,53.42,10497,47.84,Right-hand bat,86,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1099,262,SRL,3,161,-419,TT Samaraweera,DW Steyn,5,2,15,53.42,10497,47.84,Right-hand bat,87,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1100,263,SRL,3,161,-419,TT Samaraweera,DW Steyn,5,2,16,53.42,10497,47.84,Right-hand bat,88,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1101,264,SRL,3,161,-419,TT Samaraweera,DW Steyn,5,2,17,53.42,10497,47.84,Right-hand bat,89,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1108,271,SRL,3,169,-411,TT Samaraweera,DW Steyn,5,3,19,53.42,10497,47.84,Right-hand bat,90,41,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1109,272,SRL,3,169,-411,TT Samaraweera,DW Steyn,5,3,20,53.42,10497,47.84,Right-hand bat,91,41,1,10530.3,23.07,40,rf,1nb,RSA,seam,yes,36.34375,12.114583333333334
2,1110,273,SRL,3,170,-410,TT Samaraweera,DW Steyn,5,3,21,53.42,10497,47.84,Right-hand bat,92,42,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1111,274,SRL,3,170,-410,TT Samaraweera,DW Steyn,5,3,22,53.42,10497,47.84,Right-hand bat,93,42,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1112,275,SRL,3,170,-410,TT Samaraweera,DW Steyn,5,3,23,53.42,10497,47.84,Right-hand bat,94,42,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1113,276,SRL,3,170,-410,TT Samaraweera,DW Steyn,5,3,24,53.42,10497,47.84,Right-hand bat,95,42,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
2,1114,277,SRL,3,170,-410,TT Samaraweera,DW Steyn,5,3,25,53.42,10497,47.84,Right-hand bat,96,42,1,10530.3,23.07,40,rf,0,RSA,seam,yes,36.34375,12.114583333333334
