innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,60,60,AUS,2,36,36,RT Ponting,UWMBCA Welegedara,3,2,8,53.26,20919,59.32,Right-hand bat,18,22,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,61,61,AUS,2,36,36,RT Ponting,UWMBCA Welegedara,3,2,9,53.26,20919,59.32,Right-hand bat,19,22,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,62,62,AUS,2,36,36,RT Ponting,UWMBCA Welegedara,3,2,10,53.26,20919,59.32,Right-hand bat,20,22,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,63,63,AUS,2,36,36,RT Ponting,UWMBCA Welegedara,3,2,11,53.26,20919,59.32,Right-hand bat,21,22,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,64,64,AUS,2,36,36,RT Ponting,UWMBCA Welegedara,3,2,12,53.26,20919,59.32,Right-hand bat,22,22,0,1488.3,47.4,67.7,lfm,1,SRL,seam,yes,10.5125,10.5125
1,84,84,AUS,2,48,48,RT Ponting,UWMBCA Welegedara,3,13,23,53.26,20919,59.32,Right-hand bat,30,23,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,85,85,AUS,2,48,48,RT Ponting,UWMBCA Welegedara,3,13,24,53.26,20919,59.32,Right-hand bat,31,23,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,86,86,AUS,2,48,48,RT Ponting,UWMBCA Welegedara,3,13,25,53.26,20919,59.32,Right-hand bat,32,23,0,1488.3,47.4,67.7,lfm,4,SRL,seam,yes,10.5125,10.5125
1,87,87,AUS,2,52,52,RT Ponting,UWMBCA Welegedara,3,17,26,53.26,20919,59.32,Right-hand bat,33,27,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,88,88,AUS,2,52,52,RT Ponting,UWMBCA Welegedara,3,17,27,53.26,20919,59.32,Right-hand bat,34,27,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,89,89,AUS,2,52,52,RT Ponting,UWMBCA Welegedara,3,17,28,53.26,20919,59.32,Right-hand bat,35,27,0,1488.3,47.4,67.7,lfm,1,SRL,seam,yes,10.5125,10.5125
1,138,138,AUS,2,79,79,RT Ponting,UWMBCA Welegedara,3,22,44,53.26,20919,59.32,Right-hand bat,36,28,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,139,139,AUS,2,79,79,RT Ponting,UWMBCA Welegedara,3,22,45,53.26,20919,59.32,Right-hand bat,37,28,0,1488.3,47.4,67.7,lfm,4,SRL,seam,yes,10.5125,10.5125
1,140,140,AUS,2,83,83,RT Ponting,UWMBCA Welegedara,3,26,46,53.26,20919,59.32,Right-hand bat,38,32,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,141,141,AUS,2,83,83,RT Ponting,UWMBCA Welegedara,3,26,47,53.26,20919,59.32,Right-hand bat,39,32,0,1488.3,47.4,67.7,lfm,4,SRL,seam,yes,10.5125,10.5125
1,142,142,AUS,2,87,87,RT Ponting,UWMBCA Welegedara,3,30,48,53.26,20919,59.32,Right-hand bat,40,36,0,1488.3,47.4,67.7,lfm,0,SRL,seam,yes,10.5125,10.5125
1,143,143,AUS,2,87,87,RT Ponting,UWMBCA Welegedara,3,30,49,53.26,20919,59.32,Right-hand bat,41,36,0,1488.3,47.4,67.7,lfm,1,SRL,seam,yes,10.5125,10.5125
