innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,91,91,AUS,2,46,46,RT Ponting,UT Yadav,4,0,0,52.36,21645,59.03,Right-hand bat,25,19,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,92,92,AUS,2,46,46,RT Ponting,UT Yadav,4,0,1,52.36,21645,59.03,Right-hand bat,26,19,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,93,93,AUS,2,46,46,RT Ponting,UT Yadav,4,0,2,52.36,21645,59.03,Right-hand bat,27,19,2,576.3,22.93,36.1,rf,2,AUS,seam,yes,22.4,3.2
1,94,94,AUS,2,48,48,RT Ponting,UT Yadav,4,2,3,52.36,21645,59.03,Right-hand bat,28,21,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,95,95,AUS,2,48,48,RT Ponting,UT Yadav,4,2,4,52.36,21645,59.03,Right-hand bat,29,21,2,576.3,22.93,36.1,rf,1,AUS,seam,yes,22.4,3.2
1,102,102,AUS,2,52,52,RT Ponting,UT Yadav,4,6,9,52.36,21645,59.03,Right-hand bat,30,22,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,103,103,AUS,2,52,52,RT Ponting,UT Yadav,4,6,10,52.36,21645,59.03,Right-hand bat,31,22,2,576.3,22.93,36.1,rf,3,AUS,seam,yes,22.4,3.2
1,154,154,AUS,2,80,80,RT Ponting,UT Yadav,4,21,32,52.36,21645,59.03,Right-hand bat,40,30,2,576.3,22.93,36.1,rf,4,AUS,seam,yes,22.4,3.2
1,155,155,AUS,2,84,84,RT Ponting,UT Yadav,4,25,33,52.36,21645,59.03,Right-hand bat,41,34,2,576.3,22.93,36.1,rf,3,AUS,seam,yes,22.4,3.2
1,186,186,AUS,2,108,108,RT Ponting,UT Yadav,4,33,48,52.36,21645,59.03,Right-hand bat,54,51,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,187,187,AUS,2,108,108,RT Ponting,UT Yadav,4,33,49,52.36,21645,59.03,Right-hand bat,55,51,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,188,188,AUS,2,108,108,RT Ponting,UT Yadav,4,33,50,52.36,21645,59.03,Right-hand bat,56,51,2,576.3,22.93,36.1,rf,3,AUS,seam,yes,22.4,3.2
1,190,190,AUS,2,112,112,RT Ponting,UT Yadav,4,36,51,52.36,21645,59.03,Right-hand bat,58,55,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,191,191,AUS,2,112,112,RT Ponting,UT Yadav,4,36,52,52.36,21645,59.03,Right-hand bat,59,55,2,576.3,22.93,36.1,rf,4,AUS,seam,yes,22.4,3.2
1,288,288,AUS,2,159,159,RT Ponting,UT Yadav,4,62,91,52.36,21645,59.03,Right-hand bat,60,59,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,289,289,AUS,2,159,159,RT Ponting,UT Yadav,4,62,92,52.36,21645,59.03,Right-hand bat,61,59,2,576.3,22.93,36.1,rf,0,AUS,seam,yes,22.4,3.2
1,290,290,AUS,2,159,159,RT Ponting,UT Yadav,4,62,93,52.36,21645,59.03,Right-hand bat,62,59,2,576.3,22.93,36.1,rf,W,AUS,seam,yes,22.4,3.2
