innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,79,79,RSA,1,52,52,AN Petersen,DL Vettori,2,17,32,39.29,1791,52.65,Right-hand bat,1,1,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,80,80,RSA,1,52,52,AN Petersen,DL Vettori,2,17,33,39.29,1791,52.65,Right-hand bat,2,1,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,81,81,RSA,1,52,52,AN Petersen,DL Vettori,2,17,34,39.29,1791,52.65,Right-hand bat,3,1,0,28350.5,34.16,78.9,lo,1,NZL,spin,no,37.73979591836735,2.903061224489796
1,91,91,RSA,1,55,55,AN Petersen,DL Vettori,2,19,36,39.29,1791,52.65,Right-hand bat,6,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,92,92,RSA,1,55,55,AN Petersen,DL Vettori,2,19,37,39.29,1791,52.65,Right-hand bat,7,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,93,93,RSA,1,55,55,AN Petersen,DL Vettori,2,19,38,39.29,1791,52.65,Right-hand bat,8,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,94,94,RSA,1,55,55,AN Petersen,DL Vettori,2,19,39,39.29,1791,52.65,Right-hand bat,9,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,95,95,RSA,1,55,55,AN Petersen,DL Vettori,2,19,40,39.29,1791,52.65,Right-hand bat,10,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,96,96,RSA,1,55,55,AN Petersen,DL Vettori,2,19,41,39.29,1791,52.65,Right-hand bat,11,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,103,103,RSA,1,55,55,AN Petersen,DL Vettori,2,19,42,39.29,1791,52.65,Right-hand bat,12,2,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,104,104,RSA,1,55,55,AN Petersen,DL Vettori,2,19,43,39.29,1791,52.65,Right-hand bat,13,2,0,28350.5,34.16,78.9,lo,1,NZL,spin,no,37.73979591836735,2.903061224489796
1,119,119,RSA,1,59,59,AN Petersen,DL Vettori,2,20,50,39.29,1791,52.65,Right-hand bat,22,6,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,120,120,RSA,1,59,59,AN Petersen,DL Vettori,2,20,51,39.29,1791,52.65,Right-hand bat,23,6,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,132,132,RSA,1,61,61,AN Petersen,DL Vettori,2,20,52,39.29,1791,52.65,Right-hand bat,29,7,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,140,140,RSA,1,65,65,AN Petersen,DL Vettori,2,22,58,39.29,1791,52.65,Right-hand bat,31,8,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,141,141,RSA,1,65,65,AN Petersen,DL Vettori,2,22,59,39.29,1791,52.65,Right-hand bat,32,8,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,142,142,RSA,1,65,65,AN Petersen,DL Vettori,2,22,60,39.29,1791,52.65,Right-hand bat,33,8,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,143,143,RSA,1,65,65,AN Petersen,DL Vettori,2,22,61,39.29,1791,52.65,Right-hand bat,34,8,0,28350.5,34.16,78.9,lo,6,NZL,spin,no,37.73979591836735,2.903061224489796
1,144,144,RSA,1,71,71,AN Petersen,DL Vettori,2,28,62,39.29,1791,52.65,Right-hand bat,35,14,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,151,151,RSA,1,73,73,AN Petersen,DL Vettori,2,29,68,39.29,1791,52.65,Right-hand bat,36,14,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,152,152,RSA,1,73,73,AN Petersen,DL Vettori,2,29,69,39.29,1791,52.65,Right-hand bat,37,14,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
1,153,153,RSA,1,73,73,AN Petersen,DL Vettori,2,29,70,39.29,1791,52.65,Right-hand bat,38,14,0,28350.5,34.16,78.9,lo,0,NZL,spin,no,37.73979591836735,2.903061224489796
