innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,102,102,SRL,4,56,56,KC Sangakkara,Saeed Ajmal,3,27,43,56.42,16388,54.74,Left-hand bat,6,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,103,103,SRL,4,56,56,KC Sangakkara,Saeed Ajmal,3,27,44,56.42,16388,54.74,Left-hand bat,7,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,104,104,SRL,4,56,56,KC Sangakkara,Saeed Ajmal,3,27,45,56.42,16388,54.74,Left-hand bat,8,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,105,105,SRL,4,56,56,KC Sangakkara,Saeed Ajmal,3,27,46,56.42,16388,54.74,Left-hand bat,9,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,106,106,SRL,4,56,56,KC Sangakkara,Saeed Ajmal,3,27,47,56.42,16388,54.74,Left-hand bat,10,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,107,107,SRL,4,56,56,KC Sangakkara,Saeed Ajmal,3,27,48,56.42,16388,54.74,Left-hand bat,11,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,115,115,SRL,4,61,61,KC Sangakkara,Saeed Ajmal,3,27,49,56.42,16388,54.74,Left-hand bat,12,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,116,116,SRL,4,61,61,KC Sangakkara,Saeed Ajmal,3,27,50,56.42,16388,54.74,Left-hand bat,13,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,117,117,SRL,4,61,61,KC Sangakkara,Saeed Ajmal,3,27,51,56.42,16388,54.74,Left-hand bat,14,0,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,118,118,SRL,4,61,61,KC Sangakkara,Saeed Ajmal,3,27,52,56.42,16388,54.74,Left-hand bat,15,0,0,4722.2,31.17,70.5,rob,1,PAK,spin,yes,12.399583766909469,19.63267429760666
1,127,127,SRL,4,67,67,KC Sangakkara,Saeed Ajmal,3,28,53,56.42,16388,54.74,Left-hand bat,18,2,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,128,128,SRL,4,67,67,KC Sangakkara,Saeed Ajmal,3,28,54,56.42,16388,54.74,Left-hand bat,19,2,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,129,129,SRL,4,67,67,KC Sangakkara,Saeed Ajmal,3,28,55,56.42,16388,54.74,Left-hand bat,20,2,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,130,130,SRL,4,67,67,KC Sangakkara,Saeed Ajmal,3,28,56,56.42,16388,54.74,Left-hand bat,21,2,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,131,131,SRL,4,67,67,KC Sangakkara,Saeed Ajmal,3,28,57,56.42,16388,54.74,Left-hand bat,22,2,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,132,132,SRL,4,67,67,KC Sangakkara,Saeed Ajmal,3,28,58,56.42,16388,54.74,Left-hand bat,23,2,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,139,139,SRL,4,67,67,KC Sangakkara,Saeed Ajmal,3,28,59,56.42,16388,54.74,Left-hand bat,24,2,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,140,140,SRL,4,67,67,KC Sangakkara,Saeed Ajmal,3,28,60,56.42,16388,54.74,Left-hand bat,25,2,0,4722.2,31.17,70.5,rob,1,PAK,spin,yes,12.399583766909469,19.63267429760666
1,155,155,SRL,5,79,79,KC Sangakkara,Saeed Ajmal,3,29,61,56.42,16388,54.74,Left-hand bat,34,9,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,156,156,SRL,5,79,79,KC Sangakkara,Saeed Ajmal,3,29,62,56.42,16388,54.74,Left-hand bat,35,9,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,165,165,SRL,5,83,83,KC Sangakkara,Saeed Ajmal,3,29,64,56.42,16388,54.74,Left-hand bat,38,10,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,166,166,SRL,5,83,83,KC Sangakkara,Saeed Ajmal,3,29,65,56.42,16388,54.74,Left-hand bat,39,10,0,4722.2,31.17,70.5,rob,4,PAK,spin,yes,12.399583766909469,19.63267429760666
1,167,167,SRL,5,87,87,KC Sangakkara,Saeed Ajmal,3,33,66,56.42,16388,54.74,Left-hand bat,40,14,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,168,168,SRL,5,87,87,KC Sangakkara,Saeed Ajmal,3,33,67,56.42,16388,54.74,Left-hand bat,41,14,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,175,175,SRL,5,93,93,KC Sangakkara,Saeed Ajmal,3,34,69,56.42,16388,54.74,Left-hand bat,42,14,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,176,176,SRL,5,93,93,KC Sangakkara,Saeed Ajmal,3,34,70,56.42,16388,54.74,Left-hand bat,43,14,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
1,177,177,SRL,5,93,93,KC Sangakkara,Saeed Ajmal,3,34,71,56.42,16388,54.74,Left-hand bat,44,14,0,4722.2,31.17,70.5,rob,0,PAK,spin,yes,12.399583766909469,19.63267429760666
