innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,460,460,AUS,7,169,169,MA Starc,KAJ Roach,9,0,0,26.75,190,56.31,Left-hand bat,87,29,1,3312.4,28.67,53.4,rfm,0,WIN,seam,yes,9.61625,17.85875
1,461,461,AUS,7,169,169,MA Starc,KAJ Roach,9,0,1,26.75,190,56.31,Left-hand bat,88,29,1,3312.4,28.67,53.4,rfm,0,WIN,seam,yes,9.61625,17.85875
1,462,462,AUS,7,169,169,MA Starc,KAJ Roach,9,0,2,26.75,190,56.31,Left-hand bat,89,29,1,3312.4,28.67,53.4,rfm,2,WIN,seam,yes,9.61625,17.85875
1,463,463,AUS,7,171,171,MA Starc,KAJ Roach,9,2,3,26.75,190,56.31,Left-hand bat,90,31,1,3312.4,28.67,53.4,rfm,0,WIN,seam,yes,9.61625,17.85875
1,470,470,AUS,7,175,175,MA Starc,KAJ Roach,9,2,4,26.75,190,56.31,Left-hand bat,91,31,1,3312.4,28.67,53.4,rfm,0,WIN,seam,yes,9.61625,17.85875
1,471,471,AUS,7,175,175,MA Starc,KAJ Roach,9,2,5,26.75,190,56.31,Left-hand bat,92,31,1,3312.4,28.67,53.4,rfm,1nb,WIN,seam,yes,9.61625,17.85875
1,543,543,AUS,7,212,212,MA Starc,KAJ Roach,9,24,40,26.75,190,56.31,Left-hand bat,98,36,1,3312.4,28.67,53.4,rfm,3,WIN,seam,yes,9.61625,17.85875
1,555,555,AUS,7,220,220,MA Starc,KAJ Roach,9,32,45,26.75,190,56.31,Left-hand bat,104,39,1,3312.4,28.67,53.4,rfm,0,WIN,seam,yes,9.61625,17.85875
1,556,556,AUS,7,220,220,MA Starc,KAJ Roach,9,32,46,26.75,190,56.31,Left-hand bat,105,39,1,3312.4,28.67,53.4,rfm,0,WIN,seam,yes,9.61625,17.85875
1,557,557,AUS,7,220,220,MA Starc,KAJ Roach,9,32,47,26.75,190,56.31,Left-hand bat,106,39,1,3312.4,28.67,53.4,rfm,0,WIN,seam,yes,9.61625,17.85875
1,558,558,AUS,7,220,220,MA Starc,KAJ Roach,9,32,48,26.75,190,56.31,Left-hand bat,107,39,1,3312.4,28.67,53.4,rfm,1,WIN,seam,yes,9.61625,17.85875
