innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1657,158,PAK,4,58,-451,Younis Khan,AD Mathews,4,11,45,52.53,12318,52.88,Right-hand bat,2,1,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1658,159,PAK,4,58,-451,Younis Khan,AD Mathews,4,11,46,52.53,12318,52.88,Right-hand bat,3,1,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1659,160,PAK,4,58,-451,Younis Khan,AD Mathews,4,11,47,52.53,12318,52.88,Right-hand bat,4,1,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1660,161,PAK,4,58,-451,Younis Khan,AD Mathews,4,11,48,52.53,12318,52.88,Right-hand bat,5,1,0,978,72.71,139.7,rm,4,SRL,seam,no,8.236734693877551,20.591836734693878
4,1667,168,PAK,4,66,-443,Younis Khan,AD Mathews,4,15,49,52.53,12318,52.88,Right-hand bat,6,5,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1668,169,PAK,4,66,-443,Younis Khan,AD Mathews,4,15,50,52.53,12318,52.88,Right-hand bat,7,5,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1669,170,PAK,4,66,-443,Younis Khan,AD Mathews,4,15,51,52.53,12318,52.88,Right-hand bat,8,5,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1670,171,PAK,4,66,-443,Younis Khan,AD Mathews,4,15,52,52.53,12318,52.88,Right-hand bat,9,5,0,978,72.71,139.7,rm,2,SRL,seam,no,8.236734693877551,20.591836734693878
4,1671,172,PAK,4,68,-441,Younis Khan,AD Mathews,4,17,53,52.53,12318,52.88,Right-hand bat,10,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1672,173,PAK,4,68,-441,Younis Khan,AD Mathews,4,17,54,52.53,12318,52.88,Right-hand bat,11,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1679,180,PAK,4,70,-439,Younis Khan,AD Mathews,4,17,55,52.53,12318,52.88,Right-hand bat,12,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1680,181,PAK,4,70,-439,Younis Khan,AD Mathews,4,17,56,52.53,12318,52.88,Right-hand bat,13,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1681,182,PAK,4,70,-439,Younis Khan,AD Mathews,4,17,57,52.53,12318,52.88,Right-hand bat,14,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1682,183,PAK,4,70,-439,Younis Khan,AD Mathews,4,17,58,52.53,12318,52.88,Right-hand bat,15,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1683,184,PAK,4,70,-439,Younis Khan,AD Mathews,4,17,59,52.53,12318,52.88,Right-hand bat,16,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1684,185,PAK,4,70,-439,Younis Khan,AD Mathews,4,17,60,52.53,12318,52.88,Right-hand bat,17,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1691,192,PAK,4,76,-433,Younis Khan,AD Mathews,4,18,62,52.53,12318,52.88,Right-hand bat,18,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1692,193,PAK,4,76,-433,Younis Khan,AD Mathews,4,18,63,52.53,12318,52.88,Right-hand bat,19,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1693,194,PAK,4,76,-433,Younis Khan,AD Mathews,4,18,64,52.53,12318,52.88,Right-hand bat,20,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1694,195,PAK,4,76,-433,Younis Khan,AD Mathews,4,18,65,52.53,12318,52.88,Right-hand bat,21,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1695,196,PAK,4,76,-433,Younis Khan,AD Mathews,4,18,66,52.53,12318,52.88,Right-hand bat,22,7,0,978,72.71,139.7,rm,0,SRL,seam,no,8.236734693877551,20.591836734693878
4,1696,197,PAK,4,76,-433,Younis Khan,AD Mathews,4,18,67,52.53,12318,52.88,Right-hand bat,23,7,0,978,72.71,139.7,rm,1,SRL,seam,no,8.236734693877551,20.591836734693878
